,what,is,the,modern,term,for,the,mongolian,policies,supporting,trade,and,communication,?
modern,0.2655639946460724,0.24170172214508057,0.3283970355987549,0.9999999403953552,0.256985604763031,0.22431503236293793,0.3283970355987549,0.2156040072441101,0.13051600754261017,0.08008204400539398,0.1339801400899887,0.3277876079082489,0.20198899507522583,0.12475407868623734
scholars,0.2640625238418579,0.18092486262321472,0.2524346709251404,0.3168378174304962,0.23025020956993103,0.1806952953338623,0.2524346709251404,0.31391268968582153,0.3055681586265564,0.15369415283203125,0.22439604997634888,0.24718980491161346,0.1971960961818695,0.11279910802841187
refer,0.17466352880001068,0.32020241022109985,0.22268381714820862,0.209233358502388,0.4355846345424652,0.19031205773353577,0.22268381714820862,0.13096901774406433,0.16299808025360107,0.09912297874689102,0.1498679667711258,0.22076335549354553,0.1984710991382599,0.12567369639873505
to,0.455847829580307,0.42745086550712585,0.535392165184021,0.193939670920372,0.3310292959213257,0.4451248347759247,0.535392165184021,0.152916818857193,0.31011244654655457,0.20453977584838867,0.2781698405742645,0.48971283435821533,0.2763688564300537,0.29463258385658264
the,0.42745697498321533,0.5823672413825989,1.0,0.3283970355987549,0.2740369141101837,0.4739971458911896,1.0,0.2657795250415802,0.22566401958465576,0.2755655348300934,0.2681608200073242,0.5171257257461548,0.2984345257282257,0.22068053483963013
alleged,0.19019317626953125,0.1586311012506485,0.2058245837688446,0.1484701931476593,0.16636575758457184,0.1881588250398636,0.2058245837688446,0.15798313915729523,0.24366699159145355,0.1897943913936615,0.17072735726833344,0.1831645369529724,0.17049413919448853,0.12596184015274048
policy,0.3869883120059967,0.15952111780643463,0.2358427494764328,0.14550277590751648,0.30991584062576294,0.2759707272052765,0.2358427494764328,0.19802933931350708,0.745130181312561,0.22541587054729462,0.33343544602394104,0.2148873209953308,0.29091399908065796,0.30462446808815
of,0.33290785551071167,0.4854315221309662,0.733189046382904,0.3482828736305237,0.26047757267951965,0.4185989499092102,0.733189046382904,0.22608324885368347,0.210641011595726,0.22132660448551178,0.2310105711221695,0.5116966962814331,0.2729943096637726,0.1826142966747284
encouraging,0.26924481987953186,0.1746276170015335,0.24877148866653442,0.08427566289901733,0.19486716389656067,0.36752164363861084,0.24877148866653442,0.08591197431087494,0.41451552510261536,0.37144309282302856,0.1897996962070465,0.35160934925079346,0.33627742528915405,0.23532812297344208
trade,0.1555381417274475,0.17870411276817322,0.2681608200073242,0.1339801400899887,0.16814455389976501,0.2946145534515381,0.2681608200073242,0.20057088136672974,0.26832395792007446,0.16593872010707855,0.9999999403953552,0.2510223686695099,0.268153578042984,0.09336511790752411
and,0.31309178471565247,0.3859752118587494,0.5171257257461548,0.3277876079082489,0.22272127866744995,0.5064792633056641,0.5171257257461548,0.22904802858829498,0.2788451910018921,0.32303592562675476,0.2510223686695099,1.0,0.31177079677581787,0.20544172823429108
communication,0.283955842256546,0.23138649761676788,0.2984345257282257,0.20198899507522583,0.2500935196876526,0.27785179018974304,0.2984345257282257,0.22878822684288025,0.30564984679222107,0.2258109152317047,0.268153578042984,0.31177079677581787,1.0,0.1517418920993805
as,0.31749409437179565,0.43216490745544434,0.48381632566452026,0.242071270942688,0.3224089443683624,0.44774648547172546,0.48381632566452026,0.19792908430099487,0.27189746499061584,0.336630254983902,0.21768774092197418,0.49487000703811646,0.23491299152374268,0.27043893933296204
the,0.42745697498321533,0.5823672413825989,1.0,0.3283970355987549,0.2740369141101837,0.4739971458911896,1.0,0.2657795250415802,0.22566401958465576,0.2755655348300934,0.2681608200073242,0.5171257257461548,0.2984345257282257,0.22068053483963013
pax,0.17823320627212524,0.19647759199142456,0.27156856656074524,0.13220182061195374,0.15461696684360504,0.2561028301715851,0.27156856656074524,0.11422103643417358,0.19631624221801758,0.24031195044517517,0.17430591583251953,0.24252207577228546,0.3071439862251282,0.15347926318645477
mongolica,0.16176137328147888,0.19600632786750793,0.2644845247268677,0.21194955706596375,0.04547063261270523,0.13422363996505737,0.2644845247268677,0.8326101303100586,0.2524479329586029,0.16354088485240936,0.18967826664447784,0.187190443277359,0.18824705481529236,0.1561393439769745
(,0.2411840260028839,0.35393038392066956,0.33289089798927307,0.15444137156009674,0.16755855083465576,0.3357032239437103,0.33289089798927307,0.22146162390708923,0.21020038425922394,0.23470830917358398,0.12433971464633942,0.4862271547317505,0.20271192491054535,0.40561532974243164
mongol,0.15870186686515808,0.1650545746088028,0.2924198508262634,0.2054586112499237,0.09336904436349869,0.1556200236082077,0.2924198508262634,0.7993404865264893,0.2201426774263382,0.15894123911857605,0.2091890126466751,0.21553155779838562,0.2415735274553299,0.12849251925945282
peace,0.18390877544879913,0.14879313111305237,0.2625678777694702,0.09019526094198227,0.1264478713274002,0.2356155663728714,0.2625678777694702,0.15613116323947906,0.2097524106502533,0.17419160902500153,0.22947083413600922,0.23144522309303284,0.2566932737827301,0.1404135823249817
),0.26259949803352356,0.37732169032096863,0.3456730246543884,0.17084072530269623,0.14937621355056763,0.3639558255672455,0.3456730246543884,0.23745420575141907,0.19399838149547577,0.2539505064487457,0.13517791032791138,0.4961937665939331,0.21897052228450775,0.42300865054130554
.,0.3567904531955719,0.4569662809371948,0.5934505462646484,0.22790057957172394,0.18456575274467468,0.4726039469242096,0.5934505462646484,0.18073968589305878,0.226143017411232,0.289732962846756,0.20157761871814728,0.588965117931366,0.24448274075984955,0.4130953550338745
