,what,ended,the,need,for,abc,to,maintain,interests,in,other,countries,?
the,0.42745697498321533,0.3356485068798065,1.0,0.2594960331916809,0.4739971458911896,0.2068762183189392,0.535392165184021,0.2896709144115448,0.25045084953308105,0.6662389636039734,0.44152235984802246,0.33290645480155945,0.22068053483963013
arrival,0.24079416692256927,0.2222917675971985,0.3051127791404724,0.15279166400432587,0.19549864530563354,0.07536207884550095,0.2928422689437866,0.12824863195419312,0.18273793160915375,0.2351498007774353,0.17265985906124115,0.18597815930843353,0.07185088098049164
of,0.33290785551071167,0.27636510133743286,0.733189046382904,0.24285943806171417,0.4185989499092102,0.14607268571853638,0.41548454761505127,0.2703363299369812,0.2535596489906311,0.5696388483047485,0.38583824038505554,0.2800094783306122,0.1826142966747284
satellite,0.17739586532115936,0.1266319751739502,0.22563834488391876,0.10083679854869843,0.25187191367149353,0.18923600018024445,0.19631412625312805,0.0953020378947258,0.1564164161682129,0.18927223980426788,0.1345672905445099,0.23845066130161285,0.13568443059921265
television,0.19838058948516846,0.286525696516037,0.24569597840309143,0.23097684979438782,0.27045196294784546,0.46871840953826904,0.1933557242155075,0.1342138797044754,0.20219670236110687,0.2689782977104187,0.22152510285377502,0.20991700887680054,0.16825827956199646
ended,0.1532270610332489,1.0,0.3356485068798065,0.20751918852329254,0.25393593311309814,0.2626802623271942,0.26005783677101135,0.1975080817937851,0.19722716510295868,0.3353011906147003,0.1616712510585785,0.256602942943573,0.15429291129112244
the,0.42745697498321533,0.3356485068798065,1.0,0.2594960331916809,0.4739971458911896,0.2068762183189392,0.535392165184021,0.2896709144115448,0.25045084953308105,0.6662389636039734,0.44152235984802246,0.33290645480155945,0.22068053483963013
need,0.39420950412750244,0.20751918852329254,0.2594960331916809,0.9999999403953552,0.3668079972267151,0.19003446400165558,0.42094892263412476,0.4032987058162689,0.27260488271713257,0.2129468470811844,0.40425336360931396,0.2653250992298126,0.40413710474967957
for,0.3017193675041199,0.25393593311309814,0.4739971458911896,0.3668079972267151,0.9999999403953552,0.22510288655757904,0.4451248347759247,0.2950793504714966,0.29692697525024414,0.4322226941585541,0.3273986279964447,0.299202024936676,0.264628142118454
abc,0.1317344456911087,0.2626802623271942,0.2068762183189392,0.19003446400165558,0.22510288655757904,1.0000001192092896,0.1762417107820511,0.12125228345394135,0.21350711584091187,0.1697147786617279,0.10159935057163239,0.12476678192615509,0.19065172970294952
to,0.455847829580307,0.26005783677101135,0.535392165184021,0.42094892263412476,0.4451248347759247,0.1762417107820511,1.0,0.34628623723983765,0.3245762884616852,0.45010748505592346,0.4193183183670044,0.3111797273159027,0.29463258385658264
hold,0.20790280401706696,0.2240801304578781,0.3067915439605713,0.3296532928943634,0.325223445892334,0.06463664770126343,0.3469145894050598,0.34937477111816406,0.19904284179210663,0.2667064666748047,0.2879476249217987,0.22075499594211578,0.18586084246635437
interests,0.2921333611011505,0.19722716510295868,0.25045084953308105,0.27260488271713257,0.29692697525024414,0.21350711584091187,0.3245762884616852,0.36986738443374634,1.0,0.2732578217983246,0.3175410032272339,0.2909717857837677,0.21539683640003204
in,0.30808621644973755,0.3353011906147003,0.6662389636039734,0.2129468470811844,0.4322226941585541,0.1697147786617279,0.45010748505592346,0.18554846942424774,0.2732578217983246,1.0,0.39989137649536133,0.3027990758419037,0.20430970191955566
other,0.341873437166214,0.1616712510585785,0.44152235984802246,0.40425336360931396,0.3273986279964447,0.10159935057163239,0.4193183183670044,0.35010379552841187,0.3175410032272339,0.39989137649536133,0.9999999403953552,0.42453643679618835,0.24682199954986572
countries,0.22319257259368896,0.256602942943573,0.33290645480155945,0.2653250992298126,0.299202024936676,0.12476678192615509,0.3111797273159027,0.22482973337173462,0.2909717857837677,0.3027990758419037,0.42453643679618835,0.9999999403953552,0.15128466486930847
;,0.10986888408660889,0.0865800753235817,0.09152708947658539,0.008542806841433048,0.0293948445469141,-0.0012340332614257932,0.0979827418923378,0.0503217875957489,0.11471056938171387,0.092739537358284,0.13311924040317535,0.046935852617025375,0.10349778085947037
many,0.36131182312965393,0.20378006994724274,0.4335206151008606,0.3260347247123718,0.40972793102264404,0.18267793953418732,0.40243685245513916,0.27376964688301086,0.3320431709289551,0.41474202275276184,0.6324484348297119,0.4298940598964691,0.2124512493610382
governments,0.2814749777317047,0.2502777576446533,0.2835306227207184,0.23778265714645386,0.2445342242717743,0.10612945258617401,0.30281347036361694,0.31677377223968506,0.3887949287891388,0.26927295327186584,0.3320801258087158,0.4804108440876007,0.18805137276649475
also,0.42747777700424194,0.22004622220993042,0.6021018624305725,0.31963127851486206,0.5373267531394958,0.2030053734779358,0.5348826050758362,0.29131880402565,0.2712326943874359,0.5073733329772949,0.5326101183891296,0.37475454807281494,0.21848613023757935
wanted,0.3579951524734497,0.34629184007644653,0.3011050522327423,0.37215813994407654,0.2874828279018402,0.14547373354434967,0.47293567657470703,0.21995213627815247,0.3128885328769684,0.2556442320346832,0.25790688395500183,0.269673615694046,0.24342651665210724
to,0.455847829580307,0.26005783677101135,0.535392165184021,0.42094892263412476,0.4451248347759247,0.1762417107820511,1.0,0.34628623723983765,0.3245762884616852,0.45010748505592346,0.4193183183670044,0.3111797273159027,0.29463258385658264
increase,0.21153631806373596,0.21094514429569244,0.32049667835235596,0.3647521138191223,0.26647913455963135,0.08817001432180405,0.3378143310546875,0.40604209899902344,0.3109245300292969,0.25893163681030273,0.3025151193141937,0.22213183343410492,0.11119163036346436
their,0.35142919421195984,0.24458195269107819,0.516537070274353,0.35579198598861694,0.3406745493412018,0.17463743686676025,0.44619059562683105,0.3661072254180908,0.36847326159477234,0.34976133704185486,0.456295371055603,0.3005788326263428,0.1898253709077835
independence,0.24622133374214172,0.30251896381378174,0.2836182415485382,0.13790076971054077,0.1525467187166214,0.10727567970752716,0.1964111477136612,0.1784515082836151,0.24386215209960938,0.25996696949005127,0.1846928894519806,0.27069005370140076,0.12301119416952133
and,0.31309178471565247,0.2036798745393753,0.5171257257461548,0.3223188817501068,0.5064792633056641,0.16453155875205994,0.48971283435821533,0.3192116916179657,0.3112897574901581,0.4954058527946472,0.5504306554794312,0.37200918793678284,0.20544172823429108
strengthen,0.23504552245140076,0.24980857968330383,0.2467898279428482,0.30109289288520813,0.2479357272386551,0.07840929180383682,0.3239169418811798,0.39860668778419495,0.24518920481204987,0.1997082233428955,0.17475226521492004,0.1800011694431305,0.11156164109706879
legislation,0.26615777611732483,0.21167847514152527,0.2839483618736267,0.24319790303707123,0.21200993657112122,0.14032630622386932,0.25758448243141174,0.23598305881023407,0.3533453941345215,0.2219952940940857,0.20164963603019714,0.270294189453125,0.21123437583446503
