,what,is,the,basis,of,the,hymn,?
luther,0.2134782373905182,0.08282390236854553,0.1759674996137619,0.2086135447025299,0.1719115972518921,0.1759674996137619,0.24335725605487823,0.1732746809720993
wrote,0.2664989233016968,0.23763930797576904,0.2426944375038147,0.27567756175994873,0.30241408944129944,0.2426944375038147,0.4204634428024292,0.19322504103183746
``,0.008517155423760414,0.058766357600688934,0.029072100296616554,0.05432598292827606,0.06780257821083069,0.029072100296616554,0.10007781535387039,0.0685480609536171
aus,0.18372462689876556,0.05543113872408867,0.09332386404275894,0.13116776943206787,0.10577663779258728,0.09332386404275894,0.14807142317295074,0.21818752586841583
tiefer,0.1581072062253952,0.24619831144809723,0.2543894946575165,0.22759221494197845,0.23788242042064667,0.2543894946575165,0.1770222932100296,0.22696372866630554
not,0.5449194312095642,0.3776007890701294,0.4310511648654938,0.30971255898475647,0.3307090103626251,0.4310511648654938,0.10579558461904526,0.41942933201789856
schrei,0.1903093010187149,0.187420055270195,0.21503321826457977,0.19483166933059692,0.20070432126522064,0.21503321826457977,0.185125932097435,0.2005736380815506
ich,0.12894415855407715,0.10377448797225952,0.11397934705018997,0.1269904524087906,0.08888904005289078,0.11397934705018997,0.14286504685878754,0.16696366667747498
zu,0.17157815396785736,0.15904191136360168,0.15475444495677948,0.07723657786846161,0.1674511730670929,0.15475444495677948,0.14854972064495087,0.18317864835262299
dir,0.1614450365304947,0.18945203721523285,0.21941983699798584,0.14211639761924744,0.15052399039268494,0.21941983699798584,0.17132173478603363,0.14335119724273682
'',0.08143015950918198,0.0793738141655922,0.041273195296525955,0.06054284796118736,0.13035868108272552,0.041273195296525955,-0.056234996765851974,0.018684765323996544
(,0.2411840260028839,0.35393038392066956,0.33289089798927307,0.16453315317630768,0.35032153129577637,0.33289089798927307,0.13691121339797974,0.40561532974243164
``,0.008517155423760414,0.058766357600688934,0.029072100296616554,0.05432598292827606,0.06780257821083069,0.029072100296616554,0.10007781535387039,0.0685480609536171
from,0.2737620174884796,0.27355384826660156,0.40150508284568787,0.1570700705051422,0.4249346852302551,0.40150508284568787,0.20504270493984222,0.19969791173934937
depths,0.3303919732570648,0.2097523957490921,0.23700039088726044,0.1602567732334137,0.18997697532176971,0.23700039088726044,0.09922241419553757,0.21987856924533844
of,0.33290785551071167,0.4854315221309662,0.733189046382904,0.282950758934021,1.0,0.733189046382904,0.27317509055137634,0.1826142966747284
woe,0.24307744204998016,0.17936299741268158,0.2332150787115097,0.06650746613740921,0.13364584743976593,0.2332150787115097,0.18386802077293396,0.32047438621520996
i,0.4411132335662842,0.25362417101860046,0.26687872409820557,0.23876917362213135,0.25849398970603943,0.26687872409820557,0.16609418392181396,0.4695145785808563
cry,0.277485728263855,0.19089001417160034,0.21614642441272736,0.0845101997256279,0.192143514752388,0.21614642441272736,0.21711011230945587,0.2308199256658554
to,0.455847829580307,0.42745086550712585,0.535392165184021,0.23188701272010803,0.41548454761505127,0.535392165184021,0.1294938325881958,0.29463258385658264
you,0.5529524087905884,0.27113574743270874,0.30037742853164673,0.20589971542358398,0.1774725764989853,0.30037742853164673,0.14588983356952667,0.5839095711708069
'',0.08143015950918198,0.0793738141655922,0.041273195296525955,0.06054284796118736,0.13035868108272552,0.041273195296525955,-0.056234996765851974,0.018684765323996544
),0.26259949803352356,0.37732169032096863,0.3456730246543884,0.18813949823379517,0.3680361211299896,0.3456730246543884,0.15801535546779633,0.42300865054130554
in,0.30808621644973755,0.5394441485404968,0.6662389636039734,0.24894960224628448,0.5696388483047485,0.6662389636039734,0.15935353934764862,0.20430970191955566
1523,-0.058873407542705536,-0.04078318551182747,-0.06523832678794861,-0.026870625093579292,-0.0025677902158349752,-0.06523832678794861,0.0006380850099958479,-0.1076718270778656
as,0.31749409437179565,0.43216490745544434,0.48381632566452026,0.3141365945339203,0.3886612355709076,0.48381632566452026,0.15318240225315094,0.27043893933296204
a,0.3320399522781372,0.658733606338501,0.5829201340675354,0.3051576614379883,0.5052502155303955,0.5829201340675354,0.1312560737133026,0.23916715383529663
hymnic,0.25982871651649475,0.2499849945306778,0.26652225852012634,0.17305494844913483,0.2967688739299774,0.26652225852012634,0.7424775958061218,0.26386120915412903
version,0.20755547285079956,0.26673051714897156,0.27268242835998535,0.3132205605506897,0.14166875183582306,0.27268242835998535,0.19262230396270752,0.2573966085910797
of,0.33290785551071167,0.4854315221309662,0.733189046382904,0.282950758934021,1.0,0.733189046382904,0.27317509055137634,0.1826142966747284
psalm,0.24648988246917725,0.20124825835227966,0.2587265372276306,0.17514167726039886,0.23457597196102142,0.2587265372276306,0.5732090473175049,0.1857936531305313
130,-0.03760754317045212,0.12879735231399536,0.12078866362571716,0.09153628349304199,0.1288938671350479,0.12078866362571716,0.13675786554813385,0.11677306145429611
and,0.31309178471565247,0.3859752118587494,0.5171257257461548,0.2805973291397095,0.5116966962814331,0.5171257257461548,0.1816401183605194,0.20544172823429108
sent,0.19595611095428467,0.1441161036491394,0.3010627329349518,0.19245348870754242,0.28923630714416504,0.3010627329349518,0.17294597625732422,0.10903520882129669
it,0.45803478360176086,0.6328473687171936,0.6251175999641418,0.26882249116897583,0.38761502504348755,0.6251175999641418,0.18387563526630402,0.25732165575027466
as,0.31749409437179565,0.43216490745544434,0.48381632566452026,0.3141365945339203,0.3886612355709076,0.48381632566452026,0.15318240225315094,0.27043893933296204
a,0.3320399522781372,0.658733606338501,0.5829201340675354,0.3051576614379883,0.5052502155303955,0.5829201340675354,0.1312560737133026,0.23916715383529663
sample,0.2470649778842926,0.26982104778289795,0.21526014804840088,0.2930962145328522,0.23023469746112823,0.21526014804840088,0.1660471260547638,0.2070276141166687
to,0.455847829580307,0.42745086550712585,0.535392165184021,0.23188701272010803,0.41548454761505127,0.535392165184021,0.1294938325881958,0.29463258385658264
encourage,0.32112085819244385,0.1942775994539261,0.25321751832962036,0.24495822191238403,0.2560228705406189,0.25321751832962036,0.2019292712211609,0.3081754148006439
evangelical,0.20315878093242645,0.1770225465297699,0.23743100464344025,0.18101128935813904,0.2919469177722931,0.23743100464344025,0.3670145273208618,0.16597984731197357
colleagues,0.23925349116325378,0.14538702368736267,0.1930164247751236,0.28239110112190247,0.2139822542667389,0.1930164247751236,0.09980878233909607,0.15860716998577118
to,0.455847829580307,0.42745086550712585,0.535392165184021,0.23188701272010803,0.41548454761505127,0.535392165184021,0.1294938325881958,0.29463258385658264
write,0.37596118450164795,0.23610058426856995,0.23380951583385468,0.22338448464870453,0.2147456258535385,0.23380951583385468,0.3005315959453583,0.3189060389995575
psalm-hymns,0.2279721349477768,0.20753411948680878,0.24112920463085175,0.18564912676811218,0.27129223942756653,0.24112920463085175,0.6869863271713257,0.19410622119903564
for,0.3017193675041199,0.43268078565597534,0.4739971458911896,0.34436357021331787,0.4185989499092102,0.4739971458911896,0.1612643152475357,0.264628142118454
use,0.3453877568244934,0.3357410430908203,0.34342584013938904,0.32018473744392395,0.2750902473926544,0.34342584013938904,0.11637894064188004,0.32795652747154236
in,0.30808621644973755,0.5394441485404968,0.6662389636039734,0.24894960224628448,0.5696388483047485,0.6662389636039734,0.15935353934764862,0.20430970191955566
german,0.1960553526878357,0.19231973588466644,0.256483793258667,0.16348779201507568,0.2122138887643814,0.256483793258667,0.18321937322616577,0.13978645205497742
worship,0.2504543364048004,0.1940333992242813,0.2739982008934021,0.17662313580513,0.2610277831554413,0.2739982008934021,0.37755128741264343,0.17813213169574738
.,0.3567904531955719,0.4569662809371948,0.5934505462646484,0.2657107412815094,0.5352458953857422,0.5934505462646484,0.18054819107055664,0.4130953550338745
