,healing,services,involve,the,laying,on,of,hands,and,what,else,?
these,0.29719963669776917,0.30123645067214966,0.3901548981666565,0.49086877703666687,0.2597350776195526,0.32800400257110596,0.42684608697891235,0.26782697439193726,0.5314885973930359,0.4164220690727234,0.23816196620464325,0.2571668326854706
services,0.257960706949234,1.0,0.22401566803455353,0.2381475418806076,0.13986460864543915,0.22515536844730377,0.23787347972393036,0.1576661318540573,0.30811867117881775,0.16048473119735718,0.18327359855175018,0.1328447163105011
involve,0.2961026728153229,0.22401566803455353,1.0,0.23203566670417786,0.2604653239250183,0.22461454570293427,0.29347991943359375,0.29089123010635376,0.3079969584941864,0.2820183336734772,0.26242703199386597,0.21596334874629974
the,0.23670776188373566,0.2381475418806076,0.23203566670417786,1.0,0.29896414279937744,0.5107308030128479,0.733189046382904,0.27627843618392944,0.5171257257461548,0.42745697498321533,0.19370581209659576,0.22068053483963013
laying,0.2786473035812378,0.13986460864543915,0.2604653239250183,0.29896414279937744,1.0,0.2273506373167038,0.2933219075202942,0.3269082009792328,0.2726248800754547,0.2280322015285492,0.13654139637947083,0.18542435765266418
on,0.1333036869764328,0.22515536844730377,0.22461454570293427,0.5107308030128479,0.2273506373167038,0.9999999403953552,0.3966929316520691,0.24878622591495514,0.4077630043029785,0.34226128458976746,0.19637921452522278,0.2714994251728058
of,0.2629512548446655,0.23787347972393036,0.29347991943359375,0.733189046382904,0.2933219075202942,0.3966929316520691,1.0,0.24988210201263428,0.5116966962814331,0.33290785551071167,0.1318979412317276,0.1826142966747284
hands,0.25160136818885803,0.1576661318540573,0.29089123010635376,0.27627843618392944,0.3269082009792328,0.24878622591495514,0.24988210201263428,0.9999999403953552,0.3075007200241089,0.18854674696922302,0.23059290647506714,0.18784376978874207
and,0.3110605478286743,0.30811867117881775,0.3079969584941864,0.5171257257461548,0.2726248800754547,0.4077630043029785,0.5116966962814331,0.3075007200241089,1.0,0.31309178471565247,0.2664144039154053,0.20544172823429108
anointing,0.5304045081138611,0.21966718137264252,0.31220579147338867,0.28800132870674133,0.398808091878891,0.16883061826229095,0.30653199553489685,0.3928457498550415,0.31791019439697266,0.36310625076293945,0.3016431927680969,0.2945479154586792
with,0.22749300301074982,0.20939528942108154,0.32450607419013977,0.4223487675189972,0.2486625760793686,0.40749499201774597,0.41827285289764404,0.33416956663131714,0.5477725267410278,0.2464839518070221,0.20447362959384918,0.2433311939239502
oil,0.2167302519083023,0.136549174785614,0.15352874994277954,0.21849922835826874,0.169570654630661,0.12803566455841064,0.22900764644145966,0.15286247432231903,0.19239190220832825,0.14842186868190765,0.12015684694051743,0.14867261052131653
.,0.22924374043941498,0.2179025262594223,0.19621600210666656,0.5934505462646484,0.2610236406326294,0.49257001280784607,0.5352458953857422,0.2309190034866333,0.588965117931366,0.3567904531955719,0.30548352003097534,0.4130953550338745
