,how,many,people,did,hamas,kill,between,2000,to,2007,?
from,0.22939439117908478,0.33099696040153503,0.30292633175849915,0.20248863101005554,0.13817313313484192,0.17019930481910706,0.3269653618335724,0.0688478946685791,0.4069952368736267,-0.13366085290908813,0.19969791173934937
2000,-0.07386910915374756,-0.06041426211595535,-0.15824614465236664,0.028451859951019287,-0.08456256985664368,-0.07532516866922379,-0.17346101999282837,1.0,-0.05413077399134636,0.030737757682800293,-0.0824366956949234
to,0.44169697165489197,0.40243685245513916,0.37275731563568115,0.4452643394470215,0.20350603759288788,0.328944593667984,0.3639189600944519,-0.05413077399134636,1.0,-0.1738293468952179,0.29463258385658264
2007,-0.09095048904418945,-0.19582313299179077,-0.2157823145389557,-0.2447822093963623,-0.15258446335792542,-0.07384653389453888,-0.18104025721549988,0.030737757682800293,-0.1738293468952179,1.0,-0.1664225310087204
it,0.36714982986450195,0.39615920186042786,0.3940119743347168,0.2993364930152893,0.19280530512332916,0.20702694356441498,0.311247855424881,-0.11222794651985168,0.513711154460907,-0.14445658028125763,0.25732165575027466
killed,0.1255389302968979,0.1783437877893448,0.3085143268108368,0.24296797811985016,0.3107435405254364,0.6108298897743225,0.1854303628206253,-0.1564246118068695,0.1682852953672409,-0.17904618382453918,0.17928971350193024
542,0.17748905718326569,0.25065794587135315,0.18014965951442719,0.26493000984191895,0.12588852643966675,0.1445854753255844,0.1866125613451004,-0.07023487985134125,0.30653461813926697,-0.19796212017536163,0.09805864095687866
people,0.2932034730911255,0.4171447455883026,1.0000001192092896,0.26765021681785583,0.18930210173130035,0.21910983324050903,0.20159919559955597,-0.15824614465236664,0.37275731563568115,-0.2157823145389557,0.23739641904830933
in,0.2601168751716614,0.41474202275276184,0.39605680108070374,0.2593238651752472,0.16542012989521027,0.1590711623430252,0.41100412607192993,-0.0435720756649971,0.45010748505592346,-0.2201838344335556,0.20430970191955566
140,0.04861688241362572,0.001763263251632452,0.01974828727543354,-0.020146606490015984,-0.0370868444442749,0.15140695869922638,-0.02780766226351261,-0.03127890080213547,-0.0043878513388335705,0.0028628502041101456,0.023664914071559906
suicide,0.09801212698221207,0.15634092688560486,0.24059070646762848,0.17204956710338593,0.20688144862651825,0.4100027084350586,0.09270372986793518,-0.01898818463087082,0.20479147136211395,-0.07939352095127106,0.20431731641292572
bombing,0.09838279336690903,0.14745448529720306,0.25053414702415466,0.1673102080821991,0.33160698413848877,0.2912212908267975,0.15144778788089752,-0.22017893195152283,0.14506635069847107,-0.1897638887166977,0.15766821801662445
or,0.3378981947898865,0.36905089020729065,0.335800439119339,0.28211739659309387,0.2572728395462036,0.19098730385303497,0.22536349296569824,-0.13524854183197021,0.38921234011650085,-0.007080770097672939,0.32389625906944275
``,-0.01591024175286293,0.012824942357838154,0.08962737023830414,-0.029888948425650597,0.18512967228889465,-0.00997182261198759,0.08136986941099167,-0.14137421548366547,0.06720756739377975,0.041756823658943176,0.0685480609536171
martyrdom,0.12710365653038025,0.18764373660087585,0.20088891685009003,0.23127490282058716,0.2791939973831177,0.18736621737480164,0.24446389079093933,0.0867224633693695,0.19073344767093658,-0.28383904695510864,0.14655417203903198
operations,0.16596093773841858,0.20400042831897736,0.17386840283870697,0.1597038060426712,0.24124231934547424,0.09354355931282043,0.2152685672044754,-0.23458728194236755,0.2544249892234802,-0.0973166823387146,0.13622350990772247
'',-0.0029843549709767103,-0.016843097284436226,0.0037952337879687548,0.01978493109345436,-0.07514691352844238,0.006957635283470154,0.060806289315223694,0.06590849906206131,-0.009905828163027763,-0.002170342719182372,0.018684765323996544
.,0.3287222981452942,0.3974229395389557,0.33118996024131775,0.35288307070732117,0.20643571019172668,0.29428622126579285,0.30295518040657043,-0.03837863355875015,0.4645031690597534,-0.216732457280159,0.4130953550338745
