,the,hardest,problems,in,np,can,be,analogously,written,as,what,class,of,problems,?
if,0.33724796772003174,0.2375037670135498,0.3437747657299042,0.2589588761329651,0.30719754099845886,0.5903681516647339,0.5628611445426941,0.36936500668525696,0.18724969029426575,0.3354816734790802,0.5277165174484253,0.19012384116649628,0.2557544410228729,0.3437747657299042,0.4441644251346588
a,0.5829201340675354,0.3092586100101471,0.21523453295230865,0.539380669593811,0.19096361100673676,0.3915780484676361,0.39883795380592346,0.3073735535144806,0.22976966202259064,0.39550232887268066,0.3320399522781372,0.23462694883346558,0.5052502155303955,0.21523453295230865,0.23916715383529663
problem,0.24928659200668335,0.33016490936279297,0.7913808822631836,0.16969570517539978,0.4497864544391632,0.36370179057121277,0.347878634929657,0.2535396218299866,0.18358589708805084,0.2586832344532013,0.42183366417884827,0.19669321179389954,0.20464475452899933,0.7913808822631836,0.3762950301170349
x,0.20980626344680786,0.17882193624973297,0.17143216729164124,0.16749148070812225,0.18771763145923615,0.22120405733585358,0.22865693271160126,0.19120804965496063,0.20141766965389252,0.19728422164916992,0.13783220946788788,0.1357298642396927,0.1708947718143463,0.17143216729164124,0.23304535448551178
is,0.5823672413825989,0.3021050691604614,0.16985496878623962,0.5394441485404968,0.2208731323480606,0.44256699085235596,0.4819129705429077,0.2942107617855072,0.2634589672088623,0.43216490745544434,0.28837618231773376,0.1275252103805542,0.4854315221309662,0.16985496878623962,0.22961433231830597
in,0.6662389636039734,0.2802596986293793,0.21061907708644867,1.0,0.15881246328353882,0.26527702808380127,0.3481820821762085,0.22249144315719604,0.20878943800926208,0.3887844979763031,0.30808621644973755,0.1761927455663681,0.5696388483047485,0.21061907708644867,0.20430970191955566
c,0.17891426384449005,0.156046524643898,0.10926929116249084,0.1977744996547699,0.16705317795276642,0.17217868566513062,0.1635768711566925,0.18655075132846832,0.2357630729675293,0.1792764812707901,0.13697408139705658,0.16583140194416046,0.1682119220495224,0.10926929116249084,0.14264722168445587
and,0.5171257257461548,0.28122833371162415,0.285793662071228,0.4954058527946472,0.1060066819190979,0.3675691485404968,0.41766801476478577,0.3017566204071045,0.26158156991004944,0.49487000703811646,0.31309178471565247,0.20710228383541107,0.5116966962814331,0.285793662071228,0.20544172823429108
hard,0.25233224034309387,0.49306267499923706,0.2970162034034729,0.20126917958259583,0.29150816798210144,0.3911363482475281,0.3036598861217499,0.21544723212718964,0.18281473219394684,0.1896330565214157,0.3417404592037201,0.1615394502878189,0.21288733184337616,0.2970162034034729,0.1823338270187378
for,0.4739971458911896,0.2619372010231018,0.27039530873298645,0.4322226941585541,0.1543017327785492,0.35690054297447205,0.3801851272583008,0.2936125099658966,0.25893163681030273,0.44774648547172546,0.3017193675041199,0.17833863198757172,0.4185989499092102,0.27039530873298645,0.264628142118454
