,how,would,one,create,an,empire,by,means,of,imperialism,?
the,0.33890387415885925,0.4133751392364502,0.5514441132545471,0.25265660881996155,0.4207492768764496,0.32532164454460144,0.4408751428127289,0.32225894927978516,0.733189046382904,0.2716025412082672,0.22068053483963013
meaning,0.25464874505996704,0.2249758541584015,0.2674415111541748,0.20791490375995636,0.20769064128398895,0.1641523391008377,0.10501331090927124,0.7426961660385132,0.2447882443666458,0.2165427953004837,0.20420892536640167
of,0.2480744868516922,0.3353942930698395,0.4999135136604309,0.23675619065761566,0.32280945777893066,0.30522286891937256,0.3646814823150635,0.29942914843559265,1.0,0.29240643978118896,0.1826142966747284
imperialism,0.19419045746326447,0.23777715861797333,0.19011688232421875,0.22157476842403412,0.14707738161087036,0.43987444043159485,0.21250218152999878,0.180331289768219,0.29240643978118896,1.0,0.14998586475849152
is,0.22544461488723755,0.33626067638397217,0.4544198513031006,0.2645336091518402,0.4654068350791931,0.18343110382556915,0.3899846076965332,0.4087343215942383,0.4854315221309662,0.13894762098789215,0.22961433231830597
to,0.44169697165489197,0.5965728163719177,0.4025384783744812,0.41124165058135986,0.3138085603713989,0.21448755264282227,0.33534231781959534,0.2301892638206482,0.41548454761505127,0.21685542166233063,0.29463258385658264
create,0.3201237618923187,0.37296369671821594,0.3087306022644043,1.0,0.23360596597194672,0.10847453773021698,0.23152023553848267,0.2608790099620819,0.23675619065761566,0.22157476842403412,0.300167441368103
an,0.2520636022090912,0.2650099992752075,0.2829729914665222,0.23360596597194672,1.0,0.16588738560676575,0.2719563841819763,0.256989985704422,0.32280945777893066,0.14707738161087036,0.19793890416622162
empire,0.14771032333374023,0.2288145273923874,0.16164056956768036,0.10847453773021698,0.16588738560676575,1.0000001192092896,0.19236046075820923,0.19140493869781494,0.30522286891937256,0.43987444043159485,0.14909450709819794
",",0.22659391164779663,0.32586824893951416,0.3696635365486145,0.2240353375673294,0.3581022024154663,0.27646857500076294,0.3680937886238098,0.24041147530078888,0.4946078956127167,0.2420617640018463,0.31091248989105225
by,0.34370526671409607,0.28394925594329834,0.29445651173591614,0.23152023553848267,0.2719563841819763,0.19236046075820923,1.0000001192092896,0.16834649443626404,0.3646814823150635,0.21250218152999878,0.17966607213020325
conquering,0.20041711628437042,0.271154522895813,0.2229035645723343,0.24011901021003723,0.12081211060285568,0.5561412572860718,0.257876992225647,0.224051833152771,0.3325044810771942,0.3340580463409424,0.16821224987506866
the,0.33890387415885925,0.4133751392364502,0.5514441132545471,0.25265660881996155,0.4207492768764496,0.32532164454460144,0.4408751428127289,0.32225894927978516,0.733189046382904,0.2716025412082672,0.22068053483963013
other,0.3591516315937042,0.37565508484840393,0.45956575870513916,0.30625778436660767,0.1556563824415207,0.17392708361148834,0.3321913778781891,0.2498726099729538,0.38583824038505554,0.19548238813877106,0.24682199954986572
state,0.15028610825538635,0.17657263576984406,0.23717761039733887,0.21626463532447815,0.2181641161441803,0.30762815475463867,0.2263980358839035,0.1855771839618683,0.34253445267677307,0.28228023648262024,0.1160883978009224
