,tumor,antigens,are,complexed,with,mhc,class,i,molecules,in,the,same,way,as,what,antigens,?
tumor,1.0,0.43861162662506104,0.13266056776046753,0.2762240767478943,0.170615553855896,0.40494397282600403,0.07426197081804276,0.12357273697853088,0.30136051774024963,0.21095719933509827,0.19744063913822174,0.17821580171585083,0.16644927859306335,0.15087388455867767,0.245636448264122,0.43861162662506104,0.18998058140277863
antigens,0.43861162662506104,0.9999999403953552,0.3016895651817322,0.28468796610832214,0.24492989480495453,0.6622920632362366,0.11736816167831421,0.17652764916419983,0.5595588684082031,0.18266505002975464,0.2716159522533417,0.23878498375415802,0.27886685729026794,0.20490676164627075,0.1918221414089203,0.9999999403953552,0.21072189509868622
are,0.13266056776046753,0.3016895651817322,1.0,0.31321266293525696,0.38996943831443787,0.3820771276950836,0.1495869755744934,0.21339178085327148,0.3300325572490692,0.3841303884983063,0.40399202704429626,0.3446533679962158,0.3754369020462036,0.3826591968536377,0.29724663496017456,0.3016895651817322,0.24591213464736938
presented,0.07858621329069138,0.1766316443681717,0.17209945619106293,0.2755547761917114,0.270183265209198,0.1622621715068817,0.15995411574840546,0.14117524027824402,0.1289520263671875,0.3047972023487091,0.3251480758190155,0.26945504546165466,0.2160886824131012,0.27148348093032837,0.23381416499614716,0.1766316443681717,0.17025142908096313
on,0.19277973473072052,0.19664430618286133,0.268924742937088,0.23776984214782715,0.40749499201774597,0.21456308662891388,0.1869632750749588,0.238076314330101,0.16564491391181946,0.46853652596473694,0.5107308030128479,0.39247995615005493,0.2997978627681732,0.36047765612602234,0.34226128458976746,0.19664430618286133,0.2714994251728058
mhc,0.40494397282600403,0.6622920632362366,0.3820771276950836,0.4116612374782562,0.26297271251678467,1.0000001192092896,0.22516021132469177,0.22048720717430115,0.5917088985443115,0.25616973638534546,0.32005053758621216,0.3076710104942322,0.3377687931060791,0.2448122501373291,0.30283498764038086,0.6622920632362366,0.21010775864124298
class,0.07426197081804276,0.11736816167831421,0.1495869755744934,0.12825226783752441,0.17964689433574677,0.22516021132469177,1.0,0.12493371218442917,0.13537372648715973,0.1761927455663681,0.18034407496452332,0.15278758108615875,0.17762340605258942,0.22566811740398407,0.16880196332931519,0.11736816167831421,0.12778934836387634
i,0.12357273697853088,0.17652764916419983,0.21339178085327148,0.23935385048389435,0.2640714943408966,0.22048720717430115,0.12493371218442917,0.9999999403953552,0.21020156145095825,0.22907796502113342,0.26687872409820557,0.20383693277835846,0.30472666025161743,0.28558287024497986,0.4411132335662842,0.17652764916419983,0.4695145785808563
molecules,0.30136051774024963,0.5595588684082031,0.3300325572490692,0.3793956935405731,0.2543012797832489,0.5917088985443115,0.13537372648715973,0.21020156145095825,0.9999999403953552,0.2197362184524536,0.2374771386384964,0.2571842670440674,0.3681730628013611,0.2531224191188812,0.2143162339925766,0.5595588684082031,0.17409995198249817
in,0.21095719933509827,0.18266505002975464,0.3841303884983063,0.32906800508499146,0.4080928862094879,0.25616973638534546,0.1761927455663681,0.22907796502113342,0.2197362184524536,1.0,0.6662389636039734,0.3692481815814972,0.30444321036338806,0.3887844979763031,0.30808621644973755,0.18266505002975464,0.20430970191955566
a,0.25356221199035645,0.27554184198379517,0.265255331993103,0.29589778184890747,0.3783375024795532,0.3490493595600128,0.23462694883346558,0.3155658543109894,0.23147501051425934,0.539380669593811,0.5829201340675354,0.4048157036304474,0.3330821096897125,0.39550232887268066,0.3320399522781372,0.27554184198379517,0.23916715383529663
similar,0.0955054759979248,0.21178515255451202,0.4060479998588562,0.29750463366508484,0.36291107535362244,0.37024831771850586,0.24328169226646423,0.1666337251663208,0.2314271181821823,0.28091391921043396,0.2963123023509979,0.554066002368927,0.3371926546096802,0.30915290117263794,0.30608364939689636,0.21178515255451202,0.23309361934661865
way,0.16644927859306335,0.27886685729026794,0.3754369020462036,0.35258734226226807,0.3546393811702728,0.3377687931060791,0.17762340605258942,0.30472666025161743,0.3681730628013611,0.30444321036338806,0.36217406392097473,0.3350374400615692,1.0,0.3409440517425537,0.4835909903049469,0.27886685729026794,0.31575819849967957
to,0.21333608031272888,0.2549254596233368,0.3504326641559601,0.3124806880950928,0.4239959120750427,0.285098671913147,0.18696844577789307,0.3140375316143036,0.2749134600162506,0.45010748505592346,0.535392165184021,0.3205692768096924,0.4772548973560333,0.42092081904411316,0.455847829580307,0.2549254596233368,0.29463258385658264
viral,0.45934829115867615,0.5131372809410095,0.19067302346229553,0.28913748264312744,0.17286230623722076,0.44677871465682983,0.09542662650346756,0.13434021174907684,0.3673291802406311,0.24575361609458923,0.24132177233695984,0.16622941195964813,0.2135431170463562,0.18177951872348785,0.16982226073741913,0.5131372809410095,0.15731066465377808
antigens,0.43861162662506104,0.9999999403953552,0.3016895651817322,0.28468796610832214,0.24492989480495453,0.6622920632362366,0.11736816167831421,0.17652764916419983,0.5595588684082031,0.18266505002975464,0.2716159522533417,0.23878498375415802,0.27886685729026794,0.20490676164627075,0.1918221414089203,0.9999999403953552,0.21072189509868622
.,0.23771098256111145,0.2706400752067566,0.3452940285205841,0.24388685822486877,0.4446153938770294,0.2869736850261688,0.24688394367694855,0.33645379543304443,0.25748172402381897,0.5591574311256409,0.5934505462646484,0.3682591915130615,0.33520638942718506,0.515582263469696,0.3567904531955719,0.2706400752067566,0.4130953550338745
