,do,the,u.s.,flags,on,the,moon,still,have,their,original,coloring,or,were,they,faded,due,to,the,sun,?
all,0.38664430379867554,0.4860881567001343,0.074127696454525,0.2552257776260376,0.3832052946090698,0.4860881567001343,0.15991857647895813,0.3996075987815857,0.5559456944465637,0.47224584221839905,0.2580833435058594,0.2923254072666168,0.3321593105792999,0.4387909770011902,0.4884434938430786,0.2560638189315796,0.23299095034599304,0.42520734667778015,0.4860881567001343,0.22162102162837982,0.29575422406196594
of,0.26150479912757874,0.733189046382904,0.011562774889171124,0.29490622878074646,0.3966929316520691,0.733189046382904,0.18815091252326965,0.3288819193840027,0.3802283704280853,0.4329940676689148,0.30228546261787415,0.2355513870716095,0.3792596757411957,0.34038281440734863,0.3426007330417633,0.18760055303573608,0.2533245384693146,0.41548454761505127,0.733189046382904,0.22858914732933044,0.1826142966747284
the,0.30239659547805786,1.0,0.06592652946710587,0.2511677145957947,0.5107308030128479,1.0,0.23613092303276062,0.40142056345939636,0.40389683842658997,0.516537070274353,0.4037000238895416,0.26613783836364746,0.4174870550632477,0.3906462490558624,0.49925389885902405,0.30871185660362244,0.22577603161334991,0.535392165184021,1.0,0.258540540933609,0.22068053483963013
u.,-0.08185695111751556,0.21289505064487457,0.2211625725030899,0.05793841555714607,0.12561525404453278,0.21289505064487457,-0.025993268936872482,0.019179118797183037,-0.05998024716973305,-0.013664412312209606,0.022072121500968933,-0.08248265087604523,-0.05577005818486214,0.12014316767454147,-0.009787235409021378,-0.050270095467567444,0.03329124674201012,0.03670142590999603,0.21289505064487457,0.021387921646237373,-0.06354963779449463
s.,-0.051255807280540466,-0.04539619758725166,0.8390329480171204,-0.02320871502161026,-0.046693962067365646,-0.04539619758725166,-0.0479264110326767,-0.019452298060059547,-0.0358240008354187,-0.00863678753376007,-0.06057484820485115,-0.011436940170824528,-0.07073240727186203,-0.06474020332098007,0.01456686295568943,-0.07508926838636398,-0.14192897081375122,-0.003180847968906164,-0.04539619758725166,-0.09223271906375885,0.07581593841314316
flags,0.2095758467912674,0.2511677145957947,0.005489844363182783,1.0000001192092896,0.1942603588104248,0.2511677145957947,0.13041232526302338,0.27215179800987244,0.25508561730384827,0.18101993203163147,0.20016935467720032,0.21907208859920502,0.24135741591453552,0.19714027643203735,0.2008807212114334,0.08775503188371658,0.10389632731676102,0.20655274391174316,0.2511677145957947,0.19042983651161194,0.19655367732048035
left,0.1755148321390152,0.33113980293273926,0.09375697374343872,0.08661766350269318,0.30747801065444946,0.33113980293273926,0.09804370254278183,0.24864540994167328,0.18994800746440887,0.22544988989830017,0.17050133645534515,0.1956782042980194,0.19077488780021667,0.2213863730430603,0.25060954689979553,0.2860763370990753,0.15052592754364014,0.2724500000476837,0.33113980293273926,0.11846204847097397,0.13251960277557373
on,0.3025321364402771,0.5107308030128479,0.0330372117459774,0.1942603588104248,0.9999999403953552,0.5107308030128479,0.20249907672405243,0.317820280790329,0.36494916677474976,0.3598666191101074,0.21149557828903198,0.2574481964111328,0.2897229492664337,0.2774328887462616,0.31295230984687805,0.24122223258018494,0.3553527891635895,0.41031414270401,0.5107308030128479,0.1976291835308075,0.2714994251728058
the,0.30239659547805786,1.0,0.06592652946710587,0.2511677145957947,0.5107308030128479,1.0,0.23613092303276062,0.40142056345939636,0.40389683842658997,0.516537070274353,0.4037000238895416,0.26613783836364746,0.4174870550632477,0.3906462490558624,0.49925389885902405,0.30871185660362244,0.22577603161334991,0.535392165184021,1.0,0.258540540933609,0.22068053483963013
moon,0.1318484991788864,0.23613092303276062,-0.031946003437042236,0.13041232526302338,0.20249907672405243,0.23613092303276062,1.0,0.17969228327274323,0.2214115560054779,0.15039147436618805,0.22379831969738007,0.20427455008029938,0.18466947972774506,0.15599286556243896,0.2035096138715744,0.2233344316482544,0.12342426925897598,0.17707908153533936,0.23613092303276062,0.4509829580783844,0.1442703753709793
