,who,included,1,as,the,first,prime,number,in,the,mid,18th,century,?
in,0.2792111933231354,0.32433560490608215,-0.10660158097743988,0.3887844979763031,0.6662389636039734,0.4127444326877594,0.18097394704818726,0.3024539053440094,1.0,0.6662389636039734,0.3212345242500305,0.19408075511455536,0.3174034655094147,0.20430970191955566
the,0.3733934462070465,0.3825419843196869,-0.1554475575685501,0.48381632566452026,1.0,0.49448907375335693,0.19960100948810577,0.35145696997642517,0.6662389636039734,1.0,0.28870436549186707,0.2844390869140625,0.3617299497127533,0.22068053483963013
mid-18th,0.21856708824634552,0.22791971266269684,-0.21605585515499115,0.23968467116355896,0.3903619647026062,0.3435785174369812,0.1394842118024826,0.27358657121658325,0.3102942109107971,0.3903619647026062,0.513382613658905,0.6014653444290161,0.2913852035999298,0.07706829905509949
century,0.2990973889827728,0.24902856349945068,-0.16738790273666382,0.24608509242534637,0.3617299497127533,0.32110705971717834,0.21726654469966888,0.20585349202156067,0.3174034655094147,0.3617299497127533,0.3453138470649719,0.25759825110435486,1.0,0.1026201918721199
christian,0.2929514944553375,0.12153258919715881,-0.07594680786132812,0.23712071776390076,0.19930796325206757,0.18183982372283936,0.17050373554229736,0.1501607596874237,0.17218929529190063,0.19930796325206757,0.1777886599302292,0.1969607025384903,0.22852429747581482,0.1508396863937378
goldbach,0.19732344150543213,0.16759847104549408,-0.170419842004776,0.2164699137210846,0.24237017333507538,0.23642849922180176,0.29677820205688477,0.2704787254333496,0.2507602274417877,0.24237017333507538,0.09376812726259232,0.2237192839384079,0.29699257016181946,0.2395816594362259
listed,0.226549431681633,0.41400259733200073,-0.1742299348115921,0.28461623191833496,0.31246060132980347,0.18757222592830658,0.08070535957813263,0.27490437030792236,0.2905867397785187,0.31246060132980347,0.11524026840925217,0.08018497377634048,0.22056150436401367,0.2152968794107437
1,-0.35742413997650146,-0.21177932620048523,1.0,-0.2728762626647949,-0.1554475575685501,-0.26829156279563904,-0.17159132659435272,-0.20963284373283386,-0.10660158097743988,-0.1554475575685501,-0.05371328815817833,-0.1832277476787567,-0.16738790273666382,-0.249979168176651
as,0.3923053741455078,0.34162476658821106,-0.2728762626647949,1.0,0.48381632566452026,0.33842000365257263,0.17482610046863556,0.26786008477211,0.3887844979763031,0.48381632566452026,0.17184065282344818,0.20181994140148163,0.24608509242534637,0.27043893933296204
the,0.3733934462070465,0.3825419843196869,-0.1554475575685501,0.48381632566452026,1.0,0.49448907375335693,0.19960100948810577,0.35145696997642517,0.6662389636039734,1.0,0.28870436549186707,0.2844390869140625,0.3617299497127533,0.22068053483963013
first,0.39065709710121155,0.23475037515163422,-0.26829156279563904,0.33842000365257263,0.49448907375335693,1.0,0.21695679426193237,0.28294017910957336,0.4127444326877594,0.49448907375335693,0.2851056456565857,0.33319997787475586,0.32110705971717834,0.18701928853988647
prime,0.16031751036643982,0.1463170349597931,-0.17159132659435272,0.17482610046863556,0.19960100948810577,0.21695679426193237,1.0,0.2556258738040924,0.18097394704818726,0.19960100948810577,0.14355769753456116,0.14046207070350647,0.21726654469966888,0.11276303976774216
in,0.2792111933231354,0.32433560490608215,-0.10660158097743988,0.3887844979763031,0.6662389636039734,0.4127444326877594,0.18097394704818726,0.3024539053440094,1.0,0.6662389636039734,0.3212345242500305,0.19408075511455536,0.3174034655094147,0.20430970191955566
his,0.44966956973075867,0.2414456307888031,-0.325827419757843,0.3146366477012634,0.4394008219242096,0.3241460621356964,0.18129520118236542,0.1706494837999344,0.3598145842552185,0.4394008219242096,0.18190979957580566,0.14778822660446167,0.2985166609287262,0.18075084686279297
famous,0.31358224153518677,0.3758326470851898,-0.07646410912275314,0.21419654786586761,0.28616565465927124,0.36207643151283264,0.15889182686805725,0.1964578628540039,0.34673580527305603,0.28616565465927124,0.13244417309761047,0.18988648056983948,0.3113352656364441,0.10379006713628769
correspondence,0.17214006185531616,0.26945534348487854,-0.2327471524477005,0.2708023190498352,0.26956990361213684,0.24653688073158264,0.2221871316432953,0.2234998643398285,0.21618033945560455,0.26956990361213684,0.08457182347774506,0.13396525382995605,0.20092935860157013,0.14282876253128052
with,0.3282766342163086,0.329644113779068,-0.2545506954193115,0.40387406945228577,0.4223487675189972,0.2691199779510498,0.09384632855653763,0.2513769268989563,0.4080928862094879,0.4223487675189972,0.21376389265060425,0.22789286077022552,0.1467021107673645,0.2433311939239502
leonhard,0.24226494133472443,0.15459701418876648,-0.07306969165802002,0.21765555441379547,0.252002090215683,0.22656674683094025,0.19530591368675232,0.2683301270008087,0.2711694836616516,0.252002090215683,0.1352909952402115,0.10748417675495148,0.2855898439884186,0.1408410221338272
euler,0.18170791864395142,0.0800924301147461,-0.16304214298725128,0.18326888978481293,0.21362240612506866,0.1975211799144745,0.254491925239563,0.30543291568756104,0.22273866832256317,0.21362240612506866,0.05697322636842728,0.18386134505271912,0.25118404626846313,0.1553041934967041
