,what,did,luther,deny,the,rebels,?
without,0.3181614279747009,0.3172723054885864,0.14397957921028137,0.2437155544757843,0.3270869255065918,0.19012820720672607,0.2928665280342102
luther,0.2134782373905182,0.23667675256729126,1.0,0.15067046880722046,0.1759674996137619,0.13136224448680878,0.1732746809720993
's,0.02692362666130066,0.05069678649306297,-0.009990512393414974,0.03831293806433678,-0.01540423184633255,-0.03151790797710419,-0.023395681753754616
backing,0.223257914185524,0.19753329455852509,0.20424389839172363,0.11212466657161713,0.16498790681362152,0.20690971612930298,0.2067745327949524
for,0.3017193675041199,0.318512886762619,0.12958186864852905,0.2481296807527542,0.4739971458911896,0.13069455325603485,0.264628142118454
the,0.42745697498321533,0.34736719727516174,0.1759674996137619,0.1799120455980301,1.0,0.299993097782135,0.22068053483963013
uprising,0.1901596337556839,0.175702303647995,0.15182209014892578,0.24633356928825378,0.2853594124317169,0.4841636121273041,0.13645027577877045
",",0.3087472915649414,0.3015086054801941,0.23255878686904907,0.24250644445419312,0.4933079481124878,0.21645475924015045,0.31091248989105225
many,0.36131182312965393,0.375588983297348,0.2471185326576233,0.25963854789733887,0.4335206151008606,0.23034021258354187,0.2124512493610382
rebels,0.14121466875076294,0.21571314334869385,0.13136224448680878,0.2093568742275238,0.299993097782135,0.9999999403953552,0.11566741019487381
laid,0.1648951917886734,0.2033681571483612,0.10750522464513779,0.12024188786745071,0.30588608980178833,0.171327605843544,0.11215737462043762
down,0.26226112246513367,0.2029697746038437,0.14699994027614594,0.17642579972743988,0.3325848877429962,0.21455158293247223,0.13836295902729034
their,0.35142919421195984,0.38078752160072327,0.1988239735364914,0.3020284175872803,0.516537070274353,0.22514595091342926,0.1898253709077835
weapons,0.18805687129497528,0.2783046066761017,0.15860192477703094,0.1888577938079834,0.24496999382972717,0.26415303349494934,0.12573792040348053
;,0.10986888408660889,0.10727239400148392,0.022799020633101463,0.0073604038916528225,0.09152708947658539,0.006141201127320528,0.10349778085947037
others,0.3888046145439148,0.3710305690765381,0.2027793675661087,0.3076491951942444,0.34376874566078186,0.2663387060165405,0.26705288887023926
felt,0.31107643246650696,0.40926527976989746,0.11177221685647964,0.2154209166765213,0.28054580092430115,0.13348770141601562,0.17489777505397797
betrayed,0.22622348368167877,0.29132699966430664,0.20589245855808258,0.29219546914100647,0.2555851638317108,0.3437046408653259,0.15107960999011993
.,0.3567904531955719,0.35288307070732117,0.24907569587230682,0.243691086769104,0.5934505462646484,0.2102697193622589,0.4130953550338745
