,which,group,headlined,the,super,bowl,50,halftime,show,?
the,0.6521818041801453,0.30795547366142273,0.2894550859928131,1.0,0.21959073841571808,0.21576224267482758,0.03602437674999237,0.31780552864074707,0.319829523563385,0.22068053483963013
super,0.25759580731391907,0.19919921457767487,0.18724042177200317,0.21959073841571808,1.0000001192092896,0.4848237931728363,0.0833745002746582,0.4056760370731354,0.16737808287143707,0.166326642036438
bowl,0.23468568921089172,0.07137768715620041,0.1954048126935959,0.21576224267482758,0.4848237931728363,1.0,0.005446359980851412,0.4822790324687958,0.19135026633739471,0.21118052303791046
50,0.022181637585163116,0.030915753915905952,0.07918412983417511,0.03602437674999237,0.0833745002746582,0.005446359980851412,0.9999999403953552,0.010851318016648293,0.13040520250797272,0.030512850731611252
halftime,0.27708420157432556,0.1973573863506317,0.4387337267398834,0.31780552864074707,0.4056760370731354,0.4822790324687958,0.010851318016648293,1.0000001192092896,0.3664279878139496,0.21138669550418854
show,0.32096749544143677,0.24681155383586884,0.2542087435722351,0.319829523563385,0.16737808287143707,0.19135026633739471,0.13040520250797272,0.3664279878139496,0.9999999403953552,0.2520138621330261
was,0.2830964922904968,0.1789962202310562,0.22705139219760895,0.48711544275283813,0.21420986950397491,0.21915455162525177,-0.0011744623770937324,0.3564006984233856,0.20142383873462677,0.18412111699581146
headlined,0.23312006890773773,0.1444120705127716,1.0000001192092896,0.2894550859928131,0.18724042177200317,0.1954048126935959,0.07918412983417511,0.4387337267398834,0.2542087435722351,0.26601076126098633
by,0.40543368458747864,0.2915726900100708,0.2042505443096161,0.4408751428127289,0.15233319997787476,0.12992306053638458,0.03871260583400726,0.3021155297756195,0.2779667377471924,0.17966607213020325
the,0.6521818041801453,0.30795547366142273,0.2894550859928131,1.0,0.21959073841571808,0.21576224267482758,0.03602437674999237,0.31780552864074707,0.319829523563385,0.22068053483963013
british,0.2002234309911728,0.2279059737920761,0.11987248063087463,0.28973397612571716,0.09609456360340118,0.07435981184244156,-0.0867072194814682,0.15968884527683258,0.23710712790489197,0.09711728990077972
