,how,many,species,of,insects,are,known,in,the,region,?
the,0.33890387415885925,0.4335206151008606,0.2522439956665039,0.733189046382904,0.23963448405265808,0.40399202704429626,0.3624623417854309,0.6662389636039734,1.0,0.35020557045936584,0.22068053483963013
region,0.15155482292175293,0.17234529554843903,0.22915275394916534,0.2852717339992523,0.1596173793077469,0.20011243224143982,0.17667947709560394,0.3524819314479828,0.35020557045936584,1.0,0.13441751897335052
is,0.22544461488723755,0.2649032473564148,0.2673557698726654,0.4854315221309662,0.18573613464832306,0.5330929756164551,0.41921812295913696,0.5394441485404968,0.5823672413825989,0.3317503035068512,0.22961433231830597
home,0.11464780569076538,0.19523783028125763,0.10892216116189957,0.24402645230293274,0.09084101766347885,0.17890439927577972,0.14080116152763367,0.30467477440834045,0.28978195786476135,0.12647393345832825,0.0757145956158638
to,0.44169697165489197,0.40243685245513916,0.2193736732006073,0.41548454761505127,0.21145442128181458,0.3504326641559601,0.14337651431560516,0.45010748505592346,0.535392165184021,0.24118299782276154,0.29463258385658264
about,0.44264400005340576,0.3800397515296936,0.24729883670806885,0.40939709544181824,0.19460409879684448,0.36165615916252136,0.25154873728752136,0.39797019958496094,0.37995871901512146,0.20967209339141846,0.302409827709198
2.5,-0.16656439006328583,-0.2608198821544647,-0.06003810465335846,-0.24039185047149658,-0.0543033741414547,-0.17153534293174744,-0.1561388224363327,-0.13183799386024475,-0.2036779820919037,-0.02218550257384777,0.058774158358573914
million,0.21114659309387207,0.3520967364311218,0.23049934208393097,0.21686489880084991,0.13193723559379578,0.21881309151649475,0.20454098284244537,0.2596224844455719,0.277012437582016,0.2246832400560379,0.23092924058437347
insect,0.22848427295684814,0.21827678382396698,0.4791181981563568,0.2153836041688919,0.8695406913757324,0.2516767680644989,0.20331154763698578,0.2097979038953781,0.23418988287448883,0.18199963867664337,0.17614327371120453
species,0.20142129063606262,0.25436872243881226,0.9999999403953552,0.23307405412197113,0.5411456227302551,0.3297041952610016,0.23394286632537842,0.2179255336523056,0.2522439956665039,0.22915275394916534,0.1957087516784668
",",0.22659391164779663,0.40610817074775696,0.2223871648311615,0.4946078956127167,0.23780211806297302,0.4062570035457611,0.3604377806186676,0.5201468467712402,0.4933079481124878,0.2119160145521164,0.31091248989105225
tens,0.26356157660484314,0.41031157970428467,0.1264263242483139,0.2564631402492523,0.20653650164604187,0.313627153635025,0.09217830747365952,0.3230520486831665,0.30182886123657227,0.14710119366645813,0.17227669060230255
of,0.2480744868516922,0.37253960967063904,0.23307405412197113,1.0,0.22031989693641663,0.39081433415412903,0.35814476013183594,0.5696388483047485,0.733189046382904,0.2852717339992523,0.1826142966747284
thousands,0.2813407778739929,0.5732859373092651,0.2387818843126297,0.27601075172424316,0.2506362199783325,0.3605367839336395,0.14949142932891846,0.26048728823661804,0.2934577763080597,0.19020380079746246,0.15520451962947845
of,0.2480744868516922,0.37253960967063904,0.23307405412197113,1.0,0.22031989693641663,0.39081433415412903,0.35814476013183594,0.5696388483047485,0.733189046382904,0.2852717339992523,0.1826142966747284
plants,0.2699413597583771,0.3341540992259979,0.5846481919288635,0.29386165738105774,0.5730976462364197,0.35990846157073975,0.24338334798812866,0.2697395086288452,0.29499560594558716,0.2067413181066513,0.1473488062620163
",",0.22659391164779663,0.40610817074775696,0.2223871648311615,0.4946078956127167,0.23780211806297302,0.4062570035457611,0.3604377806186676,0.5201468467712402,0.4933079481124878,0.2119160145521164,0.31091248989105225
and,0.33647966384887695,0.5296266674995422,0.23547904193401337,0.5116966962814331,0.26325875520706177,0.48576638102531433,0.3468935489654541,0.4954058527946472,0.5171257257461548,0.2372262328863144,0.20544172823429108
some,0.4180530905723572,0.7976660132408142,0.3064201772212982,0.4300730526447296,0.3443240225315094,0.6331475377082825,0.29982712864875793,0.4010399878025055,0.4566698372364044,0.13805310428142548,0.2562315762042999
"2,000",-0.008793028071522713,0.004640443250536919,-0.20660895109176636,0.10164742916822433,-0.10680513083934784,-0.0922631248831749,0.053474098443984985,0.04807119444012642,0.06475643068552017,-0.12911325693130493,-0.01396813802421093
birds,0.21416977047920227,0.26239219307899475,0.5187767744064331,0.2461683750152588,0.6026654243469238,0.3183206617832184,0.17429178953170776,0.2125139683485031,0.24023959040641785,0.12036339193582535,0.13677363097667694
and,0.33647966384887695,0.5296266674995422,0.23547904193401337,0.5116966962814331,0.26325875520706177,0.48576638102531433,0.3468935489654541,0.4954058527946472,0.5171257257461548,0.2372262328863144,0.20544172823429108
mammals,0.18897929787635803,0.2083161473274231,0.5211568474769592,0.2500741481781006,0.540608823299408,0.29493120312690735,0.15180043876171112,0.21902817487716675,0.27272844314575195,0.20167268812656403,0.14248336851596832
.,0.3287222981452942,0.3974229395389557,0.25772613286972046,0.5352458953857422,0.2307789921760559,0.3452940285205841,0.283290296792984,0.5591574311256409,0.5934505462646484,0.2506107687950134,0.4130953550338745
