,in,the,effort,of,maintaining,a,level,of,abstraction,",",what,choice,is,typically,left,independent,?
even,0.29146435856819153,0.37996912002563477,0.347800612449646,0.34735506772994995,0.3584935963153839,0.3278432786464691,0.1827225238084793,0.34735506772994995,0.2485014796257019,0.34610581398010254,0.40872135758399963,0.23453402519226074,0.28202980756759644,0.38087812066078186,0.2068864405155182,0.21755969524383545,0.30082517862319946
though,0.3193182945251465,0.38776206970214844,0.3341895639896393,0.37307101488113403,0.37499305605888367,0.33230000734329224,0.22729115188121796,0.37307101488113403,0.2529425323009491,0.42253127694129944,0.4089210331439972,0.2680376172065735,0.3265945613384247,0.31032806634902954,0.1958949863910675,0.25244221091270447,0.3188856542110443
some,0.4010399878025055,0.4566698372364044,0.2178613543510437,0.4300730526447296,0.28320053219795227,0.34539633989334106,0.23110966384410858,0.4300730526447296,0.24685260653495789,0.42400437593460083,0.4491020441055298,0.2147456556558609,0.3038453459739685,0.47280338406562805,0.20906399190425873,0.24364283680915833,0.2562315762042999
proofs,0.17666825652122498,0.18933646380901337,0.22440598905086517,0.18107430636882782,0.24893894791603088,0.2313278615474701,0.16535454988479614,0.18107430636882782,0.4667310118675232,0.19499586522579193,0.2780887484550476,0.17639465630054474,0.17968888580799103,0.24030138552188873,0.12109101563692093,0.09716209769248962,0.2640763521194458
of,0.5696388483047485,0.733189046382904,0.21940191090106964,1.0,0.30511942505836487,0.5052502155303955,0.23504668474197388,1.0,0.25022467970848083,0.4946078956127167,0.33290785551071167,0.23419108986854553,0.4854315221309662,0.28964799642562866,0.2218635529279709,0.30508819222450256,0.1826142966747284
complexity-theoretic,0.24531492590904236,0.254231721162796,0.31420060992240906,0.27346962690353394,0.3271484971046448,0.3344157338142395,0.31180840730667114,0.27346962690353394,0.5961313843727112,0.30885571241378784,0.3464883863925934,0.2802879512310028,0.31617769598960876,0.31827977299690247,0.17111040651798248,0.21227847039699554,0.22032290697097778
theorems,0.17575396597385406,0.2027275562286377,0.1559334695339203,0.2440456598997116,0.16549213230609894,0.22510939836502075,0.14988753199577332,0.2440456598997116,0.48273828625679016,0.20761509239673615,0.29447367787361145,0.21936337649822235,0.2505685091018677,0.17743705213069916,0.10966620594263077,0.12631143629550934,0.19396957755088806
regularly,0.3247656226158142,0.2797985076904297,0.16593323647975922,0.17059080302715302,0.26083114743232727,0.23726391792297363,0.2056789994239807,0.17059080302715302,0.12530504167079926,0.27084603905677795,0.23673877120018005,0.13163886964321136,0.21414972841739655,0.32885387539863586,0.08638723939657211,0.19641119241714478,0.24666962027549744
assume,0.18527249991893768,0.22952081263065338,0.28046301007270813,0.25215187668800354,0.27263766527175903,0.25669845938682556,0.2766139805316925,0.25215187668800354,0.26738983392715454,0.23949390649795532,0.47351330518722534,0.28269997239112854,0.26546353101730347,0.21247786283493042,0.13413362205028534,0.2326097935438156,0.39130663871765137
some,0.4010399878025055,0.4566698372364044,0.2178613543510437,0.4300730526447296,0.28320053219795227,0.34539633989334106,0.23110966384410858,0.4300730526447296,0.24685260653495789,0.42400437593460083,0.4491020441055298,0.2147456556558609,0.3038453459739685,0.47280338406562805,0.20906399190425873,0.24364283680915833,0.2562315762042999
