,in,cases,of,shared,physical,medium,how,are,they,delivered
in,1.0,0.24487079679965973,0.5696388483047485,0.24815475940704346,0.20687337219715118,0.14635127782821655,0.2601168751716614,0.3841303884983063,0.4330179989337921,0.17497003078460693
case,0.2190418541431427,0.681205153465271,0.24743439257144928,0.13554970920085907,0.1464228630065918,0.20287580788135529,0.22917897999286652,0.26273006200790405,0.2654382288455963,0.21070463955402374
of,0.5696388483047485,0.31000128388404846,1.0,0.2307819277048111,0.3124530017375946,0.17851373553276062,0.2480744868516922,0.39081433415412903,0.3426007330417633,0.17907582223415375
a,0.539380669593811,0.3244450092315674,0.5052502155303955,0.13874579966068268,0.2210949957370758,0.2819516956806183,0.29312583804130554,0.265255331993103,0.3528250455856323,0.2538176476955414
shared,0.24815475940704346,0.09992337226867676,0.2307819277048111,0.9999998807907104,0.2642470896244049,0.10950738936662674,0.13892985880374908,0.20457136631011963,0.24926042556762695,0.1501687616109848
physical,0.20687337219715118,0.21126948297023773,0.3124530017375946,0.2642470896244049,0.9999999403953552,0.21368364989757538,0.3465515077114105,0.21667395532131195,0.22510039806365967,0.13165177404880524
medium,0.14635127782821655,0.2037787288427353,0.17851373553276062,0.10950738936662674,0.21368364989757538,1.0,0.1923702508211136,0.24433855712413788,0.1857030987739563,0.2304791957139969
(,0.3087427020072937,0.19813179969787598,0.35032153129577637,0.22719857096672058,0.14840729534626007,0.20234975218772888,0.1676948219537735,0.23263892531394958,0.22770340740680695,0.1400030255317688
such,0.2704046070575714,0.3680051267147064,0.3209529519081116,0.17670515179634094,0.2985974848270416,0.2591109871864319,0.307365357875824,0.4654397666454315,0.31174612045288086,0.12999404966831207
as,0.3887844979763031,0.2877117991447449,0.3886612355709076,0.1761624664068222,0.2420198619365692,0.19288280606269836,0.33782753348350525,0.3826591968536377,0.3294360637664795,0.21823139488697052
radio,0.22625693678855896,0.125605046749115,0.16079017519950867,0.08685529977083206,0.16729256510734558,0.2548438608646393,0.1959047019481659,0.1311035454273224,0.17119044065475464,0.14655250310897827
or,0.3586423695087433,0.44568488001823425,0.3792596757411957,0.2247755229473114,0.31585562229156494,0.2899248003959656,0.3378981947898865,0.5374364256858826,0.4633304476737976,0.16629020869731903
10base5,0.24819695949554443,0.18516403436660767,0.26509833335876465,0.19665338099002838,0.10880497097969055,0.12211162596940994,0.13498714566230774,0.15198756754398346,0.11829401552677155,0.14162907004356384
),0.3326910734176636,0.21103455126285553,0.3680361211299896,0.22237952053546906,0.165639266371727,0.18372027575969696,0.17939934134483337,0.2373749315738678,0.22818082571029663,0.15155762434005737
",",0.5201468467712402,0.25102201104164124,0.4946078956127167,0.2729959785938263,0.2047225534915924,0.1837785542011261,0.22659391164779663,0.4062570035457611,0.390799880027771,0.17977340519428253
the,0.6662389636039734,0.33415094017982483,0.733189046382904,0.21652492880821228,0.20230218768119812,0.21611663699150085,0.33890387415885925,0.40399202704429626,0.49925389885902405,0.24479162693023682
packets,0.18608306348323822,0.31380438804626465,0.13157235085964203,0.23188301920890808,0.21808969974517822,0.2549211382865906,0.32003575563430786,0.3438490629196167,0.37909695506095886,0.28281739354133606
may,0.3424151837825775,0.31341353058815,0.26447007060050964,0.20039263367652893,0.23965226113796234,0.1093943789601326,0.22490409016609192,0.3162533640861511,0.3371005356311798,0.19146524369716644
be,0.3481820821762085,0.42340087890625,0.33904364705085754,0.12532131373882294,0.27982616424560547,0.20830094814300537,0.4158933162689209,0.5556803941726685,0.4858434796333313,0.20535118877887726
delivered,0.17497003078460693,0.12652738392353058,0.17907582223415375,0.1501687616109848,0.13165177404880524,0.2304791957139969,0.20087435841560364,0.14380766451358795,0.19148345291614532,1.0000001192092896
according,0.29259276390075684,0.16094496846199036,0.3307822346687317,0.15243837237358093,0.20610688626766205,0.12248688191175461,0.29424387216567993,0.22847512364387512,0.16977015137672424,0.2130226343870163
to,0.45010748505592346,0.2987212836742401,0.41548454761505127,0.14570777118206024,0.24461913108825684,0.14374034106731415,0.44169697165489197,0.3504326641559601,0.5452046394348145,0.24276024103164673
a,0.539380669593811,0.3244450092315674,0.5052502155303955,0.13874579966068268,0.2210949957370758,0.2819516956806183,0.29312583804130554,0.265255331993103,0.3528250455856323,0.2538176476955414
multiple,0.18657618761062622,0.2657628357410431,0.20745883882045746,0.17827977240085602,0.21969270706176758,0.15260803699493408,0.2151651531457901,0.2621883153915405,0.24023684859275818,0.13796336948871613
access,0.1658785492181778,0.27840059995651245,0.22348599135875702,0.2123253345489502,0.3049476742744446,0.1795767992734909,0.26768216490745544,0.26493874192237854,0.26134634017944336,0.20584969222545624
scheme,0.1564595103263855,0.21549800038337708,0.1845000684261322,0.09300874918699265,0.129400834441185,0.09272247552871704,0.2220870554447174,0.15020869672298431,0.17925268411636353,0.16153304278850555
.,0.5591574311256409,0.29929009079933167,0.5352458953857422,0.2191859483718872,0.20608092844486237,0.18136726319789886,0.3287222981452942,0.3452940285205841,0.4510921239852905,0.21209438145160675
