,what,can,an,enthusiastic,teacher,be,to,a,young,student,?
an,0.2821882665157318,0.23671309649944305,1.0,0.22738100588321686,0.19733460247516632,0.33041056990623474,0.3138085603713989,0.44552403688430786,0.15689398348331451,0.20635002851486206,0.19793890416622162
enthusiastic,0.2375817894935608,0.2010515183210373,0.22738100588321686,0.9999999403953552,0.2953716516494751,0.20584885776042938,0.22432135045528412,0.3215213119983673,0.26625826954841614,0.19816339015960693,0.18814921379089355
teacher,0.20492632687091827,0.15007992088794708,0.19733460247516632,0.2953716516494751,0.9999998807907104,0.1891087293624878,0.1991342306137085,0.31202319264411926,0.24275179207324982,0.5754092335700989,0.1797819435596466
has,0.20338068902492523,0.4103628396987915,0.2991473078727722,0.168209046125412,0.16918911039829254,0.3863394856452942,0.3619994819164276,0.4670248031616211,0.11355983465909958,0.21276195347309113,0.15994466841220856
the,0.42745697498321533,0.312528520822525,0.4207492768764496,0.24707943201065063,0.17760860919952393,0.4248143136501312,0.535392165184021,0.5829201340675354,0.2729646563529968,0.21259291470050812,0.22068053483963013
ability,0.26366251707077026,0.48028168082237244,0.19394457340240479,0.3540475070476532,0.1877039670944214,0.30294734239578247,0.401883065700531,0.27422255277633667,0.13634063303470612,0.15595920383930206,0.1955445408821106
to,0.455847829580307,0.4979398250579834,0.3138085603713989,0.22432135045528412,0.1991342306137085,0.4972836375236511,1.0,0.45503583550453186,0.22202858328819275,0.21220189332962036,0.29463258385658264
be,0.3929833769798279,0.5791122913360596,0.33041056990623474,0.20584885776042938,0.1891087293624878,1.0,0.4972836375236511,0.39883795380592346,0.21104183793067932,0.1783752143383026,0.3324260413646698
very,0.37053924798965454,0.3976881802082062,0.2752308249473572,0.346713125705719,0.22527678310871124,0.4292002320289612,0.3902553617954254,0.45312565565109253,0.285164475440979,0.2577480971813202,0.20864155888557434
influential,0.21743842959403992,0.12238222360610962,0.18655282258987427,0.3454141616821289,0.30253082513809204,0.19617792963981628,0.13114871084690094,0.25374096632003784,0.24367429316043854,0.28016334772109985,0.1465693712234497
in,0.30808621644973755,0.26527702808380127,0.2605783939361572,0.2173013985157013,0.22632350027561188,0.3481820821762085,0.45010748505592346,0.539380669593811,0.24628505110740662,0.254856139421463,0.20430970191955566
the,0.42745697498321533,0.312528520822525,0.4207492768764496,0.24707943201065063,0.17760860919952393,0.4248143136501312,0.535392165184021,0.5829201340675354,0.2729646563529968,0.21259291470050812,0.22068053483963013
young,0.18808799982070923,0.1601988524198532,0.15689398348331451,0.26625826954841614,0.24275179207324982,0.21104183793067932,0.22202858328819275,0.2628135085105896,1.0,0.2341136783361435,0.14931946992874146
students,0.2380729615688324,0.16829217970371246,0.15776841342449188,0.25144505500793457,0.5254908204078674,0.22850628197193146,0.2905822694301605,0.2676560878753662,0.24331951141357422,0.7746244072914124,0.18017297983169556
life,0.24693015217781067,0.17170755565166473,0.22073830664157867,0.26877421140670776,0.23438766598701477,0.23466241359710693,0.24560359120368958,0.27076753973960876,0.25148528814315796,0.13610024750232697,0.21677987277507782
.,0.3567904531955719,0.35783761739730835,0.3581749200820923,0.2363789677619934,0.225234717130661,0.4383580684661865,0.4645031690597534,0.50484299659729,0.28293347358703613,0.20994822680950165,0.4130953550338745
