,how,high,did,the,doctor,who,theme,go,on,the,radio,charts,?
in,0.2601168751716614,0.2652597725391388,0.2593238651752472,0.6662389636039734,0.25567495822906494,0.2792111933231354,0.21164380013942719,0.22233200073242188,0.46853652596473694,0.6662389636039734,0.22625693678855896,0.1871482878923416,0.20430970191955566
2011,0.05300373584032059,0.01168530061841011,-0.03760814294219017,0.07811610400676727,-0.01649976149201393,0.023839345201849937,-0.043267615139484406,0.016366010531783104,0.08962488919496536,0.07811610400676727,0.07090780138969421,0.10539288073778152,0.005212190095335245
",",0.22659391164779663,0.27938312292099,0.3015086054801941,0.4933079481124878,0.20407600700855255,0.3365725874900818,0.21865783631801605,0.3043581247329712,0.49057599902153015,0.4933079481124878,0.25251123309135437,0.24642802774906158,0.31091248989105225
the,0.33890387415885925,0.28034812211990356,0.34736719727516174,1.0,0.2820442318916321,0.3733934462070465,0.2470158040523529,0.29801803827285767,0.5107308030128479,1.0,0.23511973023414612,0.23570427298545837,0.22068053483963013
theme,0.1570068746805191,0.12510362267494202,0.12344229966402054,0.2470158040523529,0.17665699124336243,0.1836521327495575,0.9999998807907104,0.1367204338312149,0.2474956214427948,0.2470158040523529,0.15485526621341705,0.2232377678155899,0.21507632732391357
tune,0.2255670428276062,0.15852895379066467,0.15553449094295502,0.22937244176864624,0.17166273295879364,0.2207166999578476,0.41423365473747253,0.16698665916919708,0.20952580869197845,0.22937244176864624,0.23611053824424744,0.207269087433815,0.19689199328422546
charted,0.17315223813056946,0.2075527310371399,0.29778069257736206,0.24768312275409698,0.1163824275135994,0.19334740936756134,0.2240443378686905,0.2512572407722473,0.3398177921772003,0.24768312275409698,0.24035261571407318,0.7638686299324036,0.17074079811573029
at,0.2154216170310974,0.2874184250831604,0.28390252590179443,0.457212895154953,0.2165924310684204,0.22096660733222961,0.13105668127536774,0.2909104526042938,0.4806317389011383,0.457212895154953,0.20139797031879425,0.24160733819007874,0.21978627145290375
number,0.2725796401500702,0.136027991771698,0.19046731293201447,0.35145696997642517,0.12537972629070282,0.21304799616336823,0.15484444797039032,0.17391230165958405,0.2978411018848419,0.35145696997642517,0.19204455614089966,0.3858932852745056,0.19256845116615295
228,-0.03209960088133812,0.06093844398856163,-0.016893230378627777,0.03401746228337288,-0.07586010545492172,0.008984939195215702,-0.013475202023983002,-0.06098581477999687,0.00244234804995358,0.03401746228337288,0.0758468434214592,0.060358285903930664,-0.06456919759511948
of,0.2480744868516922,0.2803038954734802,0.2513895630836487,0.733189046382904,0.16895952820777893,0.2827862501144409,0.17537155747413635,0.21881330013275146,0.3966929316520691,0.733189046382904,0.16079017519950867,0.1726142019033432,0.1826142966747284
radio,0.1959047019481659,0.12524248659610748,0.16486462950706482,0.23511973023414612,0.2037326693534851,0.20289050042629242,0.15485526621341705,0.13214890658855438,0.2590620815753937,0.23511973023414612,0.9999999403953552,0.30010348558425903,0.08763375133275986
station,0.12616953253746033,0.16837424039840698,0.11704530566930771,0.23609806597232819,0.16681668162345886,0.17549659311771393,0.19952432811260223,0.17487341165542603,0.29022887349128723,0.23609806597232819,0.4113904535770416,0.17452633380889893,0.12574981153011322
classic,0.21579177677631378,0.1914973258972168,0.17519909143447876,0.2647959589958191,0.12150934338569641,0.10854986310005188,0.35405799746513367,0.13575972616672516,0.20474979281425476,0.2647959589958191,0.17539729177951813,0.11302924901247025,0.2044331431388855
fm,0.0836343839764595,0.11768694967031479,0.04181049391627312,0.1839628368616104,0.10557201504707336,0.08293134719133377,0.12806768715381622,0.17165710031986237,0.1838369071483612,0.1839628368616104,0.5416761040687561,0.2744669020175934,0.1004299446940422
's,-0.026164190843701363,-0.04658069461584091,0.05069678649306297,-0.01540423184633255,0.031664930284023285,0.05599616840481758,0.010491529479622841,0.018760163336992264,0.0026888418942689896,-0.01540423184633255,0.13450658321380615,0.044762469828128815,-0.023395681753754616
hall,0.09781957417726517,0.2049127072095871,0.12469075620174408,0.28526565432548523,0.11379833519458771,0.21594181656837463,0.17717896401882172,0.17604918777942657,0.1725565642118454,0.28526565432548523,0.18906909227371216,0.15168215334415436,0.13520537316799164
of,0.2480744868516922,0.2803038954734802,0.2513895630836487,0.733189046382904,0.16895952820777893,0.2827862501144409,0.17537155747413635,0.21881330013275146,0.3966929316520691,0.733189046382904,0.16079017519950867,0.1726142019033432,0.1826142966747284
fame,0.14306731522083282,0.2006019800901413,0.19467684626579285,0.23111216723918915,0.08681528270244598,0.21945296227931976,0.20656001567840576,0.12070479989051819,0.17232953011989594,0.23111216723918915,0.19529259204864502,0.2580987811088562,0.12045944482088089
",",0.22659391164779663,0.27938312292099,0.3015086054801941,0.4933079481124878,0.20407600700855255,0.3365725874900818,0.21865783631801605,0.3043581247329712,0.49057599902153015,0.4933079481124878,0.25251123309135437,0.24642802774906158,0.31091248989105225
