,what,dynasty,did,genghis,khan,plan,to,attack,after,conquering,western,xia,?
in,0.30808621644973755,0.15246383845806122,0.2593238651752472,0.224680557847023,0.1527150720357895,0.23924663662910461,0.45010748505592346,0.1944931447505951,0.44050168991088867,0.2636781334877014,0.35160520672798157,0.152571901679039,0.20430970191955566
1211,0.04594699293375015,0.03731798380613327,0.06576608866453171,0.12201434373855591,0.06947685778141022,0.02319912239909172,-0.08197227120399475,0.00784879457205534,-0.06975367665290833,-0.007712852209806442,0.12902022898197174,0.07373420149087906,0.033881381154060364
",",0.3087472915649414,0.1976536363363266,0.3015086054801941,0.2891939878463745,0.19700400531291962,0.21265573799610138,0.44245919585227966,0.29392024874687195,0.38860568404197693,0.2530648410320282,0.27542921900749207,0.2076789289712906,0.31091248989105225
after,0.21973377466201782,0.19166739284992218,0.30330467224121094,0.24102559685707092,0.1264270693063736,0.24595440924167633,0.37890323996543884,0.19542589783668518,1.0,0.2971316874027252,0.1770457625389099,0.17987267673015594,0.16608688235282898
the,0.42745697498321533,0.26267939805984497,0.34736719727516174,0.3448939025402069,0.21067845821380615,0.2852855324745178,0.535392165184021,0.2508925497531891,0.4565047025680542,0.37138304114341736,0.37920868396759033,0.17513726651668549,0.22068053483963013
conquest,0.21597714722156525,0.38702937960624695,0.1569611132144928,0.4573224186897278,0.30478882789611816,0.1879904568195343,0.2413468062877655,0.2620990574359894,0.29386553168296814,0.8023737668991089,0.20351117849349976,0.22414666414260864,0.12928934395313263
of,0.33290785551071167,0.285645067691803,0.2513895630836487,0.2938849925994873,0.17124508321285248,0.2742128372192383,0.41548454761505127,0.20644454658031464,0.3867455720901489,0.3325044810771942,0.32974064350128174,0.20500580966472626,0.1826142966747284
western,0.2454150915145874,0.19577579200267792,0.15773870050907135,0.28880131244659424,0.1462325006723404,0.1305529624223709,0.18838192522525787,0.10457104444503784,0.1770457625389099,0.23985685408115387,1.0000001192092896,0.18532931804656982,0.17439141869544983
xia,0.21090152859687805,0.4905068278312683,0.15695606172084808,0.42225655913352966,0.2651960253715515,0.09871120750904083,0.10833906382322311,0.06637561321258545,0.17987267673015594,0.2523077726364136,0.18532931804656982,0.9999999403953552,0.26388657093048096
",",0.3087472915649414,0.1976536363363266,0.3015086054801941,0.2891939878463745,0.19700400531291962,0.21265573799610138,0.44245919585227966,0.29392024874687195,0.38860568404197693,0.2530648410320282,0.27542921900749207,0.2076789289712906,0.31091248989105225
genghis,0.24369274079799652,0.49750640988349915,0.18339850008487701,1.0,0.5896923542022705,0.15960508584976196,0.2294713407754898,0.233363077044487,0.24102559685707092,0.4819047152996063,0.28880131244659424,0.42225655913352966,0.18813461065292358
khan,0.16476042568683624,0.34412047266960144,0.155345618724823,0.5896923542022705,1.0,0.1253787726163864,0.18221943080425262,0.15452195703983307,0.1264270693063736,0.29456228017807007,0.1462325006723404,0.2651960253715515,0.12862591445446014
planned,0.21141068637371063,0.09391571581363678,0.3708326518535614,0.19991907477378845,0.16375555098056793,0.5824196338653564,0.309917151927948,0.2588683068752289,0.30027279257774353,0.18230144679546356,0.1699545830488205,0.1384684145450592,0.16188396513462067
again,0.3921525180339813,0.15455424785614014,0.35250324010849,0.2152538001537323,0.116440549492836,0.1833253800868988,0.4861571192741394,0.2205323725938797,0.453068345785141,0.31290769577026367,0.16218477487564087,0.10576926171779633,0.2679590880870819
to,0.455847829580307,0.1214921623468399,0.4452643394470215,0.2294713407754898,0.18221943080425262,0.36421895027160645,1.0,0.19954605400562286,0.37890323996543884,0.3337459862232208,0.18838192522525787,0.10833906382322311,0.29463258385658264
conquer,0.23298686742782593,0.34517204761505127,0.20145954191684723,0.4413160979747772,0.2737882733345032,0.2507484555244446,0.28536954522132874,0.3022298216819763,0.23685568571090698,0.8961684703826904,0.1365930587053299,0.23529933393001556,0.1431300938129425
the,0.42745697498321533,0.26267939805984497,0.34736719727516174,0.3448939025402069,0.21067845821380615,0.2852855324745178,0.535392165184021,0.2508925497531891,0.4565047025680542,0.37138304114341736,0.37920868396759033,0.17513726651668549,0.22068053483963013
jin,0.17349651455879211,0.4847870469093323,0.12242958694696426,0.4345949590206146,0.3794151246547699,0.09007403254508972,0.16679616272449493,0.1335938721895218,0.19300585985183716,0.2306845635175705,0.15752269327640533,0.5410597324371338,0.12195159494876862
dynasty,0.17240095138549805,1.0,0.19201454520225525,0.49750640988349915,0.34412047266960144,0.11901436001062393,0.1214921623468399,0.1711936742067337,0.19166739284992218,0.40144017338752747,0.19577579200267792,0.4905068278312683,0.15884074568748474
.,0.3567904531955719,0.20616187155246735,0.35288307070732117,0.25373268127441406,0.19819748401641846,0.2966235876083374,0.4645031690597534,0.3003302216529846,0.35870397090911865,0.2223353087902069,0.2816847264766693,0.1821337640285492,0.4130953550338745
