,what,was,the,ultimate,development,of,the,horizontal,engine,?
the,0.42745697498321533,0.48711544275283813,1.0,0.293570339679718,0.3362044394016266,0.733189046382904,1.0,0.25932741165161133,0.21651263535022736,0.22068053483963013
acme,0.18248456716537476,0.20986969769001007,0.27208366990089417,0.11869605630636215,0.16727732121944427,0.24608170986175537,0.27208366990089417,0.09541843831539154,0.2599276304244995,0.22251062095165253
of,0.33290785551071167,0.4069072902202606,0.733189046382904,0.2729271948337555,0.28700894117355347,1.0,0.733189046382904,0.25086116790771484,0.17095594108104706,0.1826142966747284
the,0.42745697498321533,0.48711544275283813,1.0,0.293570339679718,0.3362044394016266,0.733189046382904,1.0,0.25932741165161133,0.21651263535022736,0.22068053483963013
horizontal,0.17517708241939545,0.08587555587291718,0.25932741165161133,0.09725876897573471,0.1248881071805954,0.25086116790771484,0.25932741165161133,1.0000001192092896,0.23461835086345673,0.11756809055805206
engine,0.18463268876075745,0.205611914396286,0.21651263535022736,0.1991804987192154,0.19329482316970825,0.17095594108104706,0.21651263535022736,0.23461835086345673,1.0,0.17739196121692657
was,0.22111038863658905,1.0000001192092896,0.48711544275283813,0.21772019565105438,0.2344081997871399,0.4069072902202606,0.48711544275283813,0.08587555587291718,0.205611914396286,0.18412111699581146
the,0.42745697498321533,0.48711544275283813,1.0,0.293570339679718,0.3362044394016266,0.733189046382904,1.0,0.25932741165161133,0.21651263535022736,0.22068053483963013
corliss,0.18130014836788177,0.36042752861976624,0.28029030561447144,0.222375750541687,0.1287141740322113,0.21110959351062775,0.28029030561447144,0.14281849563121796,0.24446071684360504,0.253435343503952
steam,0.15672586858272552,0.16913670301437378,0.23105813562870026,0.13456156849861145,0.1828628033399582,0.20239725708961487,0.23105813562870026,0.17125727236270905,0.4921848475933075,0.113324373960495
engine,0.18463268876075745,0.205611914396286,0.21651263535022736,0.1991804987192154,0.19329482316970825,0.17095594108104706,0.21651263535022736,0.23461835086345673,1.0,0.17739196121692657
",",0.3087472915649414,0.45456063747406006,0.4933079481124878,0.17938943207263947,0.23776917159557343,0.4946078956127167,0.4933079481124878,0.14324380457401276,0.19789794087409973,0.31091248989105225
patented,0.1101711094379425,0.20634464919567108,0.13766011595726013,0.09969606250524521,0.1602577269077301,0.140389084815979,0.13766011595726013,0.17509430646896362,0.30315786600112915,0.08803384751081467
in,0.30808621644973755,0.45514053106307983,0.6662389636039734,0.17520791292190552,0.2550492286682129,0.5696388483047485,0.6662389636039734,0.17211194336414337,0.18885408341884613,0.20430970191955566
1849,0.06257461756467819,-0.03313864767551422,0.05602257698774338,-0.027140239253640175,0.05026492848992348,0.04504328593611717,0.05602257698774338,0.02461138553917408,0.0015473243547603488,0.06108446791768074
",",0.3087472915649414,0.45456063747406006,0.4933079481124878,0.17938943207263947,0.23776917159557343,0.4946078956127167,0.4933079481124878,0.14324380457401276,0.19789794087409973,0.31091248989105225
which,0.5261979103088379,0.2830964922904968,0.6521818041801453,0.268761545419693,0.3198052942752838,0.5011631846427917,0.6521818041801453,0.321865975856781,0.2503763437271118,0.25814583897590637
was,0.22111038863658905,1.0000001192092896,0.48711544275283813,0.21772019565105438,0.2344081997871399,0.4069072902202606,0.48711544275283813,0.08587555587291718,0.205611914396286,0.18412111699581146
a,0.3320399522781372,0.4508470594882965,0.5829201340675354,0.2379191368818283,0.2762584090232849,0.5052502155303955,0.5829201340675354,0.2503664791584015,0.24768835306167603,0.23916715383529663
four-valve,0.2405925691127777,0.272499680519104,0.3680625557899475,0.20899872481822968,0.3126504123210907,0.3425426483154297,0.3680625557899475,0.29638856649398804,0.3982180953025818,0.2591110169887543
counter,0.20702992379665375,0.15622925758361816,0.2744700014591217,0.19760994613170624,0.2525922358036041,0.19875815510749817,0.2744700014591217,0.10308506339788437,0.09327974170446396,0.12520115077495575
flow,0.1798735409975052,0.16647294163703918,0.314039409160614,0.16107769310474396,0.24027062952518463,0.2407451719045639,0.314039409160614,0.21441945433616638,0.21714819967746735,0.10458291321992874
engine,0.18463268876075745,0.205611914396286,0.21651263535022736,0.1991804987192154,0.19329482316970825,0.17095594108104706,0.21651263535022736,0.23461835086345673,1.0,0.17739196121692657
with,0.2464839518070221,0.27411898970603943,0.4223487675189972,0.21544884145259857,0.20933356881141663,0.41827285289764404,0.4223487675189972,0.16457119584083557,0.1990211457014084,0.2433311939239502
separate,0.33215096592903137,0.1980229765176773,0.3612915575504303,0.18506228923797607,0.20652399957180023,0.33388569951057434,0.3612915575504303,0.2479923665523529,0.17311933636665344,0.16835719347000122
steam,0.15672586858272552,0.16913670301437378,0.23105813562870026,0.13456156849861145,0.1828628033399582,0.20239725708961487,0.23105813562870026,0.17125727236270905,0.4921848475933075,0.113324373960495
admission,0.29061800241470337,0.2642839848995209,0.2620483338832855,0.2166699320077896,0.31108513474464417,0.27535557746887207,0.2620483338832855,0.04045398160815239,0.14126728475093842,0.19312289357185364
and,0.31309178471565247,0.3740963041782379,0.5171257257461548,0.15833131968975067,0.26069340109825134,0.5116966962814331,0.5171257257461548,0.16837529838085175,0.18437977135181427,0.20544172823429108
exhaust,0.1970054805278778,0.13851715624332428,0.2500286400318146,0.2182351052761078,0.18691901862621307,0.21567419171333313,0.2500286400318146,0.17391590774059296,0.47334933280944824,0.1444300264120102
