,what,funds,can,not,be,used,if,a,teacher,is,not,registered,?
teachers,0.2526462972164154,0.30540943145751953,0.1946156919002533,0.22176165878772736,0.20256873965263367,0.16122658550739288,0.14224345982074738,0.2509842813014984,0.7334206104278564,0.15701442956924438,0.22176165878772736,0.222023606300354,0.19522249698638916
are,0.29724663496017456,0.1764296293258667,0.5408529043197632,0.46186959743499756,0.5556803941726685,0.3322218656539917,0.32547882199287415,0.265255331993103,0.09182974696159363,0.5330929756164551,0.46186959743499756,0.2125171422958374,0.24591213464736938
required,0.2506856620311737,0.29309210181236267,0.42514267563819885,0.45116889476776123,0.3677930235862732,0.39368924498558044,0.46138036251068115,0.2891559302806854,0.1378142237663269,0.21426478028297424,0.45116889476776123,0.2894635796546936,0.24962718784809113
to,0.455847829580307,0.33157411217689514,0.4979398250579834,0.5149973034858704,0.4972836375236511,0.40058770775794983,0.4559597074985504,0.45503583550453186,0.1991342306137085,0.42745086550712585,0.5149973034858704,0.2159089893102646,0.29463258385658264
be,0.3929833769798279,0.2243211716413498,0.5791122913360596,0.5788898468017578,1.0,0.3731876611709595,0.5628611445426941,0.39883795380592346,0.1891087293624878,0.4819129705429077,0.5788898468017578,0.2189396172761917,0.3324260413646698
registered,0.18316222727298737,0.29317861795425415,0.20924876630306244,0.2506466805934906,0.2189396172761917,0.21249720454216003,0.2565499544143677,0.27873045206069946,0.17966757714748383,0.1567090004682541,0.2506466805934906,1.0,0.24155336618423462
with,0.2464839518070221,0.17613829672336578,0.3572797477245331,0.3409014642238617,0.36101722717285156,0.3047430217266083,0.34021785855293274,0.3783375024795532,0.13737362623214722,0.3250955045223236,0.3409014642238617,0.15469864010810852,0.2433311939239502
the,0.42745697498321533,0.23871955275535583,0.312528520822525,0.4310511648654938,0.4248143136501312,0.3718377649784088,0.33724796772003174,0.5829201340675354,0.17760860919952393,0.5823672413825989,0.4310511648654938,0.23383188247680664,0.22068053483963013
teaching,0.27416905760765076,0.3095417022705078,0.2164105623960495,0.28950080275535583,0.2096574753522873,0.20674064755439758,0.15667687356472015,0.21643459796905518,0.6199770569801331,0.16213442385196686,0.28950080275535583,0.18114711344242096,0.20424684882164001
council,0.16933071613311768,0.27734899520874023,0.12142665684223175,0.16596728563308716,0.1781650185585022,0.13886597752571106,0.13545042276382446,0.16385574638843536,0.15965764224529266,0.2196589708328247,0.16596728563308716,0.18228405714035034,0.1160062924027443
;,0.10986888408660889,-0.03483522683382034,0.05390199273824692,0.12084553390741348,0.06185305491089821,0.11651374399662018,0.038230035454034805,-0.02122584730386734,-0.06121395155787468,0.05324986204504967,0.12084553390741348,0.00256491731852293,0.10349778085947037
under,0.20154598355293274,0.19788891077041626,0.12717050313949585,0.21131709218025208,0.23514987528324127,0.1640336513519287,0.22169512510299683,0.18317826092243195,0.11325661092996597,0.21294879913330078,0.21131709218025208,0.197943314909935,0.18233340978622437
section,0.28602200746536255,0.13827724754810333,0.27285343408584595,0.24365806579589844,0.318050742149353,0.18232131004333496,0.32842469215393066,0.29094603657722473,0.13822396099567413,0.22237545251846313,0.24365806579589844,0.15551935136318207,0.2733710706233978
30,-0.04443084076046944,-0.025963332504034042,-0.03273005411028862,0.008715357631444931,0.08530759066343307,-0.0065421126782894135,-0.019804084673523903,-0.003403416834771633,0.036852676421403885,0.01582122966647148,0.008715357631444931,0.011755300685763359,-0.08261742442846298
of,0.33290785551071167,0.24558281898498535,0.2603091299533844,0.3307090103626251,0.33904364705085754,0.3075267970561981,0.2557544410228729,0.5052502155303955,0.19968076050281525,0.4854315221309662,0.3307090103626251,0.17804858088493347,0.1826142966747284
the,0.42745697498321533,0.23871955275535583,0.312528520822525,0.4310511648654938,0.4248143136501312,0.3718377649784088,0.33724796772003174,0.5829201340675354,0.17760860919952393,0.5823672413825989,0.4310511648654938,0.23383188247680664,0.22068053483963013
