,what,type,of,education,is,sometimes,present,at,religious,schools,in,addition,to,the,secular,curriculum,?
some,0.4491020441055298,0.2761056125164032,0.4300730526447296,0.17574875056743622,0.3038453459739685,0.5743314027786255,0.17166943848133087,0.25582021474838257,0.2879745662212372,0.3067633807659149,0.4010399878025055,0.41850700974464417,0.4636894166469574,0.4566698372364044,0.26717355847358704,0.2540525794029236,0.2562315762042999
such,0.23989605903625488,0.2636772096157074,0.3209529519081116,0.162428617477417,0.23545363545417786,0.4101641774177551,0.14540977776050568,0.15276408195495605,0.2574559450149536,0.21323329210281372,0.2704046070575714,0.37100139260292053,0.2871878743171692,0.3575236201286316,0.17909204959869385,0.1831265538930893,0.17851735651493073
schools,0.1820785105228424,0.1240563839673996,0.265506386756897,0.6035618185997009,0.2022145688533783,0.20231235027313232,0.08099272847175598,0.21788150072097778,0.3179125487804413,1.0,0.2632134258747101,0.2201354056596756,0.2362271547317505,0.22905772924423218,0.2353784739971161,0.46302953362464905,0.18349280953407288
teach,0.2818700671195984,0.11870739609003067,0.2383975088596344,0.45552507042884827,0.15221208333969116,0.2390918731689453,0.17575089633464813,0.18018215894699097,0.2669653296470642,0.47762948274612427,0.23312166333198547,0.20638716220855713,0.36650484800338745,0.1966347098350525,0.18811781704425812,0.3940769135951996,0.24188745021820068
religious,0.26794421672821045,0.08639378100633621,0.2958606779575348,0.3433997929096222,0.1584658920764923,0.23318730294704437,0.13910427689552307,0.101559579372406,0.9999998807907104,0.3179125487804413,0.24099457263946533,0.13415956497192383,0.24161745607852936,0.22950971126556396,0.593280017375946,0.24897848069667816,0.15727058053016663
education,0.19940856099128723,0.07525362819433212,0.3015166223049164,1.0,0.18778188526630402,0.11944156885147095,0.16291813552379608,0.22585788369178772,0.3433997929096222,0.6035618185997009,0.2654339671134949,0.2276851087808609,0.2626708149909973,0.23982903361320496,0.3079633414745331,0.5239385366439819,0.18067774176597595
",",0.3087472915649414,0.1804078221321106,0.4946078956127167,0.2718683183193207,0.4691906273365021,0.26600122451782227,0.267320841550827,0.38314947485923767,0.2753547728061676,0.2760516405105591,0.5201468467712402,0.3040202856063843,0.44245919585227966,0.4933079481124878,0.21358442306518555,0.238981232047081,0.31091248989105225
together,0.22179445624351501,0.08996237814426422,0.26678720116615295,0.10298889130353928,0.1995578110218048,0.28285184502601624,0.13414481282234192,0.22121661901474,0.19430264830589294,0.17406649887561798,0.3252169191837311,0.09588087350130081,0.33225905895233154,0.26662585139274597,0.18522344529628754,0.1698765903711319,0.1690303236246109
with,0.2464839518070221,0.1964726597070694,0.41827285289764404,0.11138669401407242,0.3250955045223236,0.30637601017951965,0.20671819150447845,0.29126521944999695,0.16567319631576538,0.13740696012973785,0.4080928862094879,0.3659588098526001,0.4239959120750427,0.4223487675189972,0.13550563156604767,0.134463369846344,0.2433311939239502
the,0.42745697498321533,0.21819381415843964,0.733189046382904,0.23982903361320496,0.5823672413825989,0.35816407203674316,0.2829846143722534,0.457212895154953,0.22950971126556396,0.22905772924423218,0.6662389636039734,0.32955414056777954,0.535392165184021,1.0,0.24261851608753204,0.21278034150600433,0.22068053483963013
usual,0.2923804521560669,0.27116069197654724,0.2923421263694763,0.09959988296031952,0.3031772971153259,0.4328303039073944,0.10720832645893097,0.17322935163974762,0.23557381331920624,0.19728818535804749,0.2860795259475708,0.23816248774528503,0.2885439693927765,0.3319869339466095,0.21784831583499908,0.16124825179576874,0.19873492419719696
academic,0.10352335125207901,0.025831270962953568,0.20802809298038483,0.4255872070789337,0.19421102106571198,0.1008981242775917,0.04340029135346413,0.19575633108615875,0.3618577718734741,0.37874487042427063,0.1914365142583847,0.1597035676240921,0.17588050663471222,0.15387672185897827,0.36281150579452515,0.43192848563194275,0.11011603474617004
subjects,0.3538523018360138,0.14212645590305328,0.24864935874938965,0.3903663456439972,0.2020462304353714,0.1925736367702484,0.163723886013031,0.20517119765281677,0.3337159752845764,0.33664703369140625,0.22681275010108948,0.24786892533302307,0.3006519377231598,0.22999566793441772,0.30318936705589294,0.43224772810935974,0.26547127962112427
