,what,objects,in,organisms,absorb,singlet,oxygen,to,prevent,harm,?
it,0.45803478360176086,0.2569741904735565,0.5130809545516968,0.1964874416589737,0.27424436807632446,0.19796866178512573,0.26699385046958923,0.513711154460907,0.22773541510105133,0.2626263201236725,0.25732165575027466
is,0.28837618231773376,0.23756065964698792,0.5394441485404968,0.1773757040500641,0.23613661527633667,0.24867701530456543,0.21825239062309265,0.42745086550712585,0.1984136700630188,0.21340017020702362,0.22961433231830597
also,0.42747777700424194,0.2702810764312744,0.5073733329772949,0.23439531028270721,0.28811851143836975,0.18032848834991455,0.22828444838523865,0.5348826050758362,0.3121970593929291,0.30030909180641174,0.21848613023757935
produced,0.1393624097108841,0.12748345732688904,0.2542861998081207,0.29626184701919556,0.2261992245912552,0.2475292831659317,0.1870262175798416,0.16305041313171387,0.17034275829792023,0.13832128047943115,0.1623450517654419
in,0.30808621644973755,0.23406893014907837,1.0,0.21345661580562592,0.19836430251598358,0.1821850836277008,0.1672476977109909,0.45010748505592346,0.14883868396282196,0.18680915236473083,0.20430970191955566
the,0.42745697498321533,0.24716724455356598,0.6662389636039734,0.22463196516036987,0.2552814483642578,0.2022450864315033,0.20428593456745148,0.535392165184021,0.2841009497642517,0.2022610902786255,0.22068053483963013
troposphere,0.2641110420227051,0.41197311878204346,0.28020140528678894,0.4454340934753418,0.3626391887664795,0.13347694277763367,0.43235474824905396,0.26521390676498413,0.12896691262722015,0.15914465487003326,0.1923598200082779
by,0.2455483376979828,0.22672481834888458,0.370934396982193,0.19641327857971191,0.16704733669757843,0.21730034053325653,0.1292176991701126,0.33534231781959534,0.3244638741016388,0.22866465151309967,0.17966607213020325
the,0.42745697498321533,0.24716724455356598,0.6662389636039734,0.22463196516036987,0.2552814483642578,0.2022450864315033,0.20428593456745148,0.535392165184021,0.2841009497642517,0.2022610902786255,0.22068053483963013
photolysis,0.2825598120689392,0.34315910935401917,0.2311362326145172,0.4903039336204529,0.5021322965621948,0.2781592309474945,0.5615994334220886,0.2838291823863983,0.2859961688518524,0.2676265835762024,0.17374983429908752
of,0.33290785551071167,0.23814009130001068,0.5696388483047485,0.23870134353637695,0.21571673452854156,0.16668915748596191,0.16848602890968323,0.41548454761505127,0.22669163346290588,0.18602855503559113,0.1826142966747284
ozone,0.17115569114685059,0.3185827434062958,0.19661612808704376,0.4151711165904999,0.41802242398262024,0.1605953723192215,0.5093002915382385,0.22140559554100037,0.23573307693004608,0.21446973085403442,0.159791961312294
by,0.2455483376979828,0.22672481834888458,0.370934396982193,0.19641327857971191,0.16704733669757843,0.21730034053325653,0.1292176991701126,0.33534231781959534,0.3244638741016388,0.22866465151309967,0.17966607213020325
light,0.22953972220420837,0.3299195468425751,0.1819845736026764,0.2727452218532562,0.47052520513534546,0.2676818370819092,0.3018748164176941,0.22474321722984314,0.11809701472520828,0.16875453293323517,0.17429810762405396
of,0.33290785551071167,0.23814009130001068,0.5696388483047485,0.23870134353637695,0.21571673452854156,0.16668915748596191,0.16848602890968323,0.41548454761505127,0.22669163346290588,0.18602855503559113,0.1826142966747284
short,0.19211500883102417,0.07072430849075317,0.26193615794181824,0.15723034739494324,0.18222489953041077,0.15042874217033386,0.15076260268688202,0.25023147463798523,0.14516152441501617,0.16091600060462952,0.16194626688957214
wavelength,0.29332995414733887,0.38284432888031006,0.16864928603172302,0.33582502603530884,0.5762565732002258,0.2347693145275116,0.34988316893577576,0.24745702743530273,0.17200128734111786,0.2220962792634964,0.16875804960727692
",",0.3087472915649414,0.21213118731975555,0.5201468467712402,0.20150232315063477,0.1852884590625763,0.25703805685043335,0.21812842786312103,0.44245919585227966,0.19234955310821533,0.3135842978954315,0.31091248989105225
