,highways,built,in,the,amazon,rainforest,were,built,primarily,for,what,kind,of,farmers,?
the,0.22108882665634155,0.2950156033039093,0.6662389636039734,1.0,0.260541707277298,0.2571161389350891,0.3906462490558624,0.2950156033039093,0.34785038232803345,0.4739971458911896,0.42745697498321533,0.2516445517539978,0.733189046382904,0.25515636801719666,0.22068053483963013
needs,0.19985325634479523,0.17176204919815063,0.18482829630374908,0.24302323162555695,0.19331863522529602,0.16584086418151855,0.15855246782302856,0.17176204919815063,0.18882282078266144,0.32951900362968445,0.3272848129272461,0.3630616068840027,0.17594867944717407,0.1049012839794159,0.34586572647094727
of,0.2208593636751175,0.23442776501178741,0.5696388483047485,0.733189046382904,0.20143137872219086,0.22522282600402832,0.34038281440734863,0.23442776501178741,0.2761906683444977,0.4185989499092102,0.33290785551071167,0.2285657674074173,1.0,0.22498635947704315,0.1826142966747284
soy,0.14188458025455475,0.13887962698936462,0.2203330397605896,0.16952534019947052,0.21226567029953003,0.23985910415649414,0.13551326096057892,0.13887962698936462,0.18981100618839264,0.17702804505825043,0.21400512754917145,0.2508334517478943,0.15872140228748322,0.2905513644218445,0.21286541223526
farmers,0.2395181953907013,0.21728180348873138,0.22130997478961945,0.25515636801719666,0.2245313823223114,0.3644176721572876,0.31738385558128357,0.21728180348873138,0.18629205226898193,0.26206526160240173,0.1917133629322052,0.17145970463752747,0.22498635947704315,1.0,0.15014515817165375
have,0.2014831304550171,0.20832817256450653,0.36843645572662354,0.40389683842658997,0.20372521877288818,0.29352760314941406,0.5193349123001099,0.20832817256450653,0.27771300077438354,0.41175219416618347,0.39808809757232666,0.31829583644866943,0.3802283704280853,0.23372259736061096,0.32991164922714233
been,0.17916640639305115,0.22656546533107758,0.3515113592147827,0.3563927710056305,0.13283225893974304,0.21264642477035522,0.5062422156333923,0.22656546533107758,0.298001766204834,0.39068686962127686,0.2567804455757141,0.23833909630775452,0.31685134768486023,0.2055397927761078,0.24354910850524902
used,0.16405346989631653,0.3613288998603821,0.3090210556983948,0.3718377649784088,0.11720351874828339,0.17859117686748505,0.27636459469795227,0.3613288998603821,0.3614431917667389,0.4236139953136444,0.27546408772468567,0.3973764181137085,0.3075267970561981,0.2282276153564453,0.22430120408535004
to,0.2186083197593689,0.2183011770248413,0.45010748505592346,0.535392165184021,0.17033490538597107,0.23412610590457916,0.31913647055625916,0.2183011770248413,0.27870604395866394,0.4451248347759247,0.455847829580307,0.28460726141929626,0.41548454761505127,0.2364797294139862,0.29463258385658264
justify,0.13531216979026794,0.08330955356359482,0.14288990199565887,0.16716225445270538,0.1277310699224472,0.1244017630815506,0.1811041682958603,0.08330955356359482,0.14085310697555542,0.3253365159034729,0.4040449857711792,0.23685422539710999,0.17726022005081177,0.1500673145055771,0.3789809048175812
many,0.20092804729938507,0.2692042291164398,0.41474202275276184,0.4335206151008606,0.22591036558151245,0.30444011092185974,0.4804460406303406,0.2692042291164398,0.3940040171146393,0.40972793102264404,0.36131182312965393,0.3219348192214966,0.37253960967063904,0.31043684482574463,0.2124512493610382
of,0.2208593636751175,0.23442776501178741,0.5696388483047485,0.733189046382904,0.20143137872219086,0.22522282600402832,0.34038281440734863,0.23442776501178741,0.2761906683444977,0.4185989499092102,0.33290785551071167,0.2285657674074173,1.0,0.22498635947704315,0.1826142966747284
the,0.22108882665634155,0.2950156033039093,0.6662389636039734,1.0,0.260541707277298,0.2571161389350891,0.3906462490558624,0.2950156033039093,0.34785038232803345,0.4739971458911896,0.42745697498321533,0.2516445517539978,0.733189046382904,0.25515636801719666,0.22068053483963013
controversial,0.036124635487794876,0.06916153430938721,0.31192946434020996,0.275572806596756,0.07494433224201202,0.13967308402061462,0.2426181137561798,0.06916153430938721,0.27582913637161255,0.2730811834335327,0.3225577771663666,0.2082463502883911,0.27057674527168274,0.10250032693147659,0.2903842329978943
transportation,0.4918639361858368,0.3046061396598816,0.27774930000305176,0.26715996861457825,0.23020723462104797,0.28063228726387024,0.18468497693538666,0.3046061396598816,0.23829083144664764,0.3513388931751251,0.20306137204170227,0.18391452729701996,0.30204781889915466,0.27710437774658203,0.1712278425693512
projects,0.2994685173034668,0.2715601921081543,0.19637514650821686,0.23802334070205688,0.1477203518152237,0.2003689855337143,0.22614943981170654,0.2715601921081543,0.237326517701149,0.3048563301563263,0.28646913170814514,0.1472882181406021,0.21610960364341736,0.1461489349603653,0.3193145990371704
