,what,was,the,name,of,the,first,huguenot,outpost,in,south,carolina,?
in,0.30808621644973755,0.45514053106307983,0.6662389636039734,0.2459065467119217,0.5696388483047485,0.6662389636039734,0.4127444326877594,0.26198551058769226,0.300446093082428,1.0,0.33642083406448364,0.2380082756280899,0.20430970191955566
1562,0.02059434913098812,0.09683054685592651,0.06752016395330429,0.09553240984678268,0.13883134722709656,0.06752016395330429,0.050217628479003906,-0.0031273679342120886,0.04430091381072998,0.0846833735704422,0.1264927238225937,0.11860735714435577,0.018519774079322815
",",0.3087472915649414,0.45456063747406006,0.4933079481124878,0.28145334124565125,0.4946078956127167,0.4933079481124878,0.34503069519996643,0.24752236902713776,0.27861493825912476,0.5201468467712402,0.3256652057170868,0.2566046118736267,0.31091248989105225
naval,0.160405233502388,0.2173636257648468,0.25506526231765747,0.10406537353992462,0.28707146644592285,0.25506526231765747,0.2393709272146225,0.2719813287258148,0.32741037011146545,0.2151644080877304,0.18638381361961365,0.22572650015354156,0.12642952799797058
officer,0.18551595509052277,0.33140087127685547,0.25777485966682434,0.15619486570358276,0.23883900046348572,0.25777485966682434,0.2502792775630951,0.2319803535938263,0.3989467918872833,0.24015754461288452,0.1789996474981308,0.16212990880012512,0.119948610663414
jean,0.10624528676271439,0.21245718002319336,0.2186683863401413,0.16118942201137543,0.14357218146324158,0.2186683863401413,0.21532060205936432,0.41842612624168396,0.14660224318504333,0.19998259842395782,0.17479421198368073,0.10986382514238358,0.1531364470720291
ribault,0.19485299289226532,0.3094852864742279,0.2843990921974182,0.17161718010902405,0.21211431920528412,0.2843990921974182,0.27004316449165344,0.4165194034576416,0.23695603013038635,0.23977957665920258,0.2356320321559906,0.23511019349098206,0.18847298622131348
led,0.12112844735383987,0.34443995356559753,0.3267505168914795,0.15100760757923126,0.32918456196784973,0.3267505168914795,0.29928895831108093,0.25171127915382385,0.33425599336624146,0.2990247309207916,0.20228448510169983,0.1589251011610031,0.09273858368396759
an,0.2821882665157318,0.3694365322589874,0.4207492768764496,0.22033736109733582,0.32280945777893066,0.4207492768764496,0.29757723212242126,0.18697282671928406,0.16626684367656708,0.2605783939361572,0.2024267613887787,0.1042201966047287,0.19793890416622162
expedition,0.19300568103790283,0.2416619211435318,0.26213887333869934,0.11799570918083191,0.18468376994132996,0.26213887333869934,0.2865070104598999,0.2784815728664398,0.4744214713573456,0.19481515884399414,0.29572582244873047,0.18282702565193176,0.10355690121650696
that,0.6297725439071655,0.33670201897621155,0.5473989248275757,0.27224332094192505,0.41498205065727234,0.5473989248275757,0.3482176661491394,0.19593703746795654,0.15025611221790314,0.435920387506485,0.1571199595928192,0.131194606423378,0.32716336846351624
explored,0.2343243807554245,0.256757527589798,0.28095129132270813,0.1328531950712204,0.21908967196941376,0.28095129132270813,0.2753499448299408,0.2802122235298157,0.3895161747932434,0.2683154344558716,0.26935654878616333,0.16725902259349823,0.08649857342243195
florida,0.14450381696224213,0.23693005740642548,0.24091358482837677,0.1335849165916443,0.2330869883298874,0.24091358482837677,0.17244821786880493,0.1520034670829773,0.20572054386138916,0.2330404818058014,0.26513609290122986,0.5134581923484802,0.13469882309436798
and,0.31309178471565247,0.3740963041782379,0.5171257257461548,0.21235932409763336,0.5116966962814331,0.5171257257461548,0.3167642652988434,0.2762077748775482,0.32837167382240295,0.4954058527946472,0.3140619993209839,0.22423055768013,0.20544172823429108
the,0.42745697498321533,0.48711544275283813,1.0,0.3171212375164032,0.733189046382904,1.0,0.49448907375335693,0.29557526111602783,0.3417457342147827,0.6662389636039734,0.3129390776157379,0.24749229848384857,0.22068053483963013
present-day,0.3194306194782257,0.2928279638290405,0.36770060658454895,0.21787068247795105,0.3247845470905304,0.36770060658454895,0.32695430517196655,0.2443682700395584,0.22418218851089478,0.3419967591762543,0.1722121387720108,0.15487909317016602,0.24972984194755554
southeastern,0.21616344153881073,0.2476685643196106,0.37968114018440247,0.21564599871635437,0.34858089685440063,0.37968114018440247,0.19939498603343964,0.19203878939151764,0.2850255072116852,0.3610875606536865,0.5580486059188843,0.40702104568481445,0.1729537695646286
