,what,place,had,the,norman,arab,architectural,style,?
in,0.30808621644973755,0.38128477334976196,0.385026752948761,0.6662389636039734,0.17613162100315094,0.19895488023757935,0.25104397535324097,0.21896705031394958,0.20430970191955566
southern,0.18679563701152802,0.13909386098384857,0.19639550149440765,0.3282862603664398,0.17345990240573883,0.2268075942993164,0.11464133113622665,0.09555558115243912,0.11225555837154388
italy,0.16949890553951263,0.1580740213394165,0.2250007539987564,0.2633645832538605,0.20724600553512573,0.2499389946460724,0.1487867683172226,0.1896018236875534,0.11567100137472153
",",0.3087472915649414,0.34068408608436584,0.35487717390060425,0.4933079481124878,0.20281735062599182,0.21227021515369415,0.21142789721488953,0.2071632742881775,0.31091248989105225
the,0.42745697498321533,0.4179787337779999,0.3875846862792969,1.0,0.23459704220294952,0.2674407660961151,0.22612835466861725,0.2331719547510147,0.22068053483963013
normans,0.15760394930839539,0.18307837843894958,0.30812567472457886,0.2781367897987366,0.7264348268508911,0.2576051950454712,0.23566113412380219,0.228316068649292,0.12354589998722076
incorporated,0.16587792336940765,0.23385849595069885,0.1723296195268631,0.28890469670295715,0.11569995433092117,0.18838848173618317,0.1577301323413849,0.21328921616077423,0.13423967361450195
elements,0.2152351289987564,0.1992223858833313,0.15123742818832397,0.22297804057598114,0.13476713001728058,0.13910451531410217,0.3110944926738739,0.33793744444847107,0.15222592651844025
of,0.33290785551071167,0.2685627043247223,0.37755560874938965,0.733189046382904,0.15827171504497528,0.22039446234703064,0.2795933783054352,0.23203764855861664,0.1826142966747284
islamic,0.2204568088054657,0.17659097909927368,0.1608518362045288,0.27231070399284363,0.22398190200328827,0.5498740673065186,0.2874549627304077,0.1905238777399063,0.1692383587360382
",",0.3087472915649414,0.34068408608436584,0.35487717390060425,0.4933079481124878,0.20281735062599182,0.21227021515369415,0.21142789721488953,0.2071632742881775,0.31091248989105225
lombard,0.2081330269575119,0.14505650103092194,0.2006922960281372,0.23132100701332092,0.34508171677589417,0.1822783648967743,0.20682603120803833,0.14512014389038086,0.1444772183895111
",",0.3087472915649414,0.34068408608436584,0.35487717390060425,0.4933079481124878,0.20281735062599182,0.21227021515369415,0.21142789721488953,0.2071632742881775,0.31091248989105225
and,0.31309178471565247,0.2813849449157715,0.3872550129890442,0.5171257257461548,0.21611377596855164,0.25018808245658875,0.2561565637588501,0.2745923101902008,0.20544172823429108
byzantine,0.14889906346797943,0.13093537092208862,0.2115277349948883,0.20800244808197021,0.32583457231521606,0.38989678025245667,0.2928676903247833,0.25532007217407227,0.21581105887889862
building,0.23529528081417084,0.27535727620124817,0.21423201262950897,0.3159640431404114,0.22876480221748352,0.13708411157131195,0.5175206661224365,0.2160005271434784,0.13549931347370148
techniques,0.19165433943271637,0.18057627975940704,0.16012071073055267,0.18448615074157715,0.11541716754436493,0.09238086640834808,0.24978874623775482,0.36143726110458374,0.1533757448196411
into,0.2180619090795517,0.27362510561943054,0.25017866492271423,0.39493247866630554,0.04780393838882446,0.18079866468906403,0.044202711433172226,0.16055980324745178,0.15662476420402527
their,0.35142919421195984,0.26873868703842163,0.4145275354385376,0.516537070274353,0.15736374258995056,0.16908420622348785,0.17521603405475616,0.20209142565727234,0.1898253709077835
own,0.35062843561172485,0.1829710304737091,0.3338281810283661,0.334675133228302,0.18827535212039948,0.1196548268198967,0.20713894069194794,0.22835667431354523,0.1937696635723114
",",0.3087472915649414,0.34068408608436584,0.35487717390060425,0.4933079481124878,0.20281735062599182,0.21227021515369415,0.21142789721488953,0.2071632742881775,0.31091248989105225
