,downtown,burbank,is,an,example,of,what,kind,of,district,?
within,0.16421812772750854,0.12788373231887817,0.30135563015937805,0.180417001247406,0.2533930540084839,0.39594778418540955,0.2498195916414261,0.15787406265735626,0.39594778418540955,0.17545607686042786,0.1870293766260147
the,0.2602716088294983,0.2321508675813675,0.5823672413825989,0.4207492768764496,0.3755223751068115,0.733189046382904,0.42745697498321533,0.2516445517539978,0.733189046382904,0.2690705955028534,0.22068053483963013
los,0.3046230375766754,0.4948795437812805,0.17008589208126068,0.14113986492156982,0.11675360798835754,0.17343297600746155,0.12322991341352463,0.06680147349834442,0.17343297600746155,0.09888618439435959,0.15495611727237701
angeles,0.29725757241249084,0.5201164484024048,0.1558004766702652,0.17996078729629517,0.1411566436290741,0.16643567383289337,0.10702074319124222,0.06594812870025635,0.16643567383289337,0.10687620937824249,0.16139166057109833
area,0.37015464901924133,0.1797579973936081,0.29283958673477173,0.23076042532920837,0.26250794529914856,0.3409860134124756,0.21965408325195312,0.12041405588388443,0.3409860134124756,0.3625546097755432,0.12640461325645447
are,0.16882547736167908,0.11613211035728455,0.5330929756164551,0.1556541919708252,0.4108889698982239,0.39081433415412903,0.29724663496017456,0.296465665102005,0.39081433415412903,0.17725017666816711,0.24591213464736938
the,0.2602716088294983,0.2321508675813675,0.5823672413825989,0.4207492768764496,0.3755223751068115,0.733189046382904,0.42745697498321533,0.2516445517539978,0.733189046382904,0.2690705955028534,0.22068053483963013
major,0.2444140613079071,0.13599510490894318,0.19079607725143433,0.14518070220947266,0.16200189292430878,0.2641255557537079,0.21026742458343506,0.14154492318630219,0.2641255557537079,0.20979605615139008,0.19788557291030884
business,0.3174465298652649,0.3171738386154175,0.19332653284072876,0.2052680253982544,0.19424402713775635,0.23985227942466736,0.21758167445659637,0.1333160102367401,0.23985227942466736,0.18776759505271912,0.1545659303665161
districts,0.32565128803253174,0.14298665523529053,0.20545536279678345,0.0912480279803276,0.10199608653783798,0.2693168818950653,0.16162313520908356,0.0722804144024849,0.2693168818950653,0.7729225754737854,0.10677915066480637
of,0.21455974876880646,0.20478573441505432,0.4854315221309662,0.32280945777893066,0.3570667505264282,1.0,0.33290785551071167,0.2285657674074173,1.0,0.2673880457878113,0.1826142966747284
downtown,1.0,0.4039080739021301,0.21999821066856384,0.1701103150844574,0.1507561355829239,0.21455974876880646,0.1348404437303543,0.10888472944498062,0.21455974876880646,0.40016987919807434,0.15638743340969086
burbank,0.4039080739021301,1.0000001192092896,0.14307169616222382,0.20498594641685486,0.13415215909481049,0.20478573441505432,0.18978667259216309,0.14022652804851532,0.20478573441505432,0.20621995627880096,0.17736202478408813
",",0.2289871871471405,0.344752699136734,0.4691906273365021,0.3581022024154663,0.3094974756240845,0.4946078956127167,0.3087472915649414,0.20629581809043884,0.4946078956127167,0.25852543115615845,0.31091248989105225
downtown,1.0,0.4039080739021301,0.21999821066856384,0.1701103150844574,0.1507561355829239,0.21455974876880646,0.1348404437303543,0.10888472944498062,0.21455974876880646,0.40016987919807434,0.15638743340969086
santa,0.2728801667690277,0.3714533746242523,0.1796122044324875,0.15795469284057617,0.16083993017673492,0.2417823076248169,0.23841293156147003,0.11152978241443634,0.2417823076248169,0.1411285400390625,0.17321589589118958
monica,0.208622008562088,0.46034905314445496,0.1386258900165558,0.13275504112243652,0.10460176318883896,0.12303479015827179,0.17006973922252655,0.06812375783920288,0.12303479015827179,0.12932251393795013,0.14569255709648132
",",0.2289871871471405,0.344752699136734,0.4691906273365021,0.3581022024154663,0.3094974756240845,0.4946078956127167,0.3087472915649414,0.20629581809043884,0.4946078956127167,0.25852543115615845,0.31091248989105225
downtown,1.0,0.4039080739021301,0.21999821066856384,0.1701103150844574,0.1507561355829239,0.21455974876880646,0.1348404437303543,0.10888472944498062,0.21455974876880646,0.40016987919807434,0.15638743340969086
glendale,0.3624505400657654,0.5364441871643066,0.1746917963027954,0.21140487492084503,0.11249618232250214,0.18101286888122559,0.171804279088974,0.0937831848859787,0.18101286888122559,0.2317194640636444,0.17165428400039673
and,0.20503629744052887,0.2853164076805115,0.3859752118587494,0.2838519215583801,0.35305824875831604,0.5116966962814331,0.31309178471565247,0.22462370991706848,0.5116966962814331,0.23884956538677216,0.20544172823429108
downtown,1.0,0.4039080739021301,0.21999821066856384,0.1701103150844574,0.1507561355829239,0.21455974876880646,0.1348404437303543,0.10888472944498062,0.21455974876880646,0.40016987919807434,0.15638743340969086
long,0.15527887642383575,0.15984150767326355,0.28473302721977234,0.22368325293064117,0.2734566330909729,0.2567519545555115,0.28276848793029785,0.24051904678344727,0.2567519545555115,0.05867990478873253,0.19699987769126892
beach,0.3346199095249176,0.3455498218536377,0.19757364690303802,0.09298094362020493,0.1265954077243805,0.20727382600307465,0.15818452835083008,0.10850320756435394,0.20727382600307465,0.16230443120002747,0.16120761632919312
.,0.2247719168663025,0.28786346316337585,0.4569662809371948,0.3581749200820923,0.41217929124832153,0.5352458953857422,0.3567904531955719,0.21254374086856842,0.5352458953857422,0.23195737600326538,0.4130953550338745
