,why,would,one,want,to,give,more,punishment,?
this,0.5040162205696106,0.47797831892967224,0.4978463351726532,0.4082619547843933,0.5759071707725525,0.3482663631439209,0.5430014133453369,0.24923382699489594,0.3155723512172699
action,0.19089697301387787,0.24782536923885345,0.200142040848732,0.23019009828567505,0.24674110114574432,0.15635152161121368,0.19991999864578247,0.2049637883901596,0.250188946723938
was,0.23341619968414307,0.41663143038749695,0.3752199709415436,0.21886487305164337,0.3636345863342285,0.16511452198028564,0.21525104343891144,0.2287234514951706,0.18412111699581146
upheld,0.22352375090122223,0.29723188281059265,0.2131255865097046,0.21248003840446472,0.2946240305900574,0.23506665229797363,0.20584723353385925,0.3414687216281891,0.20348112285137177
because,0.5926418900489807,0.5055220723152161,0.45408302545547485,0.46966785192489624,0.5166091918945312,0.40194305777549744,0.4338211119174957,0.2924807667732239,0.2528740465641022
",",0.2827242314815521,0.32586824893951416,0.3696635365486145,0.30747702717781067,0.44245919585227966,0.2844066619873047,0.3696524500846863,0.2216428816318512,0.31091248989105225
according,0.1806025505065918,0.23660632967948914,0.2632666826248169,0.1847410351037979,0.28520727157592773,0.2432807832956314,0.22043061256408691,0.1890420913696289,0.21173474192619324
to,0.4100138247013092,0.5965728163719177,0.4025384783744812,0.4966742694377899,1.0,0.4396136403083801,0.47084665298461914,0.208286851644516,0.29463258385658264
the,0.30742117762565613,0.4133751392364502,0.5514441132545471,0.3003826439380646,0.535392165184021,0.29086416959762573,0.39758381247520447,0.2503047287464142,0.22068053483963013
u.s.,0.07553931325674057,0.11469250172376633,0.07261612266302109,0.09375441819429398,0.09732837975025177,0.04353637620806694,0.037427712231874466,0.013738707639276981,0.07886100560426712
court,0.11776331812143326,0.19866934418678284,0.19723033905029297,0.1868596374988556,0.24824365973472595,0.16322870552539825,0.12774759531021118,0.30922967195510864,0.17100423574447632
of,0.28464117646217346,0.3353942930698395,0.4999135136604309,0.2645295262336731,0.41548454761505127,0.33489471673965454,0.30478984117507935,0.2056395560503006,0.1826142966747284
appeals,0.15433236956596375,0.23862895369529724,0.19570986926555634,0.21224665641784668,0.2656153440475464,0.24898020923137665,0.19497978687286377,0.3539791703224182,0.1764155626296997
for,0.3869043290615082,0.39877474308013916,0.384836345911026,0.2998926341533661,0.4451248347759247,0.41813769936561584,0.3891189992427826,0.25197941064834595,0.264628142118454
the,0.30742117762565613,0.4133751392364502,0.5514441132545471,0.3003826439380646,0.535392165184021,0.29086416959762573,0.39758381247520447,0.2503047287464142,0.22068053483963013
first,0.21323956549167633,0.2882738411426544,0.4552372097969055,0.24548369646072388,0.3792489171028137,0.2218824028968811,0.2665303945541382,0.13136298954486847,0.18701928853988647
circuit,0.12149906158447266,0.1695319563150406,0.2256602942943573,0.12365975230932236,0.24521300196647644,0.1220262423157692,0.17681580781936646,0.17622093856334686,0.058349963277578354
",",0.2827242314815521,0.32586824893951416,0.3696635365486145,0.30747702717781067,0.44245919585227966,0.2844066619873047,0.3696524500846863,0.2216428816318512,0.31091248989105225
her,0.2180226892232895,0.2420050948858261,0.2888909876346588,0.22085489332675934,0.34728822112083435,0.26241928339004517,0.230000838637352,0.1911553144454956,0.20310723781585693
statement,0.3074924051761627,0.35126933455467224,0.26618367433547974,0.2824536859989166,0.29286426305770874,0.23968134820461273,0.22884532809257507,0.26579082012176514,0.28978636860847473
suggested,0.31862786412239075,0.4565943479537964,0.3021421730518341,0.32656198740005493,0.32327648997306824,0.3273361027240753,0.2730725407600403,0.21235929429531097,0.2549840807914734
a,0.2667238116264343,0.398599237203598,0.4910551905632019,0.2898913025856018,0.45503583550453186,0.3436131179332733,0.3452818691730499,0.1934642344713211,0.23916715383529663
lack,0.3744938373565674,0.2753034234046936,0.19168248772621155,0.2799832820892334,0.29025790095329285,0.3012801706790924,0.3831552565097809,0.2027909755706787,0.16953514516353607
of,0.28464117646217346,0.3353942930698395,0.4999135136604309,0.2645295262336731,0.41548454761505127,0.33489471673965454,0.30478984117507935,0.2056395560503006,0.1826142966747284
remorse,0.325786292552948,0.2908591032028198,0.261956125497818,0.28996044397354126,0.2696148455142975,0.2972032427787781,0.27930864691734314,0.34593167901039124,0.24436719715595245
",",0.2827242314815521,0.32586824893951416,0.3696635365486145,0.30747702717781067,0.44245919585227966,0.2844066619873047,0.3696524500846863,0.2216428816318512,0.31091248989105225
an,0.22638356685638428,0.2650099992752075,0.2829729914665222,0.22034470736980438,0.3138085603713989,0.21015086770057678,0.316240519285202,0.1557532101869583,0.19793890416622162
attempt,0.22635294497013092,0.3321290910243988,0.23508599400520325,0.34591761231422424,0.4458620846271515,0.19024677574634552,0.19103950262069702,0.18619799613952637,0.16559520363807678
to,0.4100138247013092,0.5965728163719177,0.4025384783744812,0.4966742694377899,1.0,0.4396136403083801,0.47084665298461914,0.208286851644516,0.29463258385658264
avoid,0.3182125687599182,0.316925585269928,0.19350843131542206,0.34911978244781494,0.33193957805633545,0.29059046506881714,0.2814396023750305,0.2643055319786072,0.26885488629341125
responsibility,0.3170992136001587,0.3222607374191284,0.28283175826072693,0.2991311848163605,0.27145519852638245,0.23571211099624634,0.22963564097881317,0.3039039373397827,0.20907385647296906
for,0.3869043290615082,0.39877474308013916,0.384836345911026,0.2998926341533661,0.4451248347759247,0.41813769936561584,0.3891189992427826,0.25197941064834595,0.264628142118454
her,0.2180226892232895,0.2420050948858261,0.2888909876346588,0.22085489332675934,0.34728822112083435,0.26241928339004517,0.230000838637352,0.1911553144454956,0.20310723781585693
actions,0.32040390372276306,0.34774941205978394,0.22859761118888855,0.3002673387527466,0.27775833010673523,0.19735388457775116,0.23744843900203705,0.2937672734260559,0.2841099798679352
",",0.2827242314815521,0.32586824893951416,0.3696635365486145,0.30747702717781067,0.44245919585227966,0.2844066619873047,0.3696524500846863,0.2216428816318512,0.31091248989105225
and,0.27806392312049866,0.34921059012413025,0.42438167333602905,0.34348347783088684,0.48971283435821533,0.3040338158607483,0.39880692958831787,0.2325662225484848,0.20544172823429108
even,0.5221582055091858,0.48455893993377686,0.4147960841655731,0.44754329323768616,0.46467068791389465,0.39526358246803284,0.5038509368896484,0.29150041937828064,0.30082517862319946
a,0.2667238116264343,0.398599237203598,0.4910551905632019,0.2898913025856018,0.45503583550453186,0.3436131179332733,0.3452818691730499,0.1934642344713211,0.23916715383529663
likelihood,0.3561267554759979,0.3527316153049469,0.34597525000572205,0.3283456563949585,0.4685809314250946,0.34464994072914124,0.387754887342453,0.27115193009376526,0.3244779706001282
of,0.28464117646217346,0.3353942930698395,0.4999135136604309,0.2645295262336731,0.41548454761505127,0.33489471673965454,0.30478984117507935,0.2056395560503006,0.1826142966747284
repeating,0.2928934395313263,0.2707066833972931,0.30123254656791687,0.2354443520307541,0.2552020847797394,0.2907997667789459,0.2493198961019516,0.20230458676815033,0.26100295782089233
