,what,has,to,accounted,for,that,causes,no,net,force,being,the,cause,of,constant,velocity,motion,?
however,0.4480680823326111,0.3999234735965729,0.5474119186401367,0.3600662052631378,0.44511833786964417,0.6336373090744019,0.2402690201997757,0.3648528754711151,0.18456828594207764,0.23566965758800507,0.49440997838974,0.49814513325691223,0.4096638560295105,0.3800618350505829,0.2525193691253662,0.23162664473056793,0.20577023923397064,0.2152075469493866
",",0.3087472915649414,0.3734780251979828,0.44245919585227966,0.26277756690979004,0.4464869201183319,0.4137537479400635,0.3057606518268585,0.29972612857818604,0.18643678724765778,0.22091743350028992,0.34499165415763855,0.4933079481124878,0.2546827793121338,0.4946078956127167,0.21295993030071259,0.2040358930826187,0.18457698822021484,0.31091248989105225
when,0.4700249433517456,0.34538573026657104,0.5423505902290344,0.18093274533748627,0.43402108550071716,0.5860282182693481,0.29580047726631165,0.28761178255081177,0.15201713144779205,0.24609562754631042,0.47212454676628113,0.5091903209686279,0.36268818378448486,0.3757161796092987,0.2766841650009155,0.2664831280708313,0.2157837152481079,0.22841128706932068
kinetic,0.2226589173078537,0.17744611203670502,0.265864759683609,0.2689457833766937,0.21984411776065826,0.3089260160923004,0.30544722080230713,0.21707068383693695,0.23673175275325775,0.3447119891643524,0.13828687369823456,0.24169990420341492,0.30019745230674744,0.22437416017055511,0.4405362904071808,0.5094466209411621,0.4115316569805145,0.17710059881210327
friction,0.2582229971885681,0.1884559690952301,0.30962538719177246,0.2394019514322281,0.23080427944660187,0.33971524238586426,0.35706934332847595,0.2546040415763855,0.22449925541877747,0.44091445207595825,0.2756372392177582,0.2587912678718567,0.37257400155067444,0.21519047021865845,0.4261007606983185,0.45042911171913147,0.4094328284263611,0.18292373418807983
is,0.28837618231773376,0.5668748617172241,0.42745086550712585,0.20267806947231293,0.43268078565597534,0.3995479643344879,0.3009743392467499,0.19581134617328644,0.11006560176610947,0.22036980092525482,0.4445112943649292,0.5823672413825989,0.218277707695961,0.4854315221309662,0.1972285658121109,0.18647955358028412,0.2224293351173401,0.22961433231830597
taken,0.26014965772628784,0.24078872799873352,0.2772596478462219,0.3297193646430969,0.2691914737224579,0.35460543632507324,0.171756774187088,0.23147335648536682,0.09785676002502441,0.09439639747142792,0.3558032810688019,0.3309854567050934,0.208762526512146,0.2889742851257324,0.20350070297718048,0.09612578898668289,0.14054560661315918,0.17662954330444336
into,0.2180619090795517,0.29681676626205444,0.38810545206069946,0.17221683263778687,0.231735959649086,0.3239944875240326,0.22197946906089783,0.18203336000442505,0.1442563682794571,0.1669553965330124,0.2783583104610443,0.39493247866630554,0.25272825360298157,0.32255905866622925,0.1393166035413742,0.14240586757659912,0.14133602380752563,0.15662476420402527
consideration,0.4204122722148895,0.24599170684814453,0.3686288893222809,0.3602295219898224,0.42251384258270264,0.3713878095149994,0.23568570613861084,0.2840728759765625,0.19600728154182434,0.20284520089626312,0.37439045310020447,0.3567850589752197,0.30535653233528137,0.33743569254875183,0.30107489228248596,0.24304154515266418,0.25242865085601807,0.3967568278312683
it,0.45803478360176086,0.41962623596191406,0.513711154460907,0.18014757335186005,0.32171204686164856,0.5921133160591125,0.18735122680664062,0.25005611777305603,0.11905452609062195,0.22565218806266785,0.3926103413105011,0.6251175999641418,0.26461511850357056,0.38761502504348755,0.13728496432304382,0.24838849902153015,0.21295468509197235,0.25732165575027466
