,what,ideal,thermodynamic,cycle,analyzes,the,process,by,which,steam,engines,work,?
the,0.42745697498321533,0.25375595688819885,0.2758195400238037,0.2701641917228699,0.25657835602760315,1.0,0.264274537563324,0.4408751428127289,0.6521818041801453,0.23105813562870026,0.2245008647441864,0.2704800069332123,0.22068053483963013
ideal,0.31059911847114563,1.0,0.4312078654766083,0.2523166537284851,0.31765052676200867,0.25375595688819885,0.2899203300476074,0.1778499335050583,0.3116999864578247,0.2556615471839905,0.2671792507171631,0.2674006521701813,0.13358637690544128
thermodynamic,0.27302685379981995,0.4312078654766083,1.0,0.36592817306518555,0.495037704706192,0.2758195400238037,0.39345481991767883,0.2495482712984085,0.38017648458480835,0.3305758535861969,0.38853657245635986,0.27693989872932434,0.26781561970710754
cycle,0.17920038104057312,0.2523166537284851,0.36592817306518555,1.0000001192092896,0.2742202877998352,0.2701641917228699,0.38962501287460327,0.15267513692378998,0.3195553123950958,0.24528048932552338,0.22197091579437256,0.21434089541435242,0.07156776636838913
used,0.27546408772468567,0.30020809173583984,0.27937111258506775,0.15923969447612762,0.3653748035430908,0.3718377649784088,0.2672698497772217,0.27705541253089905,0.414506196975708,0.2604328691959381,0.2519303560256958,0.2676831781864166,0.22430120408535004
to,0.455847829580307,0.29955336451530457,0.2679190933704376,0.17373278737068176,0.26241451501846313,0.535392165184021,0.35462963581085205,0.33534231781959534,0.5345056653022766,0.22894427180290222,0.24536406993865967,0.3482864499092102,0.29463258385658264
analyze,0.2935202717781067,0.30367931723594666,0.4473291039466858,0.2507133185863495,0.9202398061752319,0.2610788345336914,0.34111887216567993,0.26581740379333496,0.34244075417518616,0.1901334971189499,0.2554241418838501,0.3198426067829132,0.19188500940799713
this,0.5489566326141357,0.34491389989852905,0.34930381178855896,0.2510433495044708,0.3003599941730499,0.6274310946464539,0.4155423641204834,0.38438332080841064,0.6719430088996887,0.22001534700393677,0.2637206017971039,0.4280385971069336,0.3155723512172699
process,0.3466717302799225,0.2899203300476074,0.39345481991767883,0.38962501287460327,0.36099645495414734,0.264274537563324,0.9999998807907104,0.2115318775177002,0.3943749964237213,0.2769784927368164,0.24070891737937927,0.3338690996170044,0.2460896074771881
is,0.28837618231773376,0.2690519392490387,0.2794320583343506,0.20626789331436157,0.26698657870292664,0.5823672413825989,0.21762968599796295,0.3899846076965332,0.4457404911518097,0.13029660284519196,0.1648903638124466,0.22475390136241913,0.22961433231830597
called,0.3235960602760315,0.18482525646686554,0.22885054349899292,0.2504095733165741,0.271170437335968,0.489897221326828,0.20657534897327423,0.3092815577983856,0.5573342442512512,0.20317578315734863,0.17459313571453094,0.2140965610742569,0.18963319063186646
the,0.42745697498321533,0.25375595688819885,0.2758195400238037,0.2701641917228699,0.25657835602760315,1.0,0.264274537563324,0.4408751428127289,0.6521818041801453,0.23105813562870026,0.2245008647441864,0.2704800069332123,0.22068053483963013
rankine,0.14446263015270233,0.30786624550819397,0.4677978754043579,0.2285865843296051,0.20723332464694977,0.22060109674930573,0.1142602413892746,0.2038370817899704,0.1840226650238037,0.2536572813987732,0.2806425392627716,0.18954385817050934,0.15256094932556152
cycle,0.17920038104057312,0.2523166537284851,0.36592817306518555,1.0000001192092896,0.2742202877998352,0.2701641917228699,0.38962501287460327,0.15267513692378998,0.3195553123950958,0.24528048932552338,0.22197091579437256,0.21434089541435242,0.07156776636838913
.,0.3567904531955719,0.19029678404331207,0.2849833071231842,0.19143328070640564,0.18591642379760742,0.5934505462646484,0.23766504228115082,0.3936232924461365,0.45942068099975586,0.22855372726917267,0.24894580245018005,0.33121398091316223,0.4130953550338745
