,what,apollo,mission,was,first,cancelled,due,to,not,being,needed,to,build,the,skylab,in,space,",",as,it,was,pre-built,on,the,ground,?
about,0.47976887226104736,0.12157628685235977,0.1612914651632309,0.2577359974384308,0.23546195030212402,0.13261647522449493,0.18341198563575745,0.391953706741333,0.36646416783332825,0.276187002658844,0.28187432885169983,0.391953706741333,0.20282910764217377,0.37995871901512146,0.15243324637413025,0.39797019958496094,0.1689152717590332,0.3877100944519043,0.2989700436592102,0.4291239380836487,0.2577359974384308,0.219659686088562,0.322975218296051,0.37995871901512146,0.21466396749019623,0.302409827709198
the,0.42745697498321533,0.2169172167778015,0.22673439979553223,0.48711544275283813,0.49448907375335693,0.2379130721092224,0.22577603161334991,0.535392165184021,0.4310511648654938,0.419739305973053,0.3064746856689453,0.535392165184021,0.2602573335170746,1.0,0.33710870146751404,0.6662389636039734,0.24495907127857208,0.4933079481124878,0.48381632566452026,0.6251175999641418,0.48711544275283813,0.3539043962955475,0.5107308030128479,1.0,0.25776049494743347,0.22068053483963013
time,0.36319252848625183,0.1792200356721878,0.17256616055965424,0.3641340136528015,0.4013477563858032,0.24066561460494995,0.20518282055854797,0.3679993152618408,0.3786478340625763,0.3508506119251251,0.3310089409351349,0.3679993152618408,0.21468615531921387,0.43061500787734985,0.2684505879878998,0.3431483507156372,0.2780037522315979,0.3029961884021759,0.3239102065563202,0.3375589847564697,0.3641340136528015,0.2926138639450073,0.30044233798980713,0.43061500787734985,0.18442068994045258,0.27391523122787476
of,0.33290785551071167,0.1786269098520279,0.20170781016349792,0.4069072902202606,0.3536086082458496,0.20235416293144226,0.2533245384693146,0.41548454761505127,0.3307090103626251,0.34885138273239136,0.27215874195098877,0.41548454761505127,0.22630037367343903,0.733189046382904,0.23126329481601715,0.5696388483047485,0.21300287544727325,0.4946078956127167,0.3886612355709076,0.38761502504348755,0.4069072902202606,0.3001367151737213,0.3966929316520691,0.733189046382904,0.22660790383815765,0.1826142966747284
the,0.42745697498321533,0.2169172167778015,0.22673439979553223,0.48711544275283813,0.49448907375335693,0.2379130721092224,0.22577603161334991,0.535392165184021,0.4310511648654938,0.419739305973053,0.3064746856689453,0.535392165184021,0.2602573335170746,1.0,0.33710870146751404,0.6662389636039734,0.24495907127857208,0.4933079481124878,0.48381632566452026,0.6251175999641418,0.48711544275283813,0.3539043962955475,0.5107308030128479,1.0,0.25776049494743347,0.22068053483963013
first,0.28086137771606445,0.21067003905773163,0.254679799079895,0.5022147297859192,1.0,0.38487550616264343,0.16485638916492462,0.3792489171028137,0.2955942749977112,0.3338102698326111,0.25014638900756836,0.3792489171028137,0.17361782491207123,0.49448907375335693,0.3132530450820923,0.4127444326877594,0.24688784778118134,0.34503069519996643,0.33842000365257263,0.3491429388523102,0.5022147297859192,0.31946516036987305,0.3120559751987457,0.49448907375335693,0.19115249812602997,0.18701928853988647
landing,0.17083740234375,0.3499414920806885,0.3639855980873108,0.21103228628635406,0.24647179245948792,0.28158697485923767,0.1692100167274475,0.27316537499427795,0.199067622423172,0.2500041127204895,0.18281152844429016,0.27316537499427795,0.1944141685962677,0.24055521190166473,0.3966016173362732,0.2088729292154312,0.21530812978744507,0.23283818364143372,0.1406390219926834,0.2240457981824875,0.21103228628635406,0.2345467358827591,0.31166619062423706,0.24055521190166473,0.3307192027568817,0.11133739352226257
in,0.30808621644973755,0.1461767554283142,0.2224319875240326,0.45514053106307983,0.4127444326877594,0.2391979694366455,0.2516716718673706,0.45010748505592346,0.3403114080429077,0.33162933588027954,0.21117523312568665,0.45010748505592346,0.26063278317451477,0.6662389636039734,0.27669620513916016,1.0,0.17648501694202423,0.5201468467712402,0.3887844979763031,0.5130809545516968,0.45514053106307983,0.3076258897781372,0.46853652596473694,0.6662389636039734,0.20377106964588165,0.20430970191955566
1969,0.17037658393383026,0.2411709427833557,0.11890547722578049,0.31709611415863037,0.21481698751449585,0.15080520510673523,0.14077648520469666,0.2237721085548401,0.2541821300983429,0.2708560526371002,0.19572830200195312,0.2237721085548401,0.13815657794475555,0.22767919301986694,0.2375994175672531,0.20296303927898407,0.1040894016623497,0.2538421154022217,0.2245667278766632,0.21166905760765076,0.31709611415863037,0.23741790652275085,0.17217904329299927,0.22767919301986694,0.2176087349653244,0.19860808551311493
",",0.3087472915649414,0.19808128476142883,0.21226151287555695,0.45456063747406006,0.34503069519996643,0.21998357772827148,0.3106630742549896,0.44245919585227966,0.3769696354866028,0.34499165415763855,0.29017356038093567,0.44245919585227966,0.22204548120498657,0.4933079481124878,0.29952821135520935,0.5201468467712402,0.2285580337047577,1.0000001192092896,0.48816442489624023,0.48329564929008484,0.45456063747406006,0.32092440128326416,0.49057599902153015,0.4933079481124878,0.22859713435173035,0.31091248989105225
it,0.45803478360176086,0.18655648827552795,0.19417105615139008,0.4577186405658722,0.3491429388523102,0.20654602348804474,0.2184215486049652,0.513711154460907,0.4651523232460022,0.3926103413105011,0.28543469309806824,0.513711154460907,0.2748400866985321,0.6251175999641418,0.2710142433643341,0.5130809545516968,0.1662190854549408,0.48329564929008484,0.4461488723754883,0.9999999403953552,0.4577186405658722,0.36814674735069275,0.4529881477355957,0.6251175999641418,0.2557121515274048,0.25732165575027466
was,0.22111038863658905,0.2306441366672516,0.20951420068740845,1.0000001192092896,0.5022147297859192,0.37362921237945557,0.29011407494544983,0.3636345863342285,0.2888734042644501,0.5201660394668579,0.227164626121521,0.3636345863342285,0.20898228883743286,0.48711544275283813,0.304561972618103,0.45514053106307983,0.14677780866622925,0.45456063747406006,0.3677520453929901,0.4577186405658722,1.0000001192092896,0.33281832933425903,0.3909217119216919,0.48711544275283813,0.17532029747962952,0.18412111699581146
decided,0.3212295174598694,0.16955213248729706,0.22174720466136932,0.41358432173728943,0.26435327529907227,0.38224899768829346,0.2199009507894516,0.43155255913734436,0.37016984820365906,0.2604169547557831,0.3657175600528717,0.43155255913734436,0.3213728368282318,0.37534645199775696,0.29612672328948975,0.30060529708862305,0.10505308955907822,0.2726382911205292,0.24476851522922516,0.27811554074287415,0.41358432173728943,0.26726484298706055,0.30952155590057373,0.37534645199775696,0.2353195697069168,0.258772075176239
to,0.455847829580307,0.23190522193908691,0.26700642704963684,0.3636345863342285,0.3792489171028137,0.24751435220241547,0.35188060998916626,1.0,0.5149973034858704,0.4514104127883911,0.45002421736717224,1.0,0.38783395290374756,0.535392165184021,0.3112412393093109,0.45010748505592346,0.22712917625904083,0.44245919585227966,0.42092081904411316,0.513711154460907,0.3636345863342285,0.2845180034637451,0.41031414270401,0.535392165184021,0.22786086797714233,0.29463258385658264
use,0.3453877568244934,0.15835528075695038,0.12527142465114594,0.17744606733322144,0.3305151164531708,0.154279425740242,0.24184012413024902,0.47261837124824524,0.48439106345176697,0.307609498500824,0.5081669688224792,0.47261837124824524,0.3438171148300171,0.34342584013938904,0.2006416618824005,0.2715643048286438,0.25471776723861694,0.3276674151420593,0.3453201949596405,0.34436097741127014,0.17744606733322144,0.327561616897583,0.2776605486869812,0.34342584013938904,0.22306689620018005,0.32795652747154236
an,0.2821882665157318,0.1602039784193039,0.1624951809644699,0.3694365322589874,0.29757723212242126,0.1457122564315796,0.16163069009780884,0.3138085603713989,0.3722182512283325,0.2743402123451233,0.27356213331222534,0.3138085603713989,0.09444206207990646,0.4207492768764496,0.2846873700618744,0.2605783939361572,0.19467206299304962,0.3581022024154663,0.37218472361564636,0.39472338557243347,0.3694365322589874,0.23244406282901764,0.3192969560623169,0.4207492768764496,0.20839543640613556,0.19793890416622162
existing,0.31325602531433105,0.0823792964220047,0.16315944492816925,0.19214795529842377,0.23412731289863586,0.18354366719722748,0.13782508671283722,0.36717307567596436,0.34760579466819763,0.32757338881492615,0.3766498267650604,0.36717307567596436,0.386424720287323,0.36013904213905334,0.20868849754333496,0.2761130928993225,0.22985999286174774,0.2549736201763153,0.2994588613510132,0.33391073346138,0.19214795529842377,0.3824898302555084,0.245413675904274,0.36013904213905334,0.2414296716451645,0.31003472208976746
