,which,membrane,was,lost,in,euglenophyte,chloroplasts,?
euglenophyte,0.3627278208732605,0.44504615664482117,0.09647505730390549,0.11587806046009064,0.19207265973091125,0.9999998807907104,0.6598716974258423,0.194740891456604
chloroplasts,0.3874085545539856,0.6331068873405457,0.1579415500164032,0.1645273119211197,0.21141497790813446,0.6598716974258423,0.9999999403953552,0.13049766421318054
have,0.49652695655822754,0.303412526845932,0.2863433063030243,0.2670711576938629,0.36843645572662354,0.40404847264289856,0.29091566801071167,0.32991164922714233
three,0.40919098258018494,0.1948269158601761,0.2748996615409851,0.203522190451622,0.34828072786331177,0.2340390682220459,0.24092958867549896,0.20928427577018738
membranes—it,0.35238808393478394,0.9637811779975891,0.11966324597597122,0.10304012894630432,0.22098423540592194,0.4969780147075653,0.6515589356422424,0.22238464653491974
is,0.4457404911518097,0.21774554252624512,0.5810302495956421,0.18998044729232788,0.5394441485404968,0.23564210534095764,0.22550933063030243,0.22961433231830597
thought,0.3462379276752472,0.1345946043729782,0.42560186982154846,0.2225092500448227,0.24524326622486115,0.290111243724823,0.2474929243326187,0.2600135803222656
that,0.6894589066505432,0.27394893765449524,0.33670201897621155,0.26059767603874207,0.435920387506485,0.3243131637573242,0.3177454173564911,0.32716336846351624
the,0.6521818041801453,0.21814598143100739,0.48711544275283813,0.3376973867416382,0.6662389636039734,0.23271213471889496,0.23062430322170258,0.22068053483963013
membrane,0.3332558274269104,0.9999999403953552,0.09411358833312988,0.07115631550550461,0.18670576810836792,0.44504615664482117,0.6331068873405457,0.18908235430717468
of,0.5011631846427917,0.22049079835414886,0.4069072902202606,0.2878951132297516,0.5696388483047485,0.27936112880706787,0.23179760575294495,0.1826142966747284
the,0.6521818041801453,0.21814598143100739,0.48711544275283813,0.3376973867416382,0.6662389636039734,0.23271213471889496,0.23062430322170258,0.22068053483963013
primary,0.3064635396003723,0.13038849830627441,0.16384649276733398,0.25836673378944397,0.21150650084018707,0.23149609565734863,0.27425846457481384,0.16286636888980865
endosymbiont,0.3994208872318268,0.6054038405418396,0.15034861862659454,0.13494014739990234,0.22090354561805725,0.7322571873664856,0.7342491149902344,0.2268921285867691
was,0.2830964922904968,0.09411358833312988,1.0000001192092896,0.2525325119495392,0.45514053106307983,0.09647505730390549,0.1579415500164032,0.18412111699581146
lost,0.2536070644855499,0.07115631550550461,0.2525325119495392,0.9999998807907104,0.3167656362056732,0.11587806046009064,0.1645273119211197,0.15261413156986237
",",0.3658004403114319,0.18095634877681732,0.45456063747406006,0.26788443326950073,0.5201468467712402,0.25690585374832153,0.20794041454792023,0.31091248989105225
leaving,0.26806724071502686,0.12848247587680817,0.23990856111049652,0.2332552820444107,0.2724153697490692,0.15333785116672516,0.18973886966705322,0.11571593582630157
the,0.6521818041801453,0.21814598143100739,0.48711544275283813,0.3376973867416382,0.6662389636039734,0.23271213471889496,0.23062430322170258,0.22068053483963013
cyanobacterial,0.4175981283187866,0.5107813477516174,0.21216754615306854,0.09970061480998993,0.2512722611427307,0.653505802154541,0.708339273929596,0.19054965674877167
membranes,0.3335396349430084,0.9437052011489868,0.10123663395643234,0.10689418762922287,0.21022982895374298,0.49604764580726624,0.6635266542434692,0.20524227619171143
",",0.3658004403114319,0.18095634877681732,0.45456063747406006,0.26788443326950073,0.5201468467712402,0.25690585374832153,0.20794041454792023,0.31091248989105225
and,0.506277859210968,0.233199805021286,0.3740963041782379,0.25558507442474365,0.4954058527946472,0.25590452551841736,0.21511349081993103,0.20544172823429108
the,0.6521818041801453,0.21814598143100739,0.48711544275283813,0.3376973867416382,0.6662389636039734,0.23271213471889496,0.23062430322170258,0.22068053483963013
secondary,0.29409417510032654,0.190712109208107,0.12099137902259827,0.108985535800457,0.2103116512298584,0.29676157236099243,0.2724728286266327,0.18118004500865936
host,0.27663925290107727,0.2399737536907196,0.16720354557037354,0.14300090074539185,0.21661671996116638,0.28688573837280273,0.2900705635547638,0.1021634042263031
's,0.03856118768453598,-0.09767278283834457,0.008974763564765453,-0.04458974674344063,-0.037580832839012146,0.028956085443496704,-0.026035647839307785,-0.023395681753754616
phagosomal,0.35893020033836365,0.5740059018135071,0.16761843860149384,0.09779791533946991,0.22044946253299713,0.5852743983268738,0.5749658942222595,0.2133897840976715
membrane,0.3332558274269104,0.9999999403953552,0.09411358833312988,0.07115631550550461,0.18670576810836792,0.44504615664482117,0.6331068873405457,0.18908235430717468
.,0.45942068099975586,0.20517759025096893,0.40146201848983765,0.2800092399120331,0.5591574311256409,0.27700087428092957,0.23868323862552643,0.4130953550338745
