,how,did,the,plague,infiltrate,alexandria,?
by,0.34370526671409607,0.18574509024620056,0.4408751428127289,0.22066086530685425,0.25248193740844727,0.16482917964458466,0.17966607213020325
autumn,0.1770138293504715,0.16241119801998138,0.28377342224121094,0.30410757660865784,0.10710395872592926,0.18201285600662231,0.11069142818450928
1347,-0.051147639751434326,-0.023625802248716354,0.11885491758584976,0.02025306411087513,0.07354822754859924,0.08906085044145584,-0.038942355662584305
",",0.22659391164779663,0.3015086054801941,0.4933079481124878,0.2630122900009155,0.15962618589401245,0.26247361302375793,0.31091248989105225
the,0.33890387415885925,0.34736719727516174,1.0,0.2537761330604553,0.3007639944553375,0.2427685707807541,0.22068053483963013
plague,0.16610242426395416,0.1901843398809433,0.2537761330604553,0.9999999403953552,0.2110484391450882,0.3213769793510437,0.11872942000627518
reached,0.12375093251466751,0.24863581359386444,0.29860952496528625,0.19667384028434753,0.21426644921302795,0.029433371499180794,0.1518019139766693
alexandria,0.12855130434036255,0.1299097239971161,0.2427685707807541,0.3213769793510437,0.1543431282043457,0.9999999403953552,0.16482815146446228
in,0.2601168751716614,0.2593238651752472,0.6662389636039734,0.2488756626844406,0.2505377233028412,0.22816869616508484,0.20430970191955566
egypt,0.15728935599327087,0.1887594312429428,0.2536296546459198,0.27196529507637024,0.2524200975894928,0.4744740128517151,0.17769601941108704
",",0.22659391164779663,0.3015086054801941,0.4933079481124878,0.2630122900009155,0.15962618589401245,0.26247361302375793,0.31091248989105225
probably,0.3665387034416199,0.29997241497039795,0.3722526729106903,0.28538596630096436,0.16499857604503632,0.1783972829580307,0.3524723947048187
through,0.2704794108867645,0.14190755784511566,0.44071322679519653,0.17900392413139343,0.28019145131111145,0.13044863939285278,0.16913433372974396
the,0.33890387415885925,0.34736719727516174,1.0,0.2537761330604553,0.3007639944553375,0.2427685707807541,0.22068053483963013
port,0.08507416397333145,0.10525383055210114,0.2648184895515442,0.24707429111003876,0.14779402315616608,0.2518656551837921,0.06519711017608643
's,-0.026164190843701363,0.05069678649306297,-0.01540423184633255,-0.0006555641302838922,0.022633371874690056,0.021674619987607002,-0.023395681753754616
trade,0.22247354686260223,0.16199031472206116,0.2681608200073242,0.19434992969036102,0.20261754095554352,0.041653867810964584,0.09336511790752411
with,0.3525622487068176,0.25472134351730347,0.4223487675189972,0.1677253097295761,0.2368944138288498,0.11562755703926086,0.2433311939239502
constantinople,0.08034499734640121,0.16255536675453186,0.22278720140457153,0.3938733637332916,0.15421849489212036,0.5316591858863831,0.14398078620433807
",",0.22659391164779663,0.3015086054801941,0.4933079481124878,0.2630122900009155,0.15962618589401245,0.26247361302375793,0.31091248989105225
and,0.33647966384887695,0.34479495882987976,0.5171257257461548,0.2229994833469391,0.2695779502391815,0.17293280363082886,0.20544172823429108
ports,0.09353026747703552,0.13111749291419983,0.3049439787864685,0.24513639509677887,0.21862418949604034,0.21362429857254028,0.038480158895254135
on,0.32655060291290283,0.2670976221561432,0.5107308030128479,0.16606301069259644,0.18499532341957092,0.1861899048089981,0.2714994251728058
the,0.33890387415885925,0.34736719727516174,1.0,0.2537761330604553,0.3007639944553375,0.2427685707807541,0.22068053483963013
black,0.2023327350616455,0.14310608804225922,0.28466513752937317,0.2843790054321289,0.13286666572093964,0.07154840230941772,0.15159966051578522
sea,0.16549281775951385,0.1665116548538208,0.30363768339157104,0.24285711348056793,0.2072601616382599,0.16866794228553772,0.15551945567131042
.,0.3287222981452942,0.35288307070732117,0.5934505462646484,0.2547653317451477,0.17148488759994507,0.23380713164806366,0.4130953550338745
