,how,many,folks,died,of,plague,in,newcastle,in,the,1630s,?
in,0.2601168751716614,0.41474202275276184,0.16001151502132416,0.25881269574165344,0.5696388483047485,0.2488756626844406,1.0,0.19270820915699005,1.0,0.6662389636039734,-0.09058667719364166,0.20430970191955566
the,0.33890387415885925,0.4335206151008606,0.20175506174564362,0.18710990250110626,0.733189046382904,0.2537761330604553,0.6662389636039734,0.2253497689962387,0.6662389636039734,1.0,-0.0983838438987732,0.22068053483963013
1630s,-0.16215448081493378,-0.1792808175086975,-0.06247696653008461,-0.09759901463985443,-0.1495223343372345,-0.170022115111351,-0.09058667719364166,0.01067638210952282,-0.09058667719364166,-0.0983838438987732,1.0,-0.02269667200744152
about,0.44264400005340576,0.3800397515296936,0.2670536935329437,0.15872496366500854,0.40939709544181824,0.2741866707801819,0.39797019958496094,0.09376832842826843,0.39797019958496094,0.37995871901512146,-0.17277999222278595,0.302409827709198
"7,000",0.012593911960721016,0.07235731929540634,0.0019848505035042763,0.11790972203016281,0.14186584949493408,0.02673954889178276,0.14251409471035004,0.029991688206791878,0.14251409471035004,0.13153842091560364,0.16832874715328217,0.00799624901264906
out,0.3963836133480072,0.3329806923866272,0.26723581552505493,0.1646886169910431,0.34176841378211975,0.20795615017414093,0.3576207756996155,0.10975169390439987,0.3576207756996155,0.39404502511024475,-0.07496974617242813,0.22020699083805084
of,0.2480744868516922,0.37253960967063904,0.14665444195270538,0.25637882947921753,1.0,0.27455615997314453,0.5696388483047485,0.18781472742557526,0.5696388483047485,0.733189046382904,-0.1495223343372345,0.1826142966747284
"20,000",0.13387233018875122,0.24122677743434906,0.09836842864751816,0.2970177233219147,0.32472333312034607,0.1500007063150406,0.2609833776950836,0.09393707662820816,0.2609833776950836,0.37579581141471863,-0.06627995520830154,0.10352851450443268
inhabitants,0.08514878153800964,0.1903092861175537,0.153136745095253,0.2076629102230072,0.26628780364990234,0.26497191190719604,0.29904377460479736,0.17947223782539368,0.29904377460479736,0.2644902467727661,-0.16108742356300354,0.1312350630760193
of,0.2480744868516922,0.37253960967063904,0.14665444195270538,0.25637882947921753,1.0,0.27455615997314453,0.5696388483047485,0.18781472742557526,0.5696388483047485,0.733189046382904,-0.1495223343372345,0.1826142966747284
newcastle,0.11517360806465149,0.17336907982826233,0.16897009313106537,0.21536575257778168,0.18781472742557526,0.24316272139549255,0.19270820915699005,1.0000001192092896,0.19270820915699005,0.2253497689962387,0.01067638210952282,0.0902252271771431
died,0.07147754728794098,0.16722610592842102,0.16954389214515686,0.9999998807907104,0.25637882947921753,0.3328428268432617,0.25881269574165344,0.21536575257778168,0.25881269574165344,0.18710990250110626,-0.09759901463985443,0.15254227817058563
of,0.2480744868516922,0.37253960967063904,0.14665444195270538,0.25637882947921753,1.0,0.27455615997314453,0.5696388483047485,0.18781472742557526,0.5696388483047485,0.733189046382904,-0.1495223343372345,0.1826142966747284
plague,0.16610242426395416,0.2661729156970978,0.1808069944381714,0.3328428268432617,0.27455615997314453,0.9999999403953552,0.2488756626844406,0.24316272139549255,0.2488756626844406,0.2537761330604553,-0.170022115111351,0.11872942000627518
",",0.22659391164779663,0.40610817074775696,0.286546528339386,0.36026471853256226,0.4946078956127167,0.2630122900009155,0.5201468467712402,0.251589834690094,0.5201468467712402,0.4933079481124878,-0.0007934386376291513,0.31091248989105225
more,0.4319567084312439,0.48608261346817017,0.2505272328853607,0.11195699870586395,0.30478984117507935,0.15556684136390686,0.32563260197639465,0.20833437144756317,0.32563260197639465,0.39758381247520447,-0.1653417944908142,0.27894994616508484
than,0.29763275384902954,0.39069414138793945,0.2260410189628601,0.10296689718961716,0.33036211133003235,0.11852532625198364,0.3270052373409271,0.20350264012813568,0.3270052373409271,0.3227543234825134,-0.167876735329628,0.24917294085025787
one-third,0.1601787507534027,0.15049785375595093,0.22856934368610382,0.190060093998909,0.2710643708705902,0.1666293442249298,0.33663660287857056,0.19524814188480377,0.33663660287857056,0.4088415503501892,0.0288737490773201,0.22430352866649628
of,0.2480744868516922,0.37253960967063904,0.14665444195270538,0.25637882947921753,1.0,0.27455615997314453,0.5696388483047485,0.18781472742557526,0.5696388483047485,0.733189046382904,-0.1495223343372345,0.1826142966747284
the,0.33890387415885925,0.4335206151008606,0.20175506174564362,0.18710990250110626,0.733189046382904,0.2537761330604553,0.6662389636039734,0.2253497689962387,0.6662389636039734,1.0,-0.0983838438987732,0.22068053483963013
population,0.1651063710451126,0.2201971709728241,0.18504920601844788,0.2137834131717682,0.3060894012451172,0.28463682532310486,0.3268454372882843,0.15327702462673187,0.3268454372882843,0.32044094800949097,-0.10947301238775253,0.14449454843997955
.,0.3287222981452942,0.3974229395389557,0.2736205458641052,0.24093139171600342,0.5352458953857422,0.2547653317451477,0.5591574311256409,0.2714749276638031,0.5591574311256409,0.5934505462646484,-0.005596107803285122,0.4130953550338745
