,from,2004,to,2005,harvard,reduced,the,number,of,students,earning,latin,honors,from,90,%,to,what,?
harvard,0.2288978099822998,-0.04247364029288292,0.2043667882680893,-0.06632010638713837,1.0,0.10334226489067078,0.24496200680732727,0.16178607940673828,0.25842633843421936,0.33647945523262024,0.1872408539056778,0.22474811971187592,0.30048277974128723,0.2288978099822998,-0.04462252929806709,0.15436998009681702,0.2043667882680893,0.2177114188671112,0.11685016006231308
college,0.19399894773960114,-0.03948391228914261,0.21170179545879364,-0.04632802680134773,0.46371275186538696,0.13427360355854034,0.19751401245594025,0.15971612930297852,0.2384195327758789,0.4935513734817505,0.24969933927059174,0.1464872807264328,0.32901453971862793,0.19399894773960114,-0.043674442917108536,0.09929764270782471,0.21170179545879364,0.20568516850471497,0.11076676845550537
reduced,0.21348319947719574,-0.2129809707403183,0.23179234564304352,-0.0023422823287546635,0.10334226489067078,1.0,0.2897622883319855,0.27535778284072876,0.30275818705558777,0.14854969084262848,0.2380734533071518,0.12877556681632996,0.06584619730710983,0.21348319947719574,-0.224661722779274,0.265264093875885,0.23179234564304352,0.11519023776054382,0.10234767943620682
the,0.40150508284568787,-0.2467794269323349,0.535392165184021,0.037273142486810684,0.24496200680732727,0.2897622883319855,1.0,0.35145696997642517,0.733189046382904,0.25268980860710144,0.29019618034362793,0.24914836883544922,0.2394402176141739,0.40150508284568787,-0.08136876672506332,0.21490740776062012,0.535392165184021,0.42745697498321533,0.22068053483963013
number,0.24833418428897858,-0.1441178172826767,0.2706126868724823,0.11849363148212433,0.16178607940673828,0.27535778284072876,0.35145696997642517,1.0,0.2778518795967102,0.18129347264766693,0.229764923453331,0.22220835089683533,0.17842917144298553,0.24833418428897858,-0.13394851982593536,0.2007298320531845,0.2706126868724823,0.23046229779720306,0.19256845116615295
of,0.4249346852302551,-0.21980851888656616,0.41548454761505127,0.017815761268138885,0.25842633843421936,0.30275818705558777,0.733189046382904,0.2778518795967102,1.0,0.25513339042663574,0.2474178522825241,0.23412929475307465,0.3069015145301819,0.4249346852302551,-0.06715171784162521,0.19953428208827972,0.41548454761505127,0.33290785551071167,0.1826142966747284
students,0.20272988080978394,-0.06762449443340302,0.2905822694301605,0.00047126912977546453,0.33647945523262024,0.14854969084262848,0.25268980860710144,0.18129347264766693,0.25513339042663574,1.0,0.3227683901786804,0.14358997344970703,0.3059040904045105,0.20272988080978394,0.049084652215242386,0.22348105907440186,0.2905822694301605,0.2380729615688324,0.18017297983169556
who,0.27839982509613037,-0.048497967422008514,0.42656609416007996,0.18423187732696533,0.12595784664154053,0.07765808701515198,0.3733934462070465,0.21304799616336823,0.2827862501144409,0.3510516881942749,0.2040281593799591,0.16089873015880585,0.22749601304531097,0.27839982509613037,0.08380109816789627,0.15813837945461273,0.42656609416007996,0.40942975878715515,0.26220351457595825
receive,0.2598268687725067,-0.12010154873132706,0.3372296690940857,-0.0030235194135457277,0.11547018587589264,0.21842919290065765,0.2726488411426544,0.16809892654418945,0.25992685556411743,0.26359930634498596,0.32190948724746704,0.1326313316822052,0.35065728425979614,0.2598268687725067,-0.12795774638652802,0.13639545440673828,0.3372296690940857,0.20392422378063202,0.1652119904756546
latin,0.2724078595638275,0.002545373747125268,0.18086881935596466,0.24244952201843262,0.22474811971187592,0.12877556681632996,0.24914836883544922,0.22220835089683533,0.23412929475307465,0.14358997344970703,0.13915817439556122,1.0,0.29391568899154663,0.2724078595638275,-0.06899340450763702,0.1406756341457367,0.18086881935596466,0.1759578436613083,0.1303461492061615
honors,0.23356004059314728,0.029934726655483246,0.1909472495317459,0.020186014473438263,0.30048277974128723,0.06584619730710983,0.2394402176141739,0.17842917144298553,0.3069015145301819,0.3059040904045105,0.35637328028678894,0.29391568899154663,0.9999999403953552,0.23356004059314728,-0.01716630533337593,0.12275572121143341,0.1909472495317459,0.08026453852653503,0.12692415714263916
from,1.0,-0.1585446298122406,0.4069952368736267,0.05479402095079422,0.2288978099822998,0.21348319947719574,0.40150508284568787,0.24833418428897858,0.4249346852302551,0.20272988080978394,0.2025626301765442,0.2724078595638275,0.23356004059314728,1.0,-0.1492273360490799,0.21054168045520782,0.4069952368736267,0.2737620174884796,0.19969791173934937
90,-0.1492273360490799,0.16908134520053864,-0.14633893966674805,0.15334215760231018,-0.04462252929806709,-0.224661722779274,-0.08136876672506332,-0.13394851982593536,-0.06715171784162521,0.049084652215242386,-0.054819680750370026,-0.06899340450763702,-0.01716630533337593,-0.1492273360490799,1.0000001192092896,-0.014750397764146328,-0.14633893966674805,-0.03224492445588112,-0.0034062080085277557
%,0.21054168045520782,-0.22789627313613892,0.18513022363185883,0.056141793727874756,0.15436998009681702,0.265264093875885,0.21490740776062012,0.2007298320531845,0.19953428208827972,0.22348105907440186,0.25632280111312866,0.1406756341457367,0.12275572121143341,0.21054168045520782,-0.014750397764146328,1.0,0.18513022363185883,0.20738190412521362,0.21441808342933655
in,0.4274188280105591,-0.20274123549461365,0.45010748505592346,0.009931974112987518,0.26072487235069275,0.2766173183917999,0.6662389636039734,0.3024539053440094,0.5696388483047485,0.2676171064376831,0.31669119000434875,0.18954341113567352,0.2028082311153412,0.4274188280105591,0.022158663719892502,0.19465309381484985,0.45010748505592346,0.30808621644973755,0.20430970191955566
2004,-0.1585446298122406,1.0000001192092896,-0.3218703269958496,0.3556932508945465,-0.04247364029288292,-0.2129809707403183,-0.2467794269323349,-0.1441178172826767,-0.21980851888656616,-0.06762449443340302,-0.036053214222192764,0.002545373747125268,0.029934726655483246,-0.1585446298122406,0.16908134520053864,-0.22789627313613892,-0.3218703269958496,-0.2636275589466095,-0.15923042595386505
to,0.4069952368736267,-0.3218703269958496,1.0,0.018235651776194572,0.2043667882680893,0.23179234564304352,0.535392165184021,0.2706126868724823,0.41548454761505127,0.2905822694301605,0.21145428717136383,0.18086881935596466,0.1909472495317459,0.4069952368736267,-0.14633893966674805,0.18513022363185883,1.0,0.455847829580307,0.29463258385658264
