,who,plotted,the,relationships,between,levels,of,income,and,inequality,?
plotting,0.28524288535118103,0.706344485282898,0.2938663363456726,0.2521326541900635,0.15853461623191833,0.21956698596477509,0.2975943088531494,0.17887423932552338,0.2702989876270294,0.2856168746948242,0.1968889683485031
the,0.3733934462070465,0.26552432775497437,1.0,0.21583695709705353,0.39067012071609497,0.286034494638443,0.733189046382904,0.23699946701526642,0.5171257257461548,0.23508106172084808,0.22068053483963013
relationship,0.2678191661834717,0.22997918725013733,0.21018025279045105,0.8787511587142944,0.3674123287200928,0.17959503829479218,0.22000651061534882,0.19258365035057068,0.3086830675601959,0.37350666522979736,0.11361731588840485
between,0.20718061923980713,0.17905855178833008,0.39067012071609497,0.35574862360954285,0.9999999403953552,0.22485210001468658,0.3737983703613281,0.22600169479846954,0.40645647048950195,0.29772037267684937,0.12887074053287506
level,0.14884896576404572,0.10255166888237,0.31442487239837646,0.21107572317123413,0.2342780977487564,0.7348478436470032,0.23504668474197388,0.24777935445308685,0.29463574290275574,0.24342113733291626,0.20528386533260345
of,0.2827862501144409,0.29090791940689087,0.733189046382904,0.25304844975471497,0.3737983703613281,0.23668165504932404,1.0,0.2581324577331543,0.5116966962814331,0.27910974621772766,0.1826142966747284
income,0.1852571815252304,0.12878252565860748,0.23699946701526642,0.22713367640972137,0.22600169479846954,0.209359273314476,0.2581324577331543,1.0,0.2518245577812195,0.46967795491218567,0.14935168623924255
and,0.41279885172843933,0.2582538425922394,0.5171257257461548,0.3358020782470703,0.40645647048950195,0.2956688106060028,0.5116966962814331,0.2518245577812195,1.0,0.2590520679950714,0.20544172823429108
inequality,0.1735192984342575,0.2470545619726181,0.23508106172084808,0.40229567885398865,0.29772037267684937,0.24878159165382385,0.27910974621772766,0.46967795491218567,0.2590520679950714,1.0000001192092896,0.23619021475315094
",",0.3365725874900818,0.28289085626602173,0.4933079481124878,0.23186442255973816,0.27714940905570984,0.2284579873085022,0.4946078956127167,0.19703416526317596,0.6633074283599854,0.21822890639305115,0.31091248989105225
kuznets,0.24293982982635498,0.21082793176174164,0.2102777063846588,0.1788788139820099,0.13342739641666412,0.14368857443332672,0.15314316749572754,0.1684095859527588,0.30466631054878235,0.14391092956066132,0.19523082673549652
saw,0.3193628191947937,0.2542175352573395,0.318278044462204,0.11248508840799332,0.18954798579216003,0.10358785837888718,0.28204935789108276,0.17830321192741394,0.2664891481399536,0.18336309492588043,0.14690998196601868
middle-income,0.20160366594791412,0.12703032791614532,0.31760281324386597,0.19414399564266205,0.2972182631492615,0.2563735544681549,0.3110443353652954,0.7941527962684631,0.2968585789203644,0.4300230145454407,0.2207205444574356
developing,0.21385733783245087,0.1225740909576416,0.3203009068965912,0.27000629901885986,0.22640743851661682,0.29169130325317383,0.27299609780311584,0.2856930196285248,0.294929563999176,0.2728531062602997,0.1301516592502594
economies,0.1547977775335312,0.1346805840730667,0.2587427496910095,0.3170303702354431,0.20378722250461578,0.27367812395095825,0.22326010465621948,0.43743231892585754,0.25161102414131165,0.42763370275497437,0.16836115717887878
level,0.14884896576404572,0.10255166888237,0.31442487239837646,0.21107572317123413,0.2342780977487564,0.7348478436470032,0.23504668474197388,0.24777935445308685,0.29463574290275574,0.24342113733291626,0.20528386533260345
