,what,is,kenya,'s,literacy,rate,?
the,0.42745697498321533,0.5823672413825989,0.21657514572143555,-0.01540423184633255,0.2540953457355499,0.24881242215633392,0.22068053483963013
country,0.22705033421516418,0.24409033358097076,0.2935680150985718,0.0747150406241417,0.2235850840806961,0.17364132404327393,0.12647280097007751
's,0.02692362666130066,0.02396530658006668,-0.02908705547451973,0.9999999403953552,0.09796527773141861,0.06070024520158768,-0.023395681753754616
literacy,0.18552760779857635,0.26296091079711914,0.16402122378349304,0.09796527773141861,1.0,0.4345092475414276,0.18642817437648773
level,0.27376922965049744,0.24803997576236725,0.09803242981433868,-0.0019135585753247142,0.3250039219856262,0.26853781938552856,0.20528386533260345
stands,0.16123995184898376,0.41062167286872864,0.15567417442798615,0.06334774941205978,0.21216340363025665,0.24163943529129028,0.10421594232320786
at,0.2838611304759979,0.25906258821487427,0.21434974670410156,-0.08481216430664062,0.16524595022201538,0.1911962926387787,0.21978627145290375
85,0.07409690320491791,-0.08075354993343353,0.0038867713883519173,-0.006590822245925665,0.03529896214604378,0.006591171026229858,0.09080518037080765
%,0.20738190412521362,0.18672586977481842,0.1800173968076706,0.031266406178474426,0.35009822249412537,0.330258846282959,0.21441808342933655
of,0.33290785551071167,0.4854315221309662,0.22226637601852417,-0.03817026689648628,0.2574460804462433,0.24132871627807617,0.1826142966747284
the,0.42745697498321533,0.5823672413825989,0.21657514572143555,-0.01540423184633255,0.2540953457355499,0.24881242215633392,0.22068053483963013
whole,0.38441845774650574,0.32541996240615845,0.08096224814653397,0.08568435162305832,0.18451859056949615,0.26422005891799927,0.21052291989326477
population,0.2000674307346344,0.2727566361427307,0.20777837932109833,0.012951160781085491,0.456197053194046,0.3664343059062958,0.14449454843997955
.,0.3567904531955719,0.4569662809371948,0.24234211444854736,-0.003708066651597619,0.22910204529762268,0.2418757975101471,0.4130953550338745
