,where,did,the,meuse,flow,before,the,flood,?
before,0.37386465072631836,0.33642593026161194,0.45900648832321167,0.13810652494430542,0.1296740174293518,1.0,0.45900648832321167,0.22301658987998962,0.2507109045982361
the,0.5003893971443176,0.34736719727516174,1.0,0.28249096870422363,0.314039409160614,0.45900648832321167,1.0,0.2599719166755676,0.22068053483963013
st.,0.21031931042671204,0.11965964734554291,0.18141359090805054,0.19845344126224518,0.09269032627344131,0.14868173003196716,0.18141359090805054,0.13204973936080933,0.13592876493930817
elizabeth,0.09990596771240234,0.19351956248283386,0.19892844557762146,0.07596897333860397,0.09181999415159225,0.1708080917596817,0.19892844557762146,0.1532786786556244,0.157150536775589
's,0.0007701900321990252,0.05069678649306297,-0.01540423184633255,0.036204323172569275,0.006226116791367531,-0.01158253662288189,-0.01540423184633255,0.04508885741233826,-0.023395681753754616
flood,0.18916630744934082,0.18059535324573517,0.2599719166755676,0.2012663632631302,0.4087772071361542,0.22301658987998962,0.2599719166755676,1.0000001192092896,0.2279077023267746
(,0.1970011591911316,0.18979617953300476,0.33289089798927307,0.21577869355678558,0.16461063921451569,0.2336025983095169,0.33289089798927307,0.19329702854156494,0.40561532974243164
1421,-0.056662242859601974,-0.1887500137090683,0.04676410183310509,0.2381410002708435,-0.10321863740682602,-0.09064307808876038,0.04676410183310509,-0.094045490026474,-0.17428839206695557
),0.20711064338684082,0.18584993481636047,0.3456730246543884,0.21203434467315674,0.1727922409772873,0.2639012038707733,0.3456730246543884,0.17958250641822815,0.42300865054130554
",",0.3149496018886566,0.3015086054801941,0.4933079481124878,0.21688565611839294,0.23027558624744415,0.3156566619873047,0.4933079481124878,0.2639766335487366,0.31091248989105225
the,0.5003893971443176,0.34736719727516174,1.0,0.28249096870422363,0.314039409160614,0.45900648832321167,1.0,0.2599719166755676,0.22068053483963013
meuse,0.1610404998064041,0.14388921856880188,0.28249096870422363,0.9999999403953552,0.2640683352947235,0.13810652494430542,0.28249096870422363,0.2012663632631302,0.21687322854995728
flowed,0.17716267704963684,0.17890195548534393,0.3597415089607239,0.2745228111743927,0.5794103145599365,0.2364434003829956,0.3597415089607239,0.37243786454200745,0.13853344321250916
just,0.4018353819847107,0.38283270597457886,0.40061673521995544,0.21334096789360046,0.22455118596553802,0.45359137654304504,0.40061673521995544,0.2925576865673065,0.4144178032875061
south,0.2539864182472229,0.1510593444108963,0.3129390776157379,0.2827702462673187,0.22286836802959442,0.16482415795326233,0.3129390776157379,0.21829523146152496,0.12336621433496475
of,0.38066378235816956,0.2513895630836487,0.733189046382904,0.20204558968544006,0.2407451719045639,0.3282964527606964,0.733189046382904,0.22012197971343994,0.1826142966747284
today,0.27820688486099243,0.30291810631752014,0.35740926861763,0.12816621363162994,0.12873166799545288,0.2673083245754242,0.35740926861763,0.1634962111711502,0.17338968813419342
's,0.0007701900321990252,0.05069678649306297,-0.01540423184633255,0.036204323172569275,0.006226116791367531,-0.01158253662288189,-0.01540423184633255,0.04508885741233826,-0.023395681753754616
line,0.22999835014343262,0.14681050181388855,0.29789501428604126,0.26629650592803955,0.16816608607769012,0.1628168523311615,0.29789501428604126,0.1417490690946579,0.16271452605724335
merwede-oude,0.15356025099754333,0.13561832904815674,0.24134695529937744,0.5335342884063721,0.2035025656223297,0.17793454229831696,0.24134695529937744,0.1901254653930664,0.16854119300842285
maas,0.12303487211465836,0.15728236734867096,0.1690772920846939,0.5680901408195496,0.20924462378025055,0.14798955619335175,0.1690772920846939,0.2121351808309555,0.1508096158504486
to,0.47735077142715454,0.4452643394470215,0.535392165184021,0.17968733608722687,0.27439337968826294,0.4190867841243744,0.535392165184021,0.2131204903125763,0.29463258385658264
the,0.5003893971443176,0.34736719727516174,1.0,0.28249096870422363,0.314039409160614,0.45900648832321167,1.0,0.2599719166755676,0.22068053483963013
north,0.23586879670619965,0.16732536256313324,0.36298373341560364,0.3197983205318451,0.23647426068782806,0.19651111960411072,0.36298373341560364,0.21283888816833496,0.11829731613397598
sea,0.18630823493003845,0.1665116548538208,0.30363768339157104,0.2636064291000366,0.25986477732658386,0.13515979051589966,0.30363768339157104,0.2606792747974396,0.15551945567131042
and,0.43859338760375977,0.34479495882987976,0.5171257257461548,0.19935591518878937,0.2773895561695099,0.3518902659416199,0.5171257257461548,0.19103416800498962,0.20544172823429108
formed,0.1854202151298523,0.17168700695037842,0.28813210129737854,0.19899822771549225,0.22546514868736267,0.2467164248228073,0.28813210129737854,0.16137485206127167,0.09686966985464096
an,0.24824833869934082,0.22598257660865784,0.4207492768764496,0.10567357391119003,0.1481524556875229,0.2804223895072937,0.4207492768764496,0.17761492729187012,0.19793890416622162
archipelago-like,0.23623070120811462,0.13333700597286224,0.30338016152381897,0.22942385077476501,0.21304653584957123,0.11927708983421326,0.30338016152381897,0.21304845809936523,0.1324818879365921
estuary,0.2471051663160324,0.09577276557683945,0.32509705424308777,0.42840638756752014,0.3960949182510376,0.13337008655071259,0.32509705424308777,0.28302425146102905,0.17284251749515533
with,0.4142743945121765,0.25472134351730347,0.4223487675189972,0.1673470437526703,0.08951380848884583,0.32654517889022827,0.4223487675189972,0.11970382183790207,0.2433311939239502
waal,0.20421674847602844,0.12280487269163132,0.14903073012828827,0.45813530683517456,0.22669056057929993,0.12233977019786835,0.14903073012828827,0.18850372731685638,0.11904393881559372
and,0.43859338760375977,0.34479495882987976,0.5171257257461548,0.19935591518878937,0.2773895561695099,0.3518902659416199,0.5171257257461548,0.19103416800498962,0.20544172823429108
lek,0.09128709882497787,0.1293519288301468,0.17809559404850006,0.25181058049201965,0.13630320131778717,0.1903446912765503,0.17809559404850006,0.14071126282215118,0.12949015200138092
.,0.41390106081962585,0.35288307070732117,0.5934505462646484,0.23117180168628693,0.191733717918396,0.36693984270095825,0.5934505462646484,0.23594464361667633,0.4130953550338745
