,what,did,the,ominde,commission,do,?
the,0.42745697498321533,0.34736719727516174,1.0,0.2792088985443115,0.24418850243091583,0.30239659547805786,0.22068053483963013
commission,0.22273972630500793,0.18697425723075867,0.24418850243091583,0.12024460732936859,0.9999998807907104,0.13298019766807556,0.16231559216976166
focused,0.2724583148956299,0.2558048367500305,0.2969476580619812,0.0938846543431282,0.2310088872909546,0.26528337597846985,0.1578395515680313
on,0.34226128458976746,0.2670976221561432,0.5107308030128479,0.1676177978515625,0.19109804928302765,0.3025321364402771,0.2714994251728058
identity,0.24968291819095612,0.17384132742881775,0.22824928164482117,0.16454561054706573,0.13250474631786346,0.1890399307012558,0.1520950198173523
and,0.31309178471565247,0.34479495882987976,0.5171257257461548,0.2649417221546173,0.21015366911888123,0.276123583316803,0.20544172823429108
unity,0.24233078956604004,0.1277768462896347,0.2460627406835556,0.2601773738861084,0.2718890607357025,0.08481069654226303,0.16156218945980072
",",0.3087472915649414,0.3015086054801941,0.4933079481124878,0.35074591636657715,0.19528092443943024,0.3283645510673523,0.31091248989105225
which,0.5261979103088379,0.2750149369239807,0.6521818041801453,0.21397362649440765,0.25648555159568787,0.31153854727745056,0.25814583897590637
were,0.22298263013362885,0.4162326455116272,0.3906462490558624,0.10282253473997116,0.1886938214302063,0.23274902999401093,0.17890112102031708
critical,0.3103362023830414,0.26059970259666443,0.25937238335609436,0.14169882237911224,0.19330281019210815,0.17903640866279602,0.2388133704662323
issues,0.33279702067375183,0.22840259969234467,0.2638932764530182,0.19368226826190948,0.2130601704120636,0.25844764709472656,0.320565789937973
at,0.2838611304759979,0.28390252590179443,0.457212895154953,0.1523158699274063,0.1871871054172516,0.1511090099811554,0.21978627145290375
the,0.42745697498321533,0.34736719727516174,1.0,0.2792088985443115,0.24418850243091583,0.30239659547805786,0.22068053483963013
time,0.36319252848625183,0.3567926585674286,0.43061500787734985,0.14572681486606598,0.1336650550365448,0.27283716201782227,0.27391523122787476
.,0.3567904531955719,0.35288307070732117,0.5934505462646484,0.32345226407051086,0.20309296250343323,0.3613996207714081,0.4130953550338745
