,how,many,times,more,did,the,other,nations,have,to,pay,for,oil,after,the,surprise,attack,?
let,0.3699781894683838,0.24492870271205902,0.1501656472682953,0.2955830991268158,0.4364680051803589,0.2692858874797821,0.2527533173561096,0.12929604947566986,0.35627326369285583,0.4338173568248749,0.2523311674594879,0.28541097044944763,0.1490565538406372,0.23668362200260162,0.2692858874797821,0.2791873514652252,0.16234329342842102,0.36716893315315247
's,-0.026164190843701363,0.01698932610452175,-0.048017483204603195,0.032942235469818115,0.05069678649306297,-0.01540423184633255,0.04445967823266983,0.03843874856829643,-0.02807004563510418,0.03782717138528824,0.11794386804103851,-0.07241261005401611,-0.08246297389268875,-0.055672239512205124,-0.01540423184633255,0.025905326008796692,-0.03803832456469536,-0.023395681753754616
say,0.4854888916015625,0.3609641194343567,0.2980523705482483,0.32145190238952637,0.40743184089660645,0.3200206458568573,0.3273765444755554,0.2055026888847351,0.517315149307251,0.38071900606155396,0.3045462369918823,0.2911834120750427,0.1295187622308731,0.26476210355758667,0.3200206458568573,0.30606165528297424,0.12388928234577179,0.4357808530330658
ten,0.26821833848953247,0.340677946805954,0.2359192818403244,0.3345702886581421,0.22550487518310547,0.3256247341632843,0.22313447296619415,0.16645747423171997,0.28732630610466003,0.2618066668510437,0.21001200377941132,0.25671905279159546,0.06054232642054558,0.3080919086933136,0.3256247341632843,0.0815197303891182,0.09316609054803848,0.14471080899238586
times,0.2685738503932953,0.303416907787323,1.0,0.2888355851173401,0.23068773746490479,0.29093852639198303,0.28404101729393005,0.21780654788017273,0.3492240011692047,0.32875269651412964,0.13860757648944855,0.2999500632286072,0.07950559258460999,0.2534739375114441,0.29093852639198303,0.22062914073467255,0.20699919760227203,0.18880689144134521
more,0.4319567084312439,0.48608261346817017,0.2888355851173401,1.0,0.2803135812282562,0.39758381247520447,0.49628373980522156,0.20731844007968903,0.49033403396606445,0.47084665298461914,0.2310299277305603,0.3891189992427826,0.18158936500549316,0.2585527002811432,0.39758381247520447,0.25538766384124756,0.2208273708820343,0.27894994616508484
.,0.3287222981452942,0.3974229395389557,0.2891986668109894,0.4070230722427368,0.35288307070732117,0.5934505462646484,0.41511186957359314,0.2933122515678406,0.41614407300949097,0.4645031690597534,0.17372290790081024,0.4726039469242096,0.22117017209529877,0.35870397090911865,0.5934505462646484,0.26506519317626953,0.3003302216529846,0.4130953550338745
'',-0.0029843549709767103,-0.016843097284436226,-0.032459624111652374,0.006126302294433117,0.01978493109345436,0.041273195296525955,0.021007593721151352,-0.07258028537034988,0.0312618687748909,-0.009905828163027763,0.061709046363830566,-0.04479556903243065,0.12877920269966125,-0.08605624735355377,0.041273195296525955,-0.02861078828573227,-0.0658644437789917,0.018684765323996544
,how,many,times,more,did,the,other,nations,have,to,pay,for,oil,after,the,surprise,attack,?
you,0.5127037167549133,0.31305816769599915,0.21554499864578247,0.3788650929927826,0.35957613587379456,0.30037742853164673,0.3380245268344879,0.19475243985652924,0.4360072612762451,0.4194425344467163,0.2260168045759201,0.31656414270401,0.14675898849964142,0.21818241477012634,0.30037742853164673,0.3096274435520172,0.16987565159797668,0.5839095711708069
