,of,what,length,are,engine,cycle,events,when,the,simplest,valve,gears,are,used,?
the,0.733189046382904,0.42745697498321533,0.26581600308418274,0.40399202704429626,0.21651263535022736,0.2701641917228699,0.3102840185165405,0.5091903209686279,1.0,0.29262542724609375,0.22700907289981842,0.3416728973388672,0.40399202704429626,0.3718377649784088,0.22068053483963013
simplest,0.2877739369869232,0.3681354820728302,0.2762640416622162,0.3729933500289917,0.22051329910755157,0.2810198664665222,0.10141438245773315,0.28866028785705566,0.29262542724609375,1.0000001192092896,0.20488160848617554,0.3136789798736572,0.3729933500289917,0.3983740210533142,0.3028930425643921
valve,0.18834803998470306,0.20161333680152893,0.13938173651695251,0.19338180124759674,0.42488303780555725,0.21358990669250488,0.11859120428562164,0.2118830382823944,0.22700907289981842,0.20488160848617554,1.0000001192092896,0.44257956743240356,0.19338180124759674,0.19664853811264038,0.19203683733940125
gears,0.25037881731987,0.2059195190668106,0.20974242687225342,0.27686628699302673,0.4806741774082184,0.23223114013671875,0.23825304210186005,0.24575956165790558,0.3416728973388672,0.3136789798736572,0.44257956743240356,0.9999998807907104,0.27686628699302673,0.31056448817253113,0.14055021107196808
give,0.33489471673965454,0.32935357093811035,0.19102855026721954,0.2951275110244751,0.13565276563167572,0.12884175777435303,0.10733523219823837,0.3518797755241394,0.29086416959762573,0.27143505215644836,0.17137473821640015,0.21494930982589722,0.2951275110244751,0.2823134660720825,0.2985610067844391
events,0.20782610774040222,0.269866019487381,0.08337204158306122,0.21850600838661194,0.08041655272245407,0.2081032544374466,1.0000001192092896,0.22676362097263336,0.3102840185165405,0.10141438245773315,0.11859120428562164,0.23825304210186005,0.21850600838661194,0.19435212016105652,0.09835197776556015
of,1.0,0.33290785551071167,0.22847424447536469,0.39081433415412903,0.17095594108104706,0.255176842212677,0.20782610774040222,0.3757161796092987,0.733189046382904,0.2877739369869232,0.18834803998470306,0.25037881731987,0.39081433415412903,0.3075267970561981,0.1826142966747284
fixed,0.1495256870985031,0.255135715007782,0.26356250047683716,0.2600231468677521,0.15286828577518463,0.0709691271185875,0.1651575118303299,0.29926884174346924,0.27127328515052795,0.3774082362651825,0.17723777890205383,0.2906332314014435,0.2600231468677521,0.2874150276184082,0.2728462815284729
length,0.22847424447536469,0.20598092675209045,1.0,0.22141627967357635,0.16415059566497803,0.13910594582557678,0.08337204158306122,0.1391945332288742,0.26581600308418274,0.2762640416622162,0.13938173651695251,0.20974242687225342,0.22141627967357635,0.2447652667760849,0.16668567061424255
during,0.3869180977344513,0.24137552082538605,0.1665305197238922,0.2297976016998291,0.15739808976650238,0.2853600084781647,0.36010199785232544,0.46721696853637695,0.4838213622570038,0.14194922149181366,0.15502268075942993,0.23143289983272552,0.2297976016998291,0.2677379846572876,0.1325719803571701
the,0.733189046382904,0.42745697498321533,0.26581600308418274,0.40399202704429626,0.21651263535022736,0.2701641917228699,0.3102840185165405,0.5091903209686279,1.0,0.29262542724609375,0.22700907289981842,0.3416728973388672,0.40399202704429626,0.3718377649784088,0.22068053483963013
