,debates,about,civil,disobedience,include,or,exclude,what,major,practice,?
black,0.14943377673625946,0.19304651021957397,0.12861737608909607,0.12741711735725403,0.13864131271839142,0.2541639804840088,0.1137741208076477,0.12054000794887543,0.10245266556739807,0.12216601520776749,0.15159966051578522
's,-0.015364437364041805,-0.020936643704771996,-0.06354409456253052,0.027719656005501747,-0.07849370688199997,0.06871571391820908,-0.04539767652750015,0.02692362666130066,-0.010959804058074951,0.06984969228506088,-0.023395681753754616
law,0.23707816004753113,0.16579607129096985,0.31305259466171265,0.3980846405029297,0.1344868391752243,0.19038471579551697,0.23836161196231842,0.2145031988620758,0.08499976992607117,0.3961793780326843,0.1528988480567932
dictionary,0.311876118183136,0.19694852828979492,0.15444257855415344,0.21349599957466125,0.1621505469083786,0.15257376432418823,0.19359353184700012,0.2296953797340393,0.10011458396911621,0.20425555109977722,0.229842871427536
includes,0.16867776215076447,0.33017870783805847,0.0961572527885437,0.13169167935848236,0.6689316630363464,0.3452123999595642,0.3607909083366394,0.17138352990150452,0.23572349548339844,0.1962895542383194,0.14011523127555847
non-violence,0.3262282907962799,0.25920116901397705,0.2934845983982086,0.5520256161689758,0.19950023293495178,0.29194703698158264,0.2569253146648407,0.2920989394187927,0.1874506175518036,0.34211114048957825,0.24621649086475372
in,0.23210375010967255,0.39797019958496094,0.26466667652130127,0.3054615259170532,0.28694382309913635,0.3586423695087433,0.20712557435035706,0.30808621644973755,0.3249945342540741,0.24572531878948212,0.20430970191955566
its,0.2306860089302063,0.3361809253692627,0.15427452325820923,0.15781542658805847,0.18682555854320526,0.30017510056495667,0.11554873734712601,0.30393704771995544,0.24033352732658386,0.15889233350753784,0.15103481709957123
definition,0.361965149641037,0.26378321647644043,0.11440393328666687,0.20017720758914948,0.2089603990316391,0.3065267503261566,0.3004636764526367,0.330344021320343,0.12057554721832275,0.29407158493995667,0.2796523869037628
of,0.2293700873851776,0.40939709544181824,0.24698495864868164,0.31932318210601807,0.37431180477142334,0.3792596757411957,0.20990091562271118,0.33290785551071167,0.2641255557537079,0.2597380578517914,0.1826142966747284
civil,0.268066942691803,0.1744583249092102,1.0,0.5442691445350647,0.09042375534772873,0.12588919699192047,0.17774708569049835,0.15091551840305328,0.17556457221508026,0.2324874848127365,0.1494513899087906
disobedience,0.3380615711212158,0.20206157863140106,0.5442691445350647,1.0,0.1436312347650528,0.2553665041923523,0.2754392921924591,0.3298627436161041,0.13064640760421753,0.4112858176231384,0.19890835881233215
.,0.2395041137933731,0.42038556933403015,0.2541380822658539,0.2603943943977356,0.21809983253479004,0.36683785915374756,0.17561861872673035,0.3567904531955719,0.3054012954235077,0.2513175904750824,0.4130953550338745
,debates,about,civil,disobedience,include,or,exclude,what,major,practice,?
there,0.3116768002510071,0.463201105594635,0.2768925428390503,0.23306922614574432,0.33553990721702576,0.4594070315361023,0.28952738642692566,0.35085538029670715,0.27976733446121216,0.24923622608184814,0.29405656456947327
have,0.30218634009361267,0.3940475583076477,0.16153892874717712,0.22560594975948334,0.4281085729598999,0.46389055252075195,0.3174181580543518,0.39808809757232666,0.2512233257293701,0.2906533181667328,0.32991164922714233
been,0.32080790400505066,0.2887439727783203,0.16754008829593658,0.20087917149066925,0.24614082276821136,0.32461076974868774,0.19523440301418304,0.2567804455757141,0.20505735278129578,0.2419406622648239,0.24354910850524902
debates,1.0000001192092896,0.3180665969848633,0.268066942691803,0.3380615711212158,0.15799765288829803,0.1841897815465927,0.24774017930030823,0.2959657907485962,0.1959342509508133,0.34124553203582764,0.23877738416194916
as,0.2341407835483551,0.2989700436592102,0.18100082874298096,0.25773370265960693,0.3469957113265991,0.4400654137134552,0.2074119597673416,0.31749409437179565,0.20393970608711243,0.22643209993839264,0.27043893933296204
to,0.2710517346858978,0.391953706741333,0.2019355595111847,0.30665844678878784,0.1820748895406723,0.38921234011650085,0.29279854893684387,0.455847829580307,0.19240309298038483,0.289366751909256,0.29463258385658264
whether,0.3903449773788452,0.36262741684913635,0.11485010385513306,0.2514246106147766,0.1714242398738861,0.4563177227973938,0.3011871874332428,0.5516265630722046,0.08898329734802246,0.2801273465156555,0.3150278329849243
civil,0.268066942691803,0.1744583249092102,1.0,0.5442691445350647,0.09042375534772873,0.12588919699192047,0.17774708569049835,0.15091551840305328,0.17556457221508026,0.2324874848127365,0.1494513899087906
disobedience,0.3380615711212158,0.20206157863140106,0.5442691445350647,1.0,0.1436312347650528,0.2553665041923523,0.2754392921924591,0.3298627436161041,0.13064640760421753,0.4112858176231384,0.19890835881233215
must,0.20761695504188538,0.2105952650308609,0.12366364151239395,0.2450776845216751,0.14696872234344482,0.43512776494026184,0.2391756772994995,0.30362528562545776,0.09859469532966614,0.2852766215801239,0.23707495629787445
necessarily,0.2599743604660034,0.24451535940170288,0.09858056157827377,0.26579535007476807,0.2476443350315094,0.41043195128440857,0.34751972556114197,0.4277169704437256,0.17502528429031372,0.2936594784259796,0.32468926906585693
be,0.2708921730518341,0.26362910866737366,0.18061059713363647,0.2944406270980835,0.29535481333732605,0.5260903835296631,0.32240626215934753,0.3929833769798279,0.1488431692123413,0.2743644714355469,0.3324260413646698
non-violent,0.25307464599609375,0.2167816162109375,0.28569117188453674,0.48103633522987366,0.18418368697166443,0.3147503137588501,0.2080390900373459,0.25295090675354004,0.2097323089838028,0.24606283009052277,0.21288378536701202
.,0.2395041137933731,0.42038556933403015,0.2541380822658539,0.2603943943977356,0.21809983253479004,0.36683785915374756,0.17561861872673035,0.3567904531955719,0.3054012954235077,0.2513175904750824,0.4130953550338745
,debates,about,civil,disobedience,include,or,exclude,what,major,practice,?
