,under,what,condition,is,an,element,irreducible,?
an,0.16416478157043457,0.2821882665157318,0.20676080882549286,0.4654068350791931,1.0,0.27289018034935,0.2733667492866516,0.19793890416622162
element,0.1731051802635193,0.24694041907787323,0.2659977972507477,0.3385811448097229,0.27289018034935,1.0,0.3943520486354828,0.18393386900424957
is,0.21294879913330078,0.28837618231773376,0.2536831796169281,1.0,0.4654068350791931,0.3385811448097229,0.27012529969215393,0.22961433231830597
irreducible,0.13560862839221954,0.29041287302970886,0.2817709147930145,0.27012529969215393,0.2733667492866516,0.3943520486354828,1.0,0.15337900817394257
if,0.22169512510299683,0.5277165174484253,0.38890427350997925,0.30927813053131104,0.26347705721855164,0.3099535405635834,0.27554696798324585,0.4441644251346588
it,0.21007636189460754,0.45803478360176086,0.2717374861240387,0.6328473687171936,0.39472338557243347,0.29076260328292847,0.251407653093338,0.25732165575027466
is,0.21294879913330078,0.28837618231773376,0.2536831796169281,1.0,0.4654068350791931,0.3385811448097229,0.27012529969215393,0.22961433231830597
not,0.21131709218025208,0.5449194312095642,0.3942917287349701,0.3776007890701294,0.3722182512283325,0.25042957067489624,0.33610039949417114,0.41942933201789856
a,0.18317826092243195,0.3320399522781372,0.28835010528564453,0.658733606338501,0.44552403688430786,0.3271445333957672,0.2620483338832855,0.23916715383529663
unit,0.16886112093925476,0.175853431224823,0.12954652309417725,0.1913307011127472,0.1805073320865631,0.27981260418891907,0.1732463389635086,0.09069886058568954
and,0.3005301356315613,0.31309178471565247,0.21314062178134918,0.3859752118587494,0.2838519215583801,0.16833719611167908,0.32116732001304626,0.20544172823429108
can,0.12717050313949585,0.34502777457237244,0.2928265333175659,0.44256699085235596,0.23671309649944305,0.28067541122436523,0.3135114908218384,0.3226337134838104
not,0.21131709218025208,0.5449194312095642,0.3942917287349701,0.3776007890701294,0.3722182512283325,0.25042957067489624,0.33610039949417114,0.41942933201789856
be,0.23514987528324127,0.3929833769798279,0.33627527952194214,0.4819129705429077,0.33041056990623474,0.25885871052742004,0.3463298976421356,0.3324260413646698
written,0.1799977719783783,0.25412634015083313,0.12048507481813431,0.2634589672088623,0.19025956094264984,0.19551506638526917,0.32401561737060547,0.21451954543590546
as,0.29018887877464294,0.31749409437179565,0.26620447635650635,0.43216490745544434,0.37218472361564636,0.24363625049591064,0.3229036331176758,0.27043893933296204
a,0.18317826092243195,0.3320399522781372,0.28835010528564453,0.658733606338501,0.44552403688430786,0.3271445333957672,0.2620483338832855,0.23916715383529663
product,0.1522216498851776,0.2465333193540573,0.26706236600875854,0.2903512120246887,0.24065615236759186,0.3150767982006073,0.34170714020729065,0.19651241600513458
of,0.32766106724739075,0.33290785551071167,0.20755170285701752,0.4854315221309662,0.32280945777893066,0.21102571487426758,0.32611215114593506,0.1826142966747284
two,0.17014911770820618,0.23363454639911652,0.2074899524450302,0.2315155267715454,0.1867314726114273,0.1342625916004181,0.22168473899364471,0.19645625352859497
ring,0.2661980092525482,0.19784773886203766,0.17590489983558655,0.18238547444343567,0.15591934323310852,0.2162398099899292,0.1521947830915451,0.054174330085515976
elements,0.1487453430891037,0.2152351289987564,0.17863231897354126,0.25405067205429077,0.24525977671146393,0.8280320763587952,0.38345375657081604,0.15222592651844025
that,0.26447200775146484,0.6297725439071655,0.3550138473510742,0.3995479643344879,0.365763783454895,0.29008960723876953,0.38071027398109436,0.32716336846351624
are,0.2196284979581833,0.29724663496017456,0.24499687552452087,0.5330929756164551,0.1556541919708252,0.18915845453739166,0.29845893383026123,0.24591213464736938
not,0.21131709218025208,0.5449194312095642,0.3942917287349701,0.3776007890701294,0.3722182512283325,0.25042957067489624,0.33610039949417114,0.41942933201789856
units,0.18443112075328827,0.1804584264755249,0.16332471370697021,0.18204201757907867,0.18479233980178833,0.22408424317836761,0.2197018265724182,0.089388407766819
.,0.2901604175567627,0.3567904531955719,0.17553938925266266,0.4569662809371948,0.3581749200820923,0.24230757355690002,0.23501865565776825,0.4130953550338745
