,what,is,the,main,executive,body,of,the,eu,?
the,0.42745697498321533,0.5823672413825989,1.0,0.38631999492645264,0.2402946650981903,0.31682634353637695,0.733189046382904,1.0,0.14126400649547577,0.22068053483963013
european,0.15324164927005768,0.16083641350269318,0.3423081040382385,0.11931241303682327,0.19237740337848663,0.15357226133346558,0.2507138252258301,0.3423081040382385,0.46552222967147827,0.14560863375663757
commission,0.22273972630500793,0.19761666655540466,0.24418850243091583,0.058324556797742844,0.3540184199810028,0.17369301617145538,0.2698368728160858,0.24418850243091583,0.2521185874938965,0.16231559216976166
is,0.28837618231773376,1.0,0.5823672413825989,0.3009335994720459,0.18661944568157196,0.2790417969226837,0.4854315221309662,0.5823672413825989,0.12234814465045929,0.22961433231830597
the,0.42745697498321533,0.5823672413825989,1.0,0.38631999492645264,0.2402946650981903,0.31682634353637695,0.733189046382904,1.0,0.14126400649547577,0.22068053483963013
main,0.2344268560409546,0.3009335994720459,0.38631999492645264,1.0000001192092896,0.19258420169353485,0.15962408483028412,0.3177044689655304,0.38631999492645264,0.06729336082935333,0.1665669083595276
executive,0.13765592873096466,0.18661944568157196,0.2402946650981903,0.19258420169353485,1.0,0.23831263184547424,0.23221425712108612,0.2402946650981903,0.12465982139110565,0.12134998291730881
body,0.2143840193748474,0.2790417969226837,0.31682634353637695,0.15962408483028412,0.23831263184547424,1.0,0.25063133239746094,0.31682634353637695,0.07676316052675247,0.20136451721191406
of,0.33290785551071167,0.4854315221309662,0.733189046382904,0.3177044689655304,0.23221425712108612,0.25063133239746094,1.0,0.733189046382904,0.1579294353723526,0.1826142966747284
the,0.42745697498321533,0.5823672413825989,1.0,0.38631999492645264,0.2402946650981903,0.31682634353637695,0.733189046382904,1.0,0.14126400649547577,0.22068053483963013
european,0.15324164927005768,0.16083641350269318,0.3423081040382385,0.11931241303682327,0.19237740337848663,0.15357226133346558,0.2507138252258301,0.3423081040382385,0.46552222967147827,0.14560863375663757
union,0.1396910548210144,0.16997112333774567,0.24421639740467072,0.12240706384181976,0.1714239865541458,0.16131378710269928,0.2642118036746979,0.24421639740467072,0.3292396068572998,0.07797172665596008
.,0.3567904531955719,0.4569662809371948,0.5934505462646484,0.31122034788131714,0.2051832377910614,0.29751062393188477,0.5352458953857422,0.5934505462646484,0.1552242487668991,0.4130953550338745
