,what,tool,is,used,in,corporal,punishment,?
corporal,0.148063525557518,0.1045808419585228,0.13202491402626038,0.1742590367794037,0.15530824661254883,1.0,0.34936437010765076,0.1554132103919983
punishment,0.31300443410873413,0.20695167779922485,0.22508563101291656,0.19342991709709167,0.19258901476860046,0.34936437010765076,1.0000001192092896,0.23842233419418335
in,0.30808621644973755,0.1136970967054367,0.5394441485404968,0.3090210556983948,1.0,0.15530824661254883,0.19258901476860046,0.20430970191955566
american,0.1909721940755844,0.1448362171649933,0.1853146106004715,0.20135274529457092,0.22871561348438263,0.24528145790100098,0.1350504755973816,0.18877598643302917
schools,0.1820785105228424,0.11575411260128021,0.2022145688533783,0.2245682328939438,0.2632134258747101,0.21419920027256012,0.18592701852321625,0.18349280953407288
is,0.28837618231773376,0.2158731371164322,1.0,0.3288823366165161,0.5394441485404968,0.13202491402626038,0.22508563101291656,0.22961433231830597
administered,0.22505685687065125,0.13566750288009644,0.23213163018226624,0.2062803953886032,0.22899143397808075,0.2545698285102844,0.23029398918151855,0.11263694614171982
to,0.455847829580307,0.2641676962375641,0.42745086550712585,0.40058770775794983,0.45010748505592346,0.15775661170482635,0.208286851644516,0.29463258385658264
the,0.42745697498321533,0.20790323615074158,0.5823672413825989,0.3718377649784088,0.6662389636039734,0.22063873708248138,0.2503047287464142,0.22068053483963013
seat,0.1103479340672493,0.10685171186923981,0.22830115258693695,0.11521618813276291,0.2778983414173126,0.1421782225370407,0.1466381847858429,0.06630133837461472
of,0.33290785551071167,0.15587300062179565,0.4854315221309662,0.3075267970561981,0.5696388483047485,0.18547691404819489,0.2056395560503006,0.1826142966747284
the,0.42745697498321533,0.20790323615074158,0.5823672413825989,0.3718377649784088,0.6662389636039734,0.22063873708248138,0.2503047287464142,0.22068053483963013
student,0.20548318326473236,0.17987996339797974,0.18911804258823395,0.09812527894973755,0.254856139421463,0.1457492709159851,0.14649443328380585,0.13282090425491333
's,0.02692362666130066,-0.06664860248565674,0.02396530658006668,0.00600846204906702,-0.037580832839012146,-0.004787743557244539,0.0910848006606102,-0.023395681753754616
trousers,0.21677565574645996,0.2420208752155304,0.19745194911956787,0.31686291098594666,0.18112754821777344,0.2395661175251007,0.22767987847328186,0.23277689516544342
or,0.33867141604423523,0.2648842930793762,0.41870999336242676,0.4951852560043335,0.3586423695087433,0.1871897280216217,0.23232755064964294,0.32389625906944275
skirt,0.1937675029039383,0.20514783263206482,0.1873994767665863,0.22054420411586761,0.1817941516637802,0.17373764514923096,0.1383439004421234,0.20226065814495087
with,0.2464839518070221,0.19575364887714386,0.3250955045223236,0.3047430217266083,0.4080928862094879,0.16235022246837616,0.14433805644512177,0.2433311939239502
a,0.3320399522781372,0.2943565547466278,0.658733606338501,0.3864384889602661,0.539380669593811,0.1676696091890335,0.1934642344713211,0.23916715383529663
specially,0.27000024914741516,0.2785978317260742,0.34006112813949585,0.45503562688827515,0.29778292775154114,0.2184767723083496,0.17792899906635284,0.22324217855930328
made,0.23419176042079926,0.18964599072933197,0.29543453454971313,0.3574022352695465,0.25271502137184143,0.16195142269134521,0.14667090773582458,0.17218779027462006
wooden,0.12957575917243958,0.32158759236335754,0.20125967264175415,0.32941576838493347,0.21606716513633728,0.11970918625593185,0.20025156438350677,0.12241970747709274
paddle,0.14935068786144257,0.28048256039619446,0.19695113599300385,0.22910158336162567,0.13439373672008514,0.23332981765270233,0.1097741350531578,0.0952267274260521
.,0.3567904531955719,0.22040632367134094,0.4569662809371948,0.33111312985420227,0.5591574311256409,0.23281329870224,0.24320337176322937,0.4130953550338745
