,what,year,was,the,song,fog,on,the,tyne,released,?
their,0.35142919421195984,0.20591455698013306,0.2396296262741089,0.516537070274353,0.18977177143096924,0.1096653938293457,0.3598666191101074,0.516537070274353,0.16248610615730286,0.22952531278133392,0.1898253709077835
most,0.3219912350177765,0.26422736048698425,0.29933857917785645,0.47635307908058167,0.20420709252357483,0.15116262435913086,0.28303956985473633,0.47635307908058167,0.15832409262657166,0.1500844806432724,0.2107497900724411
famous,0.1616666167974472,0.16879500448703766,0.31606587767601013,0.28616565465927124,0.2521541714668274,0.0838157907128334,0.18182522058486938,0.28616565465927124,0.14563001692295074,0.17056255042552948,0.10379006713628769
song,0.21011823415756226,0.25422924757003784,0.2529676854610443,0.300855815410614,1.0000001192092896,0.12034090608358383,0.23775604367256165,0.300855815410614,0.1268242746591568,0.44778215885162354,0.20782215893268585
",",0.3087472915649414,0.28560417890548706,0.45456063747406006,0.4933079481124878,0.24119161069393158,0.23327599465847015,0.49057599902153015,0.4933079481124878,0.235897496342659,0.2775750756263733,0.31091248989105225
``,0.008517155423760414,0.050706423819065094,-0.012679691426455975,0.029072100296616554,-0.009448634460568428,-0.09811773896217346,-0.03274054825305939,0.029072100296616554,-0.05305450037121773,-0.0885908380150795,0.0685480609536171
fog,0.17253157496452332,0.13134609162807465,0.1303584724664688,0.21301807463169098,0.12034090608358383,1.0,0.27005305886268616,0.21301807463169098,0.223869189620018,0.12714849412441254,0.1175224781036377
on,0.34226128458976746,0.27628999948501587,0.3909217119216919,0.5107308030128479,0.23775604367256165,0.27005305886268616,0.9999999403953552,0.5107308030128479,0.2182735949754715,0.31313204765319824,0.2714994251728058
the,0.42745697498321533,0.3609684407711029,0.48711544275283813,1.0,0.300855815410614,0.21301807463169098,0.5107308030128479,1.0,0.23053501546382904,0.24578391015529633,0.22068053483963013
tyne,0.14296641945838928,0.08093351125717163,0.2610088884830475,0.23053501546382904,0.1268242746591568,0.223869189620018,0.2182735949754715,0.23053501546382904,1.0,0.18861907720565796,0.07377036660909653
'',0.08143015950918198,-0.01924106478691101,0.04456103965640068,0.041273195296525955,-0.0036455560475587845,-0.028879886493086815,0.04238596186041832,0.041273195296525955,0.05354408919811249,-0.023787548765540123,0.018684765323996544
(,0.2411840260028839,0.2556702494621277,0.2980341613292694,0.33289089798927307,0.2101334184408188,0.09721393138170242,0.28656116127967834,0.33289089798927307,0.14364494383335114,0.20382565259933472,0.40561532974243164
1971,0.19641290605068207,0.21599116921424866,0.2210383415222168,0.21928679943084717,0.16142699122428894,0.2297537922859192,0.17606762051582336,0.21928679943084717,0.23767277598381042,0.3013715147972107,0.29388657212257385
),0.26259949803352356,0.24282371997833252,0.3267642855644226,0.3456730246543884,0.18759728968143463,0.10322040319442749,0.29937487840652466,0.3456730246543884,0.15948902070522308,0.2337164580821991,0.42300865054130554
",",0.3087472915649414,0.28560417890548706,0.45456063747406006,0.4933079481124878,0.24119161069393158,0.23327599465847015,0.49057599902153015,0.4933079481124878,0.235897496342659,0.2775750756263733,0.31091248989105225
was,0.22111038863658905,0.3209837079048157,1.0000001192092896,0.48711544275283813,0.2529676854610443,0.1303584724664688,0.3909217119216919,0.48711544275283813,0.2610088884830475,0.32720035314559937,0.18412111699581146
covered,0.24682468175888062,0.15289467573165894,0.24235664308071136,0.3132939636707306,0.28828802704811096,0.22062073647975922,0.3599720597267151,0.3132939636707306,0.22095774114131927,0.19111499190330505,0.139833465218544
by,0.2455483376979828,0.28805047273635864,0.4752357602119446,0.4408751428127289,0.22902745008468628,0.17798100411891937,0.33887791633605957,0.4408751428127289,0.2282130867242813,0.31595227122306824,0.17966607213020325
geordie,0.17367403209209442,0.19750744104385376,0.21397770941257477,0.24672424793243408,0.2601368725299835,0.11569976061582565,0.22385765612125397,0.24672424793243408,0.34523770213127136,0.20490671694278717,0.0974646806716919
ex-footballer,0.2215576469898224,0.17216257750988007,0.20030716061592102,0.175717294216156,0.2002224326133728,0.1118011400103569,0.1673991084098816,0.175717294216156,0.23020993173122406,0.15866908431053162,0.17940957844257355
paul,0.11217030137777328,0.16412168741226196,0.24299268424510956,0.19191958010196686,0.19650548696517944,0.11840695887804031,0.1803305596113205,0.19191958010196686,0.12118681520223618,0.20204921066761017,0.16611461341381073
gascoigne,0.2010328471660614,0.18041372299194336,0.3011625111103058,0.285023957490921,0.22703196108341217,0.1449127495288849,0.17225338518619537,0.285023957490921,0.3403259813785553,0.2378675937652588,0.21028515696525574
in,0.30808621644973755,0.3359307050704956,0.45514053106307983,0.6662389636039734,0.22749996185302734,0.17654678225517273,0.46853652596473694,0.6662389636039734,0.20370638370513916,0.2659924626350403,0.20430970191955566
1990,0.053733065724372864,0.028828801587224007,0.0701504573225975,-0.0810435339808464,-0.00833012256771326,-0.07069335132837296,-0.0531277060508728,-0.0810435339808464,-0.13627390563488007,-0.020958807319402695,0.07789827883243561
.,0.3567904531955719,0.32538118958473206,0.40146201848983765,0.5934505462646484,0.2374095469713211,0.20810849964618683,0.49257001280784607,0.5934505462646484,0.1918487399816513,0.298698753118515,0.4130953550338745
