,how,many,years,had,thomas,davis,played,in,the,league,when,he,broke,his,arm,during,the,nfc,championship,game,?
carolina,0.1482512354850769,0.12399670481681824,0.214823916554451,0.20392835140228271,0.1952405422925949,0.22498787939548492,0.1683724820613861,0.2380082756280899,0.24749229848384857,0.16983580589294434,0.16545826196670532,0.20276528596878052,0.1999569684267044,0.19019079208374023,0.13746154308319092,0.17862752079963684,0.24749229848384857,0.3309314548969269,0.1809738576412201,0.1679076999425888,0.11847445368766785
suffered,0.10068628937005997,0.22810456156730652,0.26297956705093384,0.536039412021637,0.17204545438289642,0.14957281947135925,0.26206138730049133,0.277639776468277,0.2558774948120117,0.1443963199853897,0.20446106791496277,0.32844990491867065,0.35820475220680237,0.3798946738243103,0.1958027482032776,0.36370640993118286,0.2558774948120117,0.14072050154209137,0.21612636744976044,0.14093159139156342,0.08963493257761002
a,0.29312583804130554,0.2872205972671509,0.23773819208145142,0.34897568821907043,0.19268037378787994,0.19002141058444977,0.2472371906042099,0.539380669593811,0.5829201340675354,0.17562834918498993,0.44397395849227905,0.4393508732318878,0.20742449164390564,0.3497250974178314,0.2200365960597992,0.30341604351997375,0.5829201340675354,0.20643295347690582,0.18214380741119385,0.23211604356765747,0.23916715383529663
major,0.12500809133052826,0.2907782793045044,0.18502649664878845,0.21882961690425873,0.10622677206993103,0.14990930259227753,0.20760951936244965,0.3249945342540741,0.31775903701782227,0.3420921266078949,0.17186790704727173,0.20298928022384644,0.17938250303268433,0.17332184314727783,0.19444134831428528,0.2254045009613037,0.31775903701782227,0.2140611857175827,0.15515366196632385,0.12348651885986328,0.19788557291030884
setback,0.22744563221931458,0.29354143142700195,0.2351355254650116,0.3346725404262543,0.12432343512773514,0.136392280459404,0.14497312903404236,0.28636541962623596,0.3215973973274231,0.2340305745601654,0.2934372127056122,0.2513086199760437,0.36863425374031067,0.30988627672195435,0.23176699876785278,0.29688888788223267,0.3215973973274231,0.28003278374671936,0.279744952917099,0.2102450430393219,0.20897552371025085
when,0.4767928421497345,0.36563900113105774,0.3409145474433899,0.37526828050613403,0.19259870052337646,0.23257681727409363,0.17054396867752075,0.4431333839893341,0.5091903209686279,0.2000882774591446,0.9999999403953552,0.39115971326828003,0.3239263594150543,0.37120407819747925,0.22793443500995636,0.46721696853637695,0.5091903209686279,0.20492814481258392,0.20474274456501007,0.22596776485443115,0.22841128706932068
thomas,0.16050536930561066,0.1573767364025116,0.1830771565437317,0.21442335844039917,1.0000001192092896,0.35804271697998047,0.1526159644126892,0.21133768558502197,0.23505409061908722,0.13170233368873596,0.19259870052337646,0.2241380214691162,0.11590564250946045,0.20028819143772125,0.09396518021821976,0.170392706990242,0.23505409061908722,0.16319149732589722,0.1911715567111969,0.15256451070308685,0.16133050620555878
davis,0.18671093881130219,0.17346549034118652,0.1879660040140152,0.263392835855484,0.35804271697998047,0.9999999403953552,0.25531095266342163,0.20000724494457245,0.25552070140838623,0.18219783902168274,0.23257681727409363,0.2684839367866516,0.2293253093957901,0.2677081823348999,0.11847760528326035,0.17898905277252197,0.25552070140838623,0.21527732908725739,0.19010725617408752,0.14556019008159637,0.17094263434410095
",",0.22659391164779663,0.40610817074775696,0.2589467465877533,0.35487717390060425,0.25079426169395447,0.31438660621643066,0.2987361550331116,0.5201468467712402,0.4933079481124878,0.20757631957530975,0.36674630641937256,0.40251094102859497,0.2557729482650757,0.3378419280052185,0.1692921221256256,0.3225448727607727,0.4933079481124878,0.28086528182029724,0.256124883890152,0.2653886377811432,0.31091248989105225
an,0.2520636022090912,0.2465583086013794,0.17872706055641174,0.22327841818332672,0.15775039792060852,0.24183200299739838,0.16061121225357056,0.2605783939361572,0.4207492768764496,0.1228543370962143,0.33026179671287537,0.281929612159729,0.20114164054393768,0.24025635421276093,0.17661161720752716,0.21076080203056335,0.4207492768764496,0.11881481856107712,0.12924516201019287,0.16604416072368622,0.19793890416622162
