,where,was,wardenclyffe,located,?
the,0.5003893971443176,0.48711544275283813,0.3380798399448395,0.407527357339859,0.22068053483963013
colorado,0.17928819358348846,0.23214073479175568,0.22255440056324005,0.19021454453468323,0.15461322665214539
experiments,0.2263975441455841,0.24334195256233215,0.1906469762325287,0.07024243474006653,0.14564716815948486
had,0.2596948444843292,0.5927209258079529,0.3470076620578766,0.1453970968723297,0.20728366076946259
prepared,0.2115974873304367,0.17270667850971222,0.2030220925807953,0.1598411351442337,0.23652499914169312
tesla,0.12761090695858002,0.16455206274986267,0.14223843812942505,0.1643938571214676,0.10250775516033173
for,0.38599511981010437,0.3863949179649353,0.29435044527053833,0.1493360996246338,0.264628142118454
the,0.5003893971443176,0.48711544275283813,0.3380798399448395,0.407527357339859,0.22068053483963013
establishment,0.12877686321735382,0.25249096751213074,0.21768561005592346,0.2702312469482422,0.1661023646593094
of,0.38066378235816956,0.4069072902202606,0.3756619095802307,0.32520920038223267,0.1826142966747284
the,0.5003893971443176,0.48711544275283813,0.3380798399448395,0.407527357339859,0.22068053483963013
trans-atlantic,0.25122424960136414,0.24566835165023804,0.33247411251068115,0.22752663493156433,0.17383970320224762
wireless,0.22143395245075226,0.1810203492641449,0.22777411341667175,0.2039090096950531,0.08461163192987442
telecommunications,0.17328190803527832,0.21900247037410736,0.21667324006557465,0.24711890518665314,0.10905920714139938
facility,0.25094524025917053,0.193069726228714,0.24218913912773132,0.3465913236141205,0.12783357501029968
known,0.22275541722774506,0.35203275084495544,0.3025062084197998,0.21905839443206787,0.18314571678638458
as,0.35409465432167053,0.3677520453929901,0.372109055519104,0.20928777754306793,0.27043893933296204
wardenclyffe,0.27610471844673157,0.3794313669204712,0.9999999403953552,0.26250526309013367,0.22984455525875092
near,0.4188554286956787,0.1933041363954544,0.24272142350673676,0.4311690628528595,0.10734958201646805
shoreham,0.31507402658462524,0.22906984388828278,0.36982643604278564,0.39479967951774597,0.10120284557342529
",",0.3149496018886566,0.45456063747406006,0.41914570331573486,0.2678719460964203,0.31091248989105225
long,0.22579649090766907,0.1968146562576294,0.18139584362506866,0.12762443721294403,0.19699987769126892
island,0.21791329979896545,0.23908254504203796,0.2658337354660034,0.27198347449302673,0.0887429490685463
.,0.41390106081962585,0.40146201848983765,0.3849335312843323,0.28226932883262634,0.4130953550338745
