,what,fueled,luther,'s,concept,of,christ,and,his,salvation,?
his,0.26976513862609863,0.18944743275642395,0.27093374729156494,0.047556519508361816,0.18100163340568542,0.38364991545677185,0.23623991012573242,0.4234102666378021,0.9999998807907104,0.2757900655269623,0.18075084686279297
railing,0.2088535726070404,0.13660556077957153,0.13012458384037018,0.01914038322865963,0.21934078633785248,0.20202472805976868,0.12061823904514313,0.22751273214817047,0.1433870941400528,0.15846797823905945,0.18262583017349243
against,0.24561616778373718,0.11824549734592438,0.18804924190044403,-0.0006242102244868875,0.14280153810977936,0.2669808566570282,0.1321944147348404,0.3292689621448517,0.26457494497299194,0.19360242784023285,0.18095137178897858
the,0.42745697498321533,0.17533089220523834,0.1759674996137619,-0.01540423184633255,0.2355310022830963,0.733189046382904,0.25124865770339966,0.5171257257461548,0.4394008219242096,0.30236515402793884,0.22068053483963013
sale,0.19106879830360413,0.17847254872322083,0.12257428467273712,0.02224520407617092,0.19110676646232605,0.18532836437225342,0.18271523714065552,0.2104409784078598,0.20112089812755585,0.259958416223526,0.10629682242870331
of,0.33290785551071167,0.18315236270427704,0.1719115972518921,-0.03817026689648628,0.24082158505916595,1.0,0.27289092540740967,0.5116966962814331,0.38364991545677185,0.2523575723171234,0.1826142966747284
indulgences,0.28368377685546875,0.22997215390205383,0.35804522037506104,0.009167968295514584,0.3537713289260864,0.28176620602607727,0.4043344259262085,0.19426552951335907,0.31932055950164795,0.4313211441040039,0.21964608132839203
was,0.22111038863658905,0.276437908411026,0.19185513257980347,0.008974763564765453,0.2765439450740814,0.4069072902202606,0.2174820899963379,0.3740963041782379,0.4405253231525421,0.17791269719600677,0.18412111699581146
based,0.274813175201416,0.23251809179782867,0.11297188699245453,0.06600074470043182,0.26201578974723816,0.3033197224140167,0.17252400517463684,0.2660958170890808,0.17763181030750275,0.14537131786346436,0.134929820895195
on,0.34226128458976746,0.18915951251983643,0.19090485572814941,0.0026888418942689896,0.19591249525547028,0.3966929316520691,0.16157518327236176,0.4077630043029785,0.32064297795295715,0.15590249001979828,0.2714994251728058
it,0.45803478360176086,0.2242356538772583,0.15365919470787048,0.06608816236257553,0.29287758469581604,0.38761502504348755,0.23697827756404877,0.40957894921302795,0.2876833975315094,0.22648508846759796,0.25732165575027466
.,0.3567904531955719,0.17096124589443207,0.24907569587230682,-0.003708066651597619,0.17851535975933075,0.5352458953857422,0.21890506148338318,0.588965117931366,0.3119256794452667,0.2464890033006668,0.4130953550338745
