,what,is,the,complex,``,two-signal,'',activation,of,t,cells,referred,to,?
the,0.42745697498321533,0.5823672413825989,1.0,0.25326284766197205,0.029072100296616554,0.308041512966156,0.041273195296525955,0.30273205041885376,0.733189046382904,0.2083338052034378,0.19095487892627716,0.3088674545288086,0.535392165184021,0.22068053483963013
theory,0.297923743724823,0.19279582798480988,0.2277156263589859,0.2384541928768158,0.026165060698986053,0.257174551486969,0.07203595340251923,0.28817230463027954,0.23506702482700348,0.1859600841999054,0.18208518624305725,0.16805580258369446,0.21947365999221802,0.1387292891740799
was,0.22111038863658905,0.5810302495956421,0.48711544275283813,0.15738925337791443,-0.012679691426455975,0.12918885052204132,0.04456103965640068,0.15633073449134827,0.4069072902202606,0.19807380437850952,0.12093250453472137,0.2664481997489929,0.3636345863342285,0.18412111699581146
later,0.2517229914665222,0.21527644991874695,0.4060266613960266,0.1620003581047058,-0.017956512048840523,0.16859854757785797,-0.019435737282037735,0.16960255801677704,0.3458743393421173,0.14423790574073792,0.1656038612127304,0.21807074546813965,0.393297016620636,0.1417175978422165
modified,0.1667574942111969,0.14212802052497864,0.25787946581840515,0.33868056535720825,0.05014513060450554,0.2242264598608017,0.03302750363945961,0.3217098116874695,0.19437947869300842,0.1842844933271408,0.2660175859928131,0.21706481277942657,0.23477645218372345,0.2008686512708664
to,0.455847829580307,0.42745086550712585,0.535392165184021,0.2934706509113312,0.06720756739377975,0.2632056772708893,-0.009905828163027763,0.28670090436935425,0.41548454761505127,0.30417174100875854,0.26320719718933105,0.22845174372196198,1.0,0.29463258385658264
reflect,0.3106124997138977,0.18374520540237427,0.279869943857193,0.25382760167121887,-0.11107052117586136,0.24487198889255524,0.026826947927474976,0.17720188200473785,0.2477911114692688,0.17902860045433044,0.17158101499080658,0.22758184373378754,0.2603043019771576,0.1725967973470688
new,0.2130378633737564,0.2208656519651413,0.3845241069793701,0.18329064548015594,-0.03575563058257103,0.18809524178504944,-0.021915066987276077,0.1739587038755417,0.343457967042923,0.1628938466310501,0.11617907881736755,0.11564653366804123,0.33159172534942627,0.14782847464084625
discoveries,0.21252432465553284,0.17839635908603668,0.296929270029068,0.22762846946716309,0.016632942482829094,0.25116828083992004,-0.026876823976635933,0.3870854675769806,0.26098135113716125,0.14858075976371765,0.3188338577747345,0.1181301474571228,0.1769595891237259,0.1343231350183487
regarding,0.36432263255119324,0.2110801786184311,0.29280903935432434,0.24634014070034027,-0.06146683171391487,0.24494335055351257,0.023724932223558426,0.22204917669296265,0.2715161442756653,0.2800024747848511,0.11730017513036728,0.21739807724952698,0.29117533564567566,0.36967232823371887
histocompatibility,0.2662310302257538,0.24392439424991608,0.30211079120635986,0.341813325881958,0.16200529038906097,0.38435250520706177,-0.01611626334488392,0.5051407814025879,0.26373428106307983,0.2632652521133423,0.43328022956848145,0.22046686708927155,0.28404971957206726,0.2818797528743744
or,0.33867141604423523,0.41870999336242676,0.4174870550632477,0.2604424059391022,0.1197475790977478,0.3163423240184784,0.04548122361302376,0.30289408564567566,0.3792596757411957,0.3054902255535126,0.32840585708618164,0.31981897354125977,0.38921234011650085,0.32389625906944275
the,0.42745697498321533,0.5823672413825989,1.0,0.25326284766197205,0.029072100296616554,0.308041512966156,0.041273195296525955,0.30273205041885376,0.733189046382904,0.2083338052034378,0.19095487892627716,0.3088674545288086,0.535392165184021,0.22068053483963013
complex,0.2605343163013458,0.2723233699798584,0.25326284766197205,0.9999998807907104,0.05093948543071747,0.23050756752490997,0.05357032269239426,0.24756820499897003,0.24271073937416077,0.17782926559448242,0.2291174829006195,0.17990605533123016,0.2934706509113312,0.17752902209758759
``,0.008517155423760414,0.058766357600688934,0.029072100296616554,0.05093948543071747,1.0,0.08381358534097672,-0.09173435717821121,0.10236827284097672,0.06780257821083069,0.07243925333023071,0.1241510808467865,0.017554139718413353,0.06720756739377975,0.0685480609536171
two-signal,0.24100443720817566,0.22054319083690643,0.308041512966156,0.23050756752490997,0.08381358534097672,1.0,0.02770848758518696,0.41336578130722046,0.24039742350578308,0.19720295071601868,0.3100798428058624,0.16596783697605133,0.2632056772708893,0.17460842430591583
'',0.08143015950918198,0.0793738141655922,0.041273195296525955,0.05357032269239426,-0.09173435717821121,0.02770848758518696,1.0,-0.0926998034119606,0.13035868108272552,0.10404617339372635,-0.04999896138906479,0.10532526671886444,-0.009905828163027763,0.018684765323996544
activation,0.2419547140598297,0.24432499706745148,0.30273205041885376,0.24756820499897003,0.10236827284097672,0.41336578130722046,-0.0926998034119606,0.9999998807907104,0.2020977884531021,0.25688496232032776,0.4792545437812805,0.12140057235956192,0.28670090436935425,0.19980524480342865
of,0.33290785551071167,0.4854315221309662,0.733189046382904,0.24271073937416077,0.06780257821083069,0.24039742350578308,0.13035868108272552,0.2020977884531021,1.0,0.14617829024791718,0.21305565536022186,0.317892849445343,0.41548454761505127,0.1826142966747284
t,0.37454068660736084,0.23234573006629944,0.2083338052034378,0.17782926559448242,0.07243925333023071,0.19720295071601868,0.10404617339372635,0.25688496232032776,0.14617829024791718,0.9999999403953552,0.25527921319007874,0.08473511785268784,0.30417174100875854,0.4954066574573517
cells,0.1758001297712326,0.1644774079322815,0.19095487892627716,0.2291174829006195,0.1241510808467865,0.3100798428058624,-0.04999896138906479,0.4792545437812805,0.21305565536022186,0.25527921319007874,1.0,0.12428470700979233,0.26320719718933105,0.1898086667060852
.,0.3567904531955719,0.4569662809371948,0.5934505462646484,0.2245299518108368,0.05720457062125206,0.21773816645145416,-0.07181349396705627,0.31713196635246277,0.5352458953857422,0.3410096764564514,0.2868211269378662,0.16569985449314117,0.4645031690597534,0.4130953550338745
