,what,kinds,of,sciences,were,social,darwinism,and,theories,of,race,?
the,0.42745697498321533,0.24529235064983368,0.733189046382904,0.2625935673713684,0.3906462490558624,0.21797899901866913,0.22005604207515717,0.5171257257461548,0.24012529850006104,0.733189046382904,0.2584857642650604,0.22068053483963013
pseudo-sciences,0.28846514225006104,0.3048941493034363,0.31025105714797974,0.7411980032920837,0.1341995745897293,0.4022287428379059,0.5091139674186707,0.2834501266479492,0.49695953726768494,0.31025105714797974,0.1715189814567566,0.21512919664382935
of,0.33290785551071167,0.28535863757133484,1.0,0.31529930233955383,0.34038281440734863,0.2605111300945282,0.23346026241779327,0.5116966962814331,0.25074607133865356,1.0,0.22476476430892944,0.1826142966747284
social,0.22217629849910736,0.2064543068408966,0.2605111300945282,0.41657963395118713,0.18136808276176453,1.0,0.4224938154220581,0.38231831789016724,0.32805123925209045,0.2605111300945282,0.1663804054260254,0.1615191102027893
darwinism,0.35793644189834595,0.2670043706893921,0.23346026241779327,0.3837451934814453,0.24689795076847076,0.4224938154220581,0.9999999403953552,0.26431119441986084,0.5166223645210266,0.23346026241779327,0.3351078927516937,0.25077125430107117
and,0.31309178471565247,0.32501107454299927,0.5116966962814331,0.2685838043689728,0.42175528407096863,0.38231831789016724,0.26431119441986084,1.0,0.2395821362733841,0.5116966962814331,0.18919794261455536,0.20544172823429108
theories,0.3363492488861084,0.3206251859664917,0.25074607133865356,0.4141498804092407,0.23568083345890045,0.32805123925209045,0.5166223645210266,0.2395821362733841,1.0000001192092896,0.25074607133865356,0.17697066068649292,0.21320602297782898
of,0.33290785551071167,0.28535863757133484,1.0,0.31529930233955383,0.34038281440734863,0.2605111300945282,0.23346026241779327,0.5116966962814331,0.25074607133865356,1.0,0.22476476430892944,0.1826142966747284
race,0.1748659759759903,0.02624112367630005,0.22476476430892944,0.09511956572532654,0.195713609457016,0.1663804054260254,0.3351078927516937,0.18919794261455536,0.17697066068649292,0.22476476430892944,0.9999999403953552,0.1390368491411209
formed,0.15451857447624207,0.1743716299533844,0.2871689796447754,0.1599026620388031,0.31665706634521484,0.15014228224754333,0.18244510889053345,0.27619341015815735,0.1715526133775711,0.2871689796447754,0.09848722815513611,0.09686966985464096
an,0.2821882665157318,0.13795126974582672,0.32280945777893066,0.14733366668224335,0.08893381804227829,0.1521279513835907,0.16325390338897705,0.2838519215583801,0.17326046526432037,0.32280945777893066,0.12012127041816711,0.19793890416622162
ideological,0.30338922142982483,0.1328112632036209,0.29073479771614075,0.26461392641067505,0.2572958171367645,0.44128790497779846,0.4806338846683502,0.2470436990261078,0.3914564549922943,0.29073479771614075,0.20055235922336578,0.1390949934720993
underpinning,0.31879279017448425,0.27754294872283936,0.2684003412723541,0.21059417724609375,0.25793299078941345,0.2741706967353821,0.39979785680770874,0.31549495458602905,0.336832731962204,0.2684003412723541,0.2168778032064438,0.32162192463874817
during,0.24137552082538605,0.20946651697158813,0.3869180977344513,0.16218304634094238,0.4064035415649414,0.1924361139535904,0.2618863582611084,0.36462149024009705,0.2383175641298294,0.3869180977344513,0.20461025834083557,0.1325719803571701
this,0.5489566326141357,0.3123713433742523,0.45148900151252747,0.21222202479839325,0.25469228625297546,0.18580013513565063,0.34843650460243225,0.42353692650794983,0.27099961042404175,0.45148900151252747,0.2064269632101059,0.3155723512172699
time,0.36319252848625183,0.24425621330738068,0.35127586126327515,0.16850097477436066,0.3104150593280792,0.13295701146125793,0.253534734249115,0.3025408685207367,0.2368595153093338,0.35127586126327515,0.22835220396518707,0.27391523122787476
.,0.3567904531955719,0.23792381584644318,0.5352458953857422,0.2230445295572281,0.3378238379955292,0.2614770531654358,0.2693645656108856,0.588965117931366,0.18147483468055725,0.5352458953857422,0.2203429788351059,0.4130953550338745
,what,kinds,of,sciences,were,social,darwinism,and,theories,of,race,?
the,0.42745697498321533,0.24529235064983368,0.733189046382904,0.2625935673713684,0.3906462490558624,0.21797899901866913,0.22005604207515717,0.5171257257461548,0.24012529850006104,0.733189046382904,0.2584857642650604,0.22068053483963013
british,0.19255435466766357,0.12603192031383514,0.23701532185077667,0.10644196718931198,0.27742838859558105,0.17898200452327728,0.12258994579315186,0.325880765914917,0.11533960700035095,0.23701532185077667,0.15089178085327148,0.09711728990077972
empire,0.21723191440105438,0.08524590730667114,0.30522286891937256,0.21795639395713806,0.25456157326698303,0.21272271871566772,0.24729573726654053,0.27479609847068787,0.23888829350471497,0.30522286891937256,0.13965165615081787,0.14909450709819794
was,0.22111038863658905,0.07296273112297058,0.4069072902202606,0.2423371970653534,0.590133786201477,0.196878582239151,0.2389071136713028,0.3740963041782379,0.17534489929676056,0.4069072902202606,0.23912915587425232,0.18412111699581146
the,0.42745697498321533,0.24529235064983368,0.733189046382904,0.2625935673713684,0.3906462490558624,0.21797899901866913,0.22005604207515717,0.5171257257461548,0.24012529850006104,0.733189046382904,0.2584857642650604,0.22068053483963013
largest,0.13463157415390015,0.1963537335395813,0.36650770902633667,0.19286295771598816,0.15248949825763702,0.17547298967838287,0.09376684576272964,0.24602696299552917,0.10629864782094955,0.36650770902633667,0.11464410275220871,0.12401245534420013
empire,0.21723191440105438,0.08524590730667114,0.30522286891937256,0.21795639395713806,0.25456157326698303,0.21272271871566772,0.24729573726654053,0.27479609847068787,0.23888829350471497,0.30522286891937256,0.13965165615081787,0.14909450709819794
that,0.6297725439071655,0.3535032570362091,0.41498205065727234,0.22231240570545197,0.35517072677612305,0.23622825741767883,0.3849788010120392,0.4731321930885315,0.39760348200798035,0.41498205065727234,0.25283321738243103,0.32716336846351624
