,what,is,the,original,meaning,of,the,word,norman,?
the,0.42745697498321533,0.5823672413825989,1.0,0.4037000238895416,0.31918859481811523,0.733189046382904,1.0,0.2835540175437927,0.23459704220294952,0.22068053483963013
english,0.25060737133026123,0.24613474309444427,0.23982001841068268,0.2179306447505951,0.21359309554100037,0.17198967933654785,0.23982001841068268,0.2780221700668335,0.3031848967075348,0.23251567780971527
name,0.18623162806034088,0.3359788954257965,0.3171212375164032,0.29879865050315857,0.3980681300163269,0.24075818061828613,0.3171212375164032,0.42211398482322693,0.1913251429796219,0.15381577610969543
``,0.008517155423760414,0.058766357600688934,0.029072100296616554,-0.09917053580284119,0.1370125412940979,0.06780257821083069,0.029072100296616554,0.12403237819671631,0.014049350284039974,0.0685480609536171
normans,0.15760394930839539,0.16228537261486053,0.2781367897987366,0.20851625502109528,0.21430951356887817,0.2173461765050888,0.2781367897987366,0.18003523349761963,0.7264348268508911,0.12354589998722076
'',0.08143015950918198,0.0793738141655922,0.041273195296525955,0.15586623549461365,-0.004718669690191746,0.13035868108272552,0.041273195296525955,0.05225009098649025,0.028494004160165787,0.018684765323996544
comes,0.2575639486312866,0.4279782474040985,0.32399529218673706,0.21728551387786865,0.5350660681724548,0.2978210747241974,0.32399529218673706,0.5785475969314575,0.23493121564388275,0.15980161726474762
from,0.2737620174884796,0.27355384826660156,0.40150508284568787,0.233787402510643,0.2275310903787613,0.4249346852302551,0.40150508284568787,0.2524685263633728,0.15190823376178741,0.19969791173934937
the,0.42745697498321533,0.5823672413825989,1.0,0.4037000238895416,0.31918859481811523,0.733189046382904,1.0,0.2835540175437927,0.23459704220294952,0.22068053483963013
french,0.17393042147159576,0.19312386214733124,0.2555147111415863,0.2096373438835144,0.17719750106334686,0.19450366497039795,0.2555147111415863,0.24176479876041412,0.2732321619987488,0.1386883556842804
words,0.3355468809604645,0.2681862413883209,0.29205581545829773,0.2334093451499939,0.5447025895118713,0.26259833574295044,0.29205581545829773,0.6706412434577942,0.20857982337474823,0.27074310183525085
normans/normanz,0.23631124198436737,0.21601949632167816,0.33589988946914673,0.2590779960155487,0.21164962649345398,0.27232614159584045,0.33589988946914673,0.1974131166934967,0.7807506918907166,0.20416118204593658
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.23508994281291962,0.2096743881702423,0.4946078956127167,0.4933079481124878,0.24605005979537964,0.20281735062599182,0.31091248989105225
plural,0.22808785736560822,0.20918896794319153,0.2223895639181137,0.12175865471363068,0.41555845737457275,0.19516655802726746,0.2223895639181137,0.42613324522972107,0.13398286700248718,0.18751396238803864
of,0.33290785551071167,0.4854315221309662,0.733189046382904,0.30228546261787415,0.2447882443666458,1.0,0.733189046382904,0.23799116909503937,0.15827171504497528,0.1826142966747284
normant,0.193789541721344,0.23237088322639465,0.28123927116394043,0.18447116017341614,0.19509980082511902,0.23447924852371216,0.28123927116394043,0.18477541208267212,0.7153688073158264,0.17980271577835083
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.23508994281291962,0.2096743881702423,0.4946078956127167,0.4933079481124878,0.24605005979537964,0.20281735062599182,0.31091248989105225
modern,0.2655639946460724,0.24170172214508057,0.3283970355987549,0.234763503074646,0.2903909981250763,0.3482828736305237,0.3283970355987549,0.2755415737628937,0.16781286895275116,0.12475407868623734
french,0.17393042147159576,0.19312386214733124,0.2555147111415863,0.2096373438835144,0.17719750106334686,0.19450366497039795,0.2555147111415863,0.24176479876041412,0.2732321619987488,0.1386883556842804
normand,0.1465202420949936,0.23158618807792664,0.26178860664367676,0.2151193916797638,0.16779565811157227,0.204340398311615,0.26178860664367676,0.16010308265686035,0.7152472138404846,0.13597163558006287
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.23508994281291962,0.2096743881702423,0.4946078956127167,0.4933079481124878,0.24605005979537964,0.20281735062599182,0.31091248989105225
which,0.5261979103088379,0.4457404911518097,0.6521818041801453,0.3607312738895416,0.3784721791744232,0.5011631846427917,0.6521818041801453,0.3399123549461365,0.1315736174583435,0.25814583897590637
is,0.28837618231773376,1.0,0.5823672413825989,0.2681281864643097,0.32422322034835815,0.4854315221309662,0.5823672413825989,0.29004693031311035,0.15238438546657562,0.22961433231830597
itself,0.3625122308731079,0.3638126254081726,0.45971640944480896,0.25822913646698,0.33942535519599915,0.3157202899456024,0.45971640944480896,0.3665500283241272,0.14060215651988983,0.17933900654315948
borrowed,0.24171066284179688,0.16349947452545166,0.28681081533432007,0.23853659629821777,0.31742194294929504,0.23583939671516418,0.28681081533432007,0.36162039637565613,0.23299206793308258,0.1854170709848404
from,0.2737620174884796,0.27355384826660156,0.40150508284568787,0.233787402510643,0.2275310903787613,0.4249346852302551,0.40150508284568787,0.2524685263633728,0.15190823376178741,0.19969791173934937
old,0.22117848694324493,0.24332627654075623,0.31849798560142517,0.3321450650691986,0.22343140840530396,0.30522194504737854,0.31849798560142517,0.2033720314502716,0.2051687240600586,0.20577076077461243
low,0.20743566751480103,0.19289205968379974,0.2544175982475281,0.12316184490919113,0.1331215351819992,0.27171993255615234,0.2544175982475281,0.1519298404455185,0.17868715524673462,0.10658930987119675
franconian,0.1813623011112213,0.25570783019065857,0.2960248589515686,0.12869688868522644,0.20770423114299774,0.22057777643203735,0.2960248589515686,0.16574238240718842,0.23245954513549805,0.1422611027956009
nortmann,0.15426044166088104,0.262428879737854,0.29830560088157654,0.22618435323238373,0.16461515426635742,0.28383976221084595,0.29830560088157654,0.17968276143074036,0.23824414610862732,0.15726357698440552
``,0.008517155423760414,0.058766357600688934,0.029072100296616554,-0.09917053580284119,0.1370125412940979,0.06780257821083069,0.029072100296616554,0.12403237819671631,0.014049350284039974,0.0685480609536171
northman,0.25765761733055115,0.2630840241909027,0.33759447932243347,0.18887244164943695,0.16613256931304932,0.3365478217601776,0.33759447932243347,0.16315774619579315,0.3536478877067566,0.22461549937725067
