,when,was,he,elected,by,nixon,?
in,0.4431333839893341,0.45514053106307983,0.41690486669540405,0.21190309524536133,0.370934396982193,0.17340782284736633,0.20430970191955566
1973,-0.26069384813308716,-0.1900326907634735,-0.161979079246521,-0.06632829457521439,-0.14901426434516907,-0.2457251250743866,-0.07644321769475937
",",0.36674630641937256,0.45456063747406006,0.40251094102859497,0.2476319521665573,0.3680937886238098,0.22192354500293732,0.31091248989105225
nixon,0.1948467344045639,0.20094674825668335,0.26572880148887634,0.2930169701576233,0.12069221585988998,1.0,0.18047039210796356
named,0.2802571952342987,0.37528327107429504,0.22493088245391846,0.26812103390693665,0.30212631821632385,0.1256977766752243,0.1297498345375061
william,0.22232958674430847,0.28444796800613403,0.24210993945598602,0.17999783158302307,0.2472190260887146,0.28210243582725525,0.14462219178676605
e.,0.03003227524459362,0.04124482721090317,-0.03051595389842987,-0.05061887204647064,0.03714229539036751,-0.05577227100729942,0.04848470166325569
simon,0.11157748848199844,0.1887473315000534,0.25876450538635254,0.16266822814941406,0.2051587700843811,0.21964530646800995,0.10385744273662567
as,0.4437963366508484,0.3677520453929901,0.33787044882774353,0.22274595499038696,0.3815547823905945,0.18174627423286438,0.27043893933296204
the,0.5091903209686279,0.48711544275283813,0.4571082592010498,0.23167964816093445,0.4408751428127289,0.19296984374523163,0.22068053483963013
first,0.4282494783401489,0.5022147297859192,0.3826274573802948,0.2879455089569092,0.3877052962779999,0.17999999225139618,0.18701928853988647
administrator,0.21907278895378113,0.26034414768218994,0.28635507822036743,0.2818841338157654,0.10100654512643814,0.2563838064670563,0.2915230691432953
of,0.3757161796092987,0.4069072902202606,0.38706058263778687,0.2767166793346405,0.3646814823150635,0.1782437115907669,0.1826142966747284
the,0.5091903209686279,0.48711544275283813,0.4571082592010498,0.23167964816093445,0.4408751428127289,0.19296984374523163,0.22068053483963013
federal,0.23483528196811676,0.23023395240306854,0.21263736486434937,0.3593674600124359,0.16916346549987793,0.2210300713777542,0.1812247931957245
energy,0.24666637182235718,0.15364649891853333,0.19338715076446533,0.1630016565322876,0.1721600890159607,0.22066143155097961,0.14860127866268158
office,0.22369864583015442,0.3002835810184479,0.25219056010246277,0.41702714562416077,0.1305828094482422,0.27879294753074646,0.16497313976287842
",",0.36674630641937256,0.45456063747406006,0.40251094102859497,0.2476319521665573,0.3680937886238098,0.22192354500293732,0.31091248989105225
a,0.44397395849227905,0.4508470594882965,0.4393508732318878,0.18310341238975525,0.32094135880470276,0.1866707056760788,0.23916715383529663
short-term,0.3930590748786926,0.2717204988002777,0.2770582139492035,0.2940818965435028,0.2933139503002167,0.23341353237628937,0.23832911252975464
organization,0.23174281418323517,0.20457664132118225,0.2131727784872055,0.2569504976272583,0.19509689509868622,0.14050564169883728,0.2069297879934311
created,0.2840147316455841,0.3592788577079773,0.2051880955696106,0.26823535561561584,0.3492257595062256,0.07574819773435593,0.21177415549755096
to,0.5423505902290344,0.3636345863342285,0.385390967130661,0.21424545347690582,0.33534231781959534,0.21478617191314697,0.29463258385658264
coordinate,0.1770518571138382,0.0518430694937706,0.05186224728822708,0.20214276015758514,0.17935959994792938,0.15648432075977325,0.2085915356874466
the,0.5091903209686279,0.48711544275283813,0.4571082592010498,0.23167964816093445,0.4408751428127289,0.19296984374523163,0.22068053483963013
response,0.35236990451812744,0.2303798496723175,0.1881110966205597,0.11309146881103516,0.2863168716430664,0.18581679463386536,0.2007838636636734
to,0.5423505902290344,0.3636345863342285,0.385390967130661,0.21424545347690582,0.33534231781959534,0.21478617191314697,0.29463258385658264
the,0.5091903209686279,0.48711544275283813,0.4571082592010498,0.23167964816093445,0.4408751428127289,0.19296984374523163,0.22068053483963013
embargo,0.21684038639068604,0.09949713945388794,0.1295904964208603,0.20504936575889587,0.0761401355266571,0.24732814729213715,0.21724076569080353
.,0.475719153881073,0.40146201848983765,0.38061028718948364,0.2512674033641815,0.3936232924461365,0.23251378536224365,0.4130953550338745
