,what,is,the,potential,earnings,for,a,job,where,there,are,few,skilled,workers,but,many,available,positions,?
a,0.3320399522781372,0.658733606338501,0.5829201340675354,0.32849350571632385,0.22704806923866272,0.44038116931915283,1.0,0.2834402620792389,0.40997210144996643,0.4214206337928772,0.265255331993103,0.2765968441963196,0.2723686993122101,0.25033822655677795,0.44750767946243286,0.2872205972671509,0.19077399373054504,0.2640075087547302,0.23916715383529663
job,0.29268908500671387,0.1924818903207779,0.24242734909057617,0.18878589570522308,0.3244611918926239,0.3520078659057617,0.2834402620792389,1.0,0.2095899134874344,0.19662681221961975,0.17699533700942993,0.18540124595165253,0.4035366475582123,0.32602551579475403,0.3047976493835449,0.25484973192214966,0.16823948919773102,0.30126887559890747,0.22160480916500092
where,0.4457937180995941,0.3586711287498474,0.5003893971443176,0.2795645296573639,0.18463338911533356,0.38599511981010437,0.40997210144996643,0.2095899134874344,0.9999999403953552,0.5016061663627625,0.32389864325523376,0.30374065041542053,0.1935969591140747,0.17254844307899475,0.49101024866104126,0.4338301420211792,0.19956104457378387,0.28844720125198364,0.24793872237205505
there,0.35085538029670715,0.3904260993003845,0.47025805711746216,0.2671857476234436,0.24137884378433228,0.3728419542312622,0.4214206337928772,0.19662681221961975,0.5016061663627625,1.0,0.5433560013771057,0.4346017837524414,0.1921152025461197,0.21683305501937866,0.5899304151535034,0.4993700683116913,0.3503713011741638,0.21865437924861908,0.29405656456947327
are,0.29724663496017456,0.5330929756164551,0.40399202704429626,0.28343355655670166,0.20151476562023163,0.3895993232727051,0.265255331993103,0.17699533700942993,0.32389864325523376,0.5433560013771057,1.0,0.43078693747520447,0.21989527344703674,0.21967428922653198,0.47990062832832336,0.5655534863471985,0.31910744309425354,0.2907954752445221,0.24591213464736938
few,0.2780759632587433,0.22223958373069763,0.34660017490386963,0.2531384229660034,0.1699223816394806,0.34910818934440613,0.2765968441963196,0.18540124595165253,0.30374065041542053,0.4346017837524414,0.43078693747520447,1.0,0.19007275998592377,0.20546524226665497,0.4880838990211487,0.5883727073669434,0.27982184290885925,0.23779210448265076,0.2334265559911728
able,0.3404487371444702,0.1493876874446869,0.3435857892036438,0.2785111367702484,0.1960439831018448,0.2947812080383301,0.2874686121940613,0.2852134108543396,0.3460700213909149,0.34470799565315247,0.2283707559108734,0.3162781000137329,0.3652048408985138,0.17598222196102142,0.4427250325679779,0.29809945821762085,0.44173571467399597,0.23194697499275208,0.260649710893631
or,0.33867141604423523,0.41870999336242676,0.4174870550632477,0.3195761740207672,0.23367144167423248,0.4111599624156952,0.48853766918182373,0.20071177184581757,0.3651050925254822,0.4594070315361023,0.5374364256858826,0.31547385454177856,0.24649198353290558,0.28233397006988525,0.4733969271183014,0.36905089020729065,0.3034808337688446,0.26827168464660645,0.32389625906944275
willing,0.4653003215789795,0.18537743389606476,0.2583622932434082,0.39964011311531067,0.337220162153244,0.3350007236003876,0.29028499126434326,0.39096277952194214,0.26169851422309875,0.3014701306819916,0.22297969460487366,0.36130982637405396,0.3632853031158447,0.2843675911426544,0.4667879343032837,0.2556140422821045,0.3273140490055084,0.22778256237506866,0.4091795086860657
workers,0.21390831470489502,0.16085883975028992,0.23066683113574982,0.1719813048839569,0.24131540954113007,0.2527289092540741,0.25033822655677795,0.32602551579475403,0.17254844307899475,0.21683305501937866,0.21967428922653198,0.20546524226665497,0.2864622473716736,1.0000001192092896,0.191781148314476,0.271828830242157,0.1613643765449524,0.20571766793727875,0.1706571877002716
