,what,actually,causes,rigidity,in,matter,?
however,0.4480680823326111,0.557626485824585,0.2402690201997757,0.35726237297058105,0.3982149362564087,0.3901543915271759,0.2152075469493866
",",0.3087472915649414,0.34130755066871643,0.3057606518268585,0.20890715718269348,0.5201468467712402,0.26075416803359985,0.31091248989105225
these,0.4164220690727234,0.402628630399704,0.2418181598186493,0.3313664197921753,0.3791837692260742,0.29035040736198425,0.2571668326854706
characteristics,0.3016658127307892,0.27859044075012207,0.2518896162509918,0.5056995153427124,0.22450780868530273,0.2673287093639374,0.13894438743591309
actually,0.5747550129890442,0.9999998807907104,0.14748384058475494,0.25365933775901794,0.3058476448059082,0.43144264817237854,0.36036357283592224
result,0.19945499300956726,0.1767210066318512,0.3677743375301361,0.21598465740680695,0.25670310854911804,0.26185479760169983,0.17218433320522308
from,0.2737620174884796,0.2830860912799835,0.31693553924560547,0.11485201120376587,0.4274188280105591,0.16264328360557556,0.19969791173934937
the,0.42745697498321533,0.39964747428894043,0.2518732249736786,0.2413882315158844,0.6662389636039734,0.2957161068916321,0.22068053483963013
pauli,0.1464306265115738,0.21475926041603088,0.09396637231111526,0.20290188491344452,0.2356177568435669,0.3045225739479065,0.11045613139867783
exclusion,0.29697898030281067,0.278543084859848,0.15271291136741638,0.2736970782279968,0.2202470302581787,0.3828127980232239,0.1725074052810669
principle,0.3569014072418213,0.33757340908050537,0.1816173642873764,0.37828806042671204,0.16382117569446564,0.43019142746925354,0.2002675086259842
.,0.3567904531955719,0.31523430347442627,0.26090872287750244,0.19063948094844818,0.5591574311256409,0.2540481984615326,0.4130953550338745
