,how,did,denver,score,at,the,end,of,the,drive,?
despite,0.180110901594162,0.38115930557250977,0.13984671235084534,0.1422814130783081,0.2349601536989212,0.3172689974308014,0.16050463914871216,0.33505672216415405,0.3172689974308014,0.2036740481853485,0.14350546896457672
denver,0.15631112456321716,0.16413381695747375,1.0,0.1512077897787094,0.18947194516658783,0.2052404284477234,0.15781165659427643,0.14595118165016174,0.2052404284477234,0.12098202109336853,0.1520889848470688
's,-0.026164190843701363,0.05069678649306297,-0.08765961974859238,0.06112585589289665,-0.08481216430664062,-0.01540423184633255,0.030466308817267418,-0.03817026689648628,-0.01540423184633255,0.051911450922489166,-0.023395681753754616
excellent,0.22848455607891083,0.22823521494865417,0.06922534853219986,0.18432295322418213,0.1976642608642578,0.20157980918884277,0.09171869605779648,0.26140400767326355,0.20157980918884277,0.15166640281677246,0.1368298977613449
field,0.19519785046577454,0.16789361834526062,0.17716234922409058,0.1500541716814041,0.190035879611969,0.2105809599161148,0.12208939343690872,0.20410659909248352,0.2105809599161148,0.10428697615861893,0.11279727518558502
position,0.19999539852142334,0.2170831561088562,0.12461010366678238,0.22113469243049622,0.20755837857723236,0.3183514177799225,0.20241278409957886,0.23636478185653687,0.3183514177799225,0.14496029913425446,0.15529610216617584
",",0.22659391164779663,0.3015086054801941,0.25173696875572205,0.16025088727474213,0.38314947485923767,0.4933079481124878,0.25448864698410034,0.4946078956127167,0.4933079481124878,0.17920437455177307,0.31091248989105225
they,0.43247655034065247,0.4879390597343445,0.23547865450382233,0.12757958471775055,0.29493749141693115,0.49925389885902405,0.309691846370697,0.3426007330417633,0.49925389885902405,0.23898549377918243,0.2753053903579712
could,0.47830453515052795,0.6308382749557495,0.153549462556839,0.11449047178030014,0.25692954659461975,0.35393214225769043,0.1979013830423355,0.29043012857437134,0.35393214225769043,0.24801388382911682,0.3411986827850342
not,0.4869767427444458,0.6481515765190125,0.1696128249168396,0.19024479389190674,0.22025953233242035,0.4310511648654938,0.26028093695640564,0.3307090103626251,0.4310511648654938,0.23259197175502777,0.41942933201789856
