,how,many,astronauts,visited,space,on,missions,and,were,rewarded,for,their,efforts,?
nasa,0.20395343005657196,0.15574845671653748,0.5660800933837891,0.16085511445999146,0.4611377716064453,0.18220403790473938,0.38373640179634094,0.12810774147510529,0.13781481981277466,0.10754638910293579,0.17481353878974915,0.15060406923294067,0.1649291217327118,0.1809994876384735
awarded,0.09981115907430649,0.14274966716766357,0.13331612944602966,0.19006186723709106,0.09553831815719604,0.1811772733926773,0.23266635835170746,0.20351465046405792,0.1946011483669281,0.6567837595939636,0.2816879153251648,0.1778663992881775,0.27360427379608154,0.1431703418493271
all,0.3725806474685669,0.5443700551986694,0.23861883580684662,0.16266945004463196,0.20075727999210358,0.3832052946090698,0.250182569026947,0.4542157053947449,0.4387909770011902,0.22967174649238586,0.41144001483917236,0.47224584221839905,0.24859699606895447,0.29575422406196594
32,-0.0881153866648674,-0.07172217220067978,0.0944627895951271,0.1527744084596634,0.02269413135945797,-0.004896556492894888,0.12059569358825684,-0.05431829392910004,0.044248174875974655,0.011766049079596996,0.01690162718296051,-0.03408168628811836,0.0690508633852005,0.04494665935635567
of,0.2480744868516922,0.37253960967063904,0.16999632120132446,0.25362586975097656,0.21300287544727325,0.3966929316520691,0.2598918080329895,0.5116966962814331,0.34038281440734863,0.26320651173591614,0.4185989499092102,0.4329940676689148,0.23738951981067657,0.1826142966747284
these,0.41104358434677124,0.7077717185020447,0.200467050075531,0.19518844783306122,0.20008286833763123,0.32800400257110596,0.33472466468811035,0.5314885973930359,0.587685227394104,0.20762848854064941,0.41566818952560425,0.555290937423706,0.277448445558548,0.2571668326854706
astronauts,0.18454807996749878,0.17227493226528168,0.9999999403953552,0.25240206718444824,0.543439507484436,0.2219601273536682,0.43658554553985596,0.20313000679016113,0.2418980598449707,0.1387181431055069,0.2060912698507309,0.21916906535625458,0.2373032420873642,0.15138289332389832
its,0.22449488937854767,0.3319723308086395,0.13791292905807495,0.11228989064693451,0.1449410319328308,0.34331920742988586,0.18961894512176514,0.3841775357723236,0.20452921092510223,0.16942079365253448,0.2992613911628723,0.5367968082427979,0.23206721246242523,0.15103481709957123
highest,0.09736836701631546,0.18659456074237823,0.09930331259965897,0.15506981313228607,0.08772081881761551,0.21068012714385986,0.17857927083969116,0.22372882068157196,0.13684317469596863,0.26002976298332214,0.2320692539215088,0.20257066190242767,0.14627611637115479,0.11527936160564423
honor,0.14198820292949677,0.22120507061481476,0.1832597553730011,0.22359582781791687,0.13395178318023682,0.19717876613140106,0.23742768168449402,0.18950335681438446,0.2381492555141449,0.40865540504455566,0.26361149549484253,0.18591350317001343,0.26379913091659546,0.1187526285648346
