,peroxides,",",nitrates,and,dichromates,are,examples,of,what,type,of,compounds,?
combustion,0.5271396636962891,0.2079315334558487,0.47478801012039185,0.21818570792675018,0.48693540692329407,0.25038084387779236,0.342891663312912,0.25126782059669495,0.2678600549697876,0.34383919835090637,0.25126782059669495,0.4635448157787323,0.2177530825138092
hazards,0.34561899304389954,0.2665940523147583,0.380293607711792,0.2855883836746216,0.3405708372592926,0.29801955819129944,0.3229740858078003,0.2060418576002121,0.24034540355205536,0.2265411615371704,0.2060418576002121,0.4042167365550995,0.22479578852653503
also,0.34430980682373047,0.4717654287815094,0.34409859776496887,0.5755972862243652,0.31068506836891174,0.4565894305706024,0.3816637396812439,0.4924938678741455,0.42747777700424194,0.26631516218185425,0.4924938678741455,0.34328946471214294,0.21848613023757935
apply,0.21845605969429016,0.2953256368637085,0.1513468623161316,0.2759774923324585,0.23925752937793732,0.34605443477630615,0.2801315486431122,0.23030845820903778,0.3400125503540039,0.20450221002101898,0.23030845820903778,0.2458229660987854,0.3161788284778595
to,0.2812531888484955,0.44245919585227966,0.22816568613052368,0.48971283435821533,0.25388649106025696,0.3504326641559601,0.23809245228767395,0.41548454761505127,0.455847829580307,0.19930607080459595,0.41548454761505127,0.29820382595062256,0.29463258385658264
compounds,0.7421301603317261,0.20700839161872864,0.6691848635673523,0.25433242321014404,0.7113356590270996,0.3708919882774353,0.3583625555038452,0.232599675655365,0.19472219049930573,0.2269091010093689,0.232599675655365,0.9999999403953552,0.2057836651802063
of,0.22861802577972412,0.4946078956127167,0.22266438603401184,0.5116966962814331,0.23791204392910004,0.39081433415412903,0.3054686188697815,1.0,0.33290785551071167,0.18112817406654358,1.0,0.232599675655365,0.1826142966747284
oxygen,0.6189711689949036,0.21812842786312103,0.558445930480957,0.22261030972003937,0.55951988697052,0.24342744052410126,0.21730482578277588,0.16848602890968323,0.16781960427761078,0.16191279888153076,0.16848602890968323,0.514471173286438,0.16786395013332367
with,0.26870474219322205,0.4120737314224243,0.28143197298049927,0.5477725267410278,0.3418287932872772,0.38996943831443787,0.2860853374004364,0.41827285289764404,0.2464839518070221,0.1964726597070694,0.41827285289764404,0.23910129070281982,0.2433311939239502
a,0.26327595114707947,0.427140474319458,0.2659958600997925,0.3739250600337982,0.2970806956291199,0.265255331993103,0.2633219361305237,0.5052502155303955,0.3320399522781372,0.3813284635543823,0.5052502155303955,0.23579706251621246,0.23916715383529663
high,0.21708710491657257,0.27938312292099,0.2318815141916275,0.2911888659000397,0.19535110890865326,0.21708175539970398,0.1524040848016739,0.2803038954734802,0.20466077327728271,0.19402813911437988,0.2803038954734802,0.2174522429704666,0.11137914657592773
