,what,force,changes,an,objects,direction,of,travel,?
this,0.5489566326141357,0.2764977812767029,0.4571877419948578,0.41881775856018066,0.29637277126312256,0.29708150029182434,0.45148900151252747,0.25282320380210876,0.3155723512172699
yields,0.16749948263168335,0.22437268495559692,0.18111233413219452,0.20442382991313934,0.2599317133426666,0.21535451710224152,0.19571909308433533,0.1130075454711914,0.20131081342697144
both,0.3361809551715851,0.2151227593421936,0.19943642616271973,0.24217435717582703,0.21777112782001495,0.2499811053276062,0.3565710783004761,0.2193465232849121,0.19455738365650177
the,0.42745697498321533,0.2800885736942291,0.3427845537662506,0.4207492768764496,0.24716724455356598,0.28851455450057983,0.733189046382904,0.2857808768749237,0.22068053483963013
tangential,0.28561630845069885,0.24257424473762512,0.2673566937446594,0.23938827216625214,0.32000601291656494,0.3608654737472534,0.24861739575862885,0.22318921983242035,0.21646267175674438
force,0.16915984451770782,1.0000001192092896,0.180230513215065,0.21655116975307465,0.27373945713043213,0.28222864866256714,0.27094775438308716,0.1950242668390274,0.1650998443365097
",",0.3087472915649414,0.22091743350028992,0.23045918345451355,0.3581022024154663,0.21213118731975555,0.23287029564380646,0.4946078956127167,0.2159072756767273,0.31091248989105225
which,0.5261979103088379,0.22571609914302826,0.3407791256904602,0.3611921966075897,0.30641767382621765,0.2687985599040985,0.5011631846427917,0.24070590734481812,0.25814583897590637
accelerates,0.2586190104484558,0.4056399166584015,0.26596030592918396,0.17824651300907135,0.37532708048820496,0.4072832465171814,0.23022964596748352,0.3099290430545807,0.13790977001190186
the,0.42745697498321533,0.2800885736942291,0.3427845537662506,0.4207492768764496,0.24716724455356598,0.28851455450057983,0.733189046382904,0.2857808768749237,0.22068053483963013
object,0.25733083486557007,0.32587239146232605,0.26538312435150146,0.2576858103275299,0.7614457607269287,0.36791664361953735,0.1993778944015503,0.20082668960094452,0.19573666155338287
by,0.2455483376979828,0.24997374415397644,0.220808207988739,0.2719563841819763,0.22672481834888458,0.27348291873931885,0.3646814823150635,0.20530667901039124,0.17966607213020325
either,0.3851809501647949,0.12628859281539917,0.2651517391204834,0.23698745667934418,0.26281115412712097,0.22692565619945526,0.24225673079490662,0.14777778089046478,0.31498292088508606
slowing,0.32273513078689575,0.35896143317222595,0.3384036123752594,0.24227547645568848,0.2750509977340698,0.37102797627449036,0.28170356154441833,0.34290334582328796,0.1642092615365982
it,0.45803478360176086,0.22565218806266785,0.29838016629219055,0.39472338557243347,0.2569741904735565,0.2525825798511505,0.38761502504348755,0.21181634068489075,0.25732165575027466
down,0.26226112246513367,0.20784908533096313,0.18448181450366974,0.12891331315040588,0.17367339134216309,0.2405564785003662,0.23279321193695068,0.1692793369293213,0.13836295902729034
or,0.33867141604423523,0.18476234376430511,0.2474553883075714,0.3096676766872406,0.3741072118282318,0.2034183144569397,0.3792596757411957,0.22116240859031677,0.32389625906944275
