,what,kind,of,chloroplasts,do,cryptophytes,have,?
cryptophytes,0.25447502732276917,0.31696775555610657,0.2353418618440628,0.6236157417297363,0.25424250960350037,0.9999999403953552,0.3356054425239563,0.20016558468341827
",",0.3087472915649414,0.20629581809043884,0.4946078956127167,0.20794041454792023,0.3283645510673523,0.22682742774486542,0.3541618287563324,0.31091248989105225
or,0.33867141604423523,0.4102349579334259,0.3792596757411957,0.3088610768318176,0.39439281821250916,0.33525630831718445,0.46389055252075195,0.32389625906944275
cryptomonads,0.22801515460014343,0.28124523162841797,0.24866744875907898,0.4707310199737549,0.2042173594236374,0.8020464777946472,0.23711815476417542,0.16012276709079742
are,0.29724663496017456,0.296465665102005,0.39081433415412903,0.3103833794593811,0.41111594438552856,0.3913438320159912,0.6577680706977844,0.24591213464736938
a,0.3320399522781372,0.42310917377471924,0.5052502155303955,0.24622295796871185,0.26237669587135315,0.23039482533931732,0.338716596364975,0.23916715383529663
group,0.2114069163799286,0.23503069579601288,0.25542253255844116,0.26329079270362854,0.18869154155254364,0.30187851190567017,0.3034582734107971,0.13827809691429138
of,0.33290785551071167,0.2285657674074173,1.0,0.23179760575294495,0.26150479912757874,0.2353418618440628,0.3802283704280853,0.1826142966747284
algae,0.1909741312265396,0.25660479068756104,0.17768362164497375,0.668745756149292,0.24521787464618683,0.5894618630409241,0.29609477519989014,0.15479309856891632
that,0.6297725439071655,0.38161981105804443,0.41498205065727234,0.3177454173564911,0.44533252716064453,0.3083709478378296,0.6182622313499451,0.32716336846351624
contain,0.1832355558872223,0.2706027626991272,0.30574339628219604,0.3972540497779846,0.31365397572517395,0.3619997203350067,0.49726441502571106,0.18853069841861725
a,0.3320399522781372,0.42310917377471924,0.5052502155303955,0.24622295796871185,0.26237669587135315,0.23039482533931732,0.338716596364975,0.23916715383529663
red-algal,0.2599911689758301,0.21624435484409332,0.244371235370636,0.4955252707004547,0.29187241196632385,0.4473329186439514,0.328254371881485,0.24995052814483643
derived,0.20143714547157288,0.2652199864387512,0.28474852442741394,0.27001258730888367,0.13417978584766388,0.34028199315071106,0.20085886120796204,0.1241099163889885
chloroplast,0.23505516350269318,0.2457917332649231,0.2069506198167801,0.9777651429176331,0.2310386300086975,0.5950047969818115,0.26476383209228516,0.12532055377960205
.,0.3567904531955719,0.21254374086856842,0.5352458953857422,0.23868323862552643,0.3613996207714081,0.24155569076538086,0.41614407300949097,0.4130953550338745
