,which,section,of,the,rhine,is,most,factories,found,?
although,0.3901670575141907,0.14632439613342285,0.3024747669696808,0.3265823423862457,0.14405955374240875,0.301360160112381,0.35402846336364746,0.21820247173309326,0.2819443941116333,0.15541206300258636
many,0.5168171525001526,0.19765910506248474,0.37253960967063904,0.4335206151008606,0.11647748202085495,0.2649032473564148,0.6236066222190857,0.4079415798187256,0.27700337767601013,0.2124512493610382
plants,0.3458610773086548,0.1339976191520691,0.29386165738105774,0.29499560594558716,0.11852127313613892,0.2423158437013626,0.21896736323833466,0.326488733291626,0.2663109004497528,0.1473488062620163
and,0.506277859210968,0.262373685836792,0.5116966962814331,0.5171257257461548,0.22029656171798706,0.3859752118587494,0.4309377074241638,0.33217841386795044,0.27978911995887756,0.20544172823429108
factories,0.3074045777320862,0.06958519667387009,0.28616368770599365,0.2603243589401245,0.2563677430152893,0.20332540571689606,0.2968873679637909,1.0,0.2022012174129486,0.13455291092395782
can,0.41132649779319763,0.27285343408584595,0.2603091299533844,0.312528520822525,0.09961956739425659,0.44256699085235596,0.3452373743057251,0.24614955484867096,0.24230946600437164,0.3226337134838104
be,0.476310670375824,0.318050742149353,0.33904364705085754,0.4248143136501312,0.18054811656475067,0.4819129705429077,0.3381733000278473,0.22719009220600128,0.23313552141189575,0.3324260413646698
found,0.25134438276290894,0.14827772974967957,0.2982911467552185,0.3452354073524475,0.1264849454164505,0.3526395261287689,0.2697452902793884,0.2022012174129486,0.9999999403953552,0.16790300607681274
along,0.33404073119163513,0.13652440905570984,0.34889817237854004,0.39495137333869934,0.24867600202560425,0.23571021854877472,0.2380090206861496,0.21030418574810028,0.19864152371883392,0.17134909331798553
the,0.6521818041801453,0.3365345895290375,0.733189046382904,1.0,0.30735138058662415,0.5823672413825989,0.47635307908058167,0.2603243589401245,0.3452354073524475,0.22068053483963013
rhine,0.18744276463985443,0.15145494043827057,0.2548927664756775,0.30735138058662415,1.0,0.15617261826992035,0.11507835239171982,0.2563677430152893,0.1264849454164505,0.13754533231258392
up,0.36388060450553894,0.1679106205701828,0.32945773005485535,0.38423117995262146,0.1867746114730835,0.2853454053401947,0.1990664303302765,0.2784477174282074,0.22119106352329254,0.1819818764925003
into,0.4405161738395691,0.19350409507751465,0.32255905866622925,0.39493247866630554,0.1991104632616043,0.2619607150554657,0.19537433981895447,0.22855396568775177,0.1823275089263916,0.15662476420402527
switzerland,0.19017893075942993,0.1034049391746521,0.22564564645290375,0.25689372420310974,0.32351648807525635,0.22848938405513763,0.24754071235656738,0.25219598412513733,0.17600366473197937,0.13347817957401276
",",0.3658004403114319,0.2615945339202881,0.4946078956127167,0.4933079481124878,0.167837992310524,0.4691906273365021,0.3636029064655304,0.25142666697502136,0.27385151386260986,0.31091248989105225
it,0.616637647151947,0.3210811913013458,0.38761502504348755,0.6251175999641418,0.17693428695201874,0.6328473687171936,0.4001435935497284,0.3077548146247864,0.3907957971096039,0.25732165575027466
is,0.4457404911518097,0.22237545251846313,0.4854315221309662,0.5823672413825989,0.15617261826992035,1.0,0.41165053844451904,0.20332540571689606,0.3526395261287689,0.22961433231830597
along,0.33404073119163513,0.13652440905570984,0.34889817237854004,0.39495137333869934,0.24867600202560425,0.23571021854877472,0.2380090206861496,0.21030418574810028,0.19864152371883392,0.17134909331798553
the,0.6521818041801453,0.3365345895290375,0.733189046382904,1.0,0.30735138058662415,0.5823672413825989,0.47635307908058167,0.2603243589401245,0.3452354073524475,0.22068053483963013
lower,0.35006284713745117,0.2404729723930359,0.31757521629333496,0.3463275134563446,0.28043457865715027,0.20806168019771576,0.2018900364637375,0.16774941980838776,0.20702838897705078,0.08471795171499252
rhine,0.18744276463985443,0.15145494043827057,0.2548927664756775,0.30735138058662415,1.0,0.15617261826992035,0.11507835239171982,0.2563677430152893,0.1264849454164505,0.13754533231258392
that,0.6894589066505432,0.2808297276496887,0.41498205065727234,0.5473989248275757,0.16362759470939636,0.3995479643344879,0.4497850239276886,0.278912216424942,0.29063743352890015,0.32716336846351624
the,0.6521818041801453,0.3365345895290375,0.733189046382904,1.0,0.30735138058662415,0.5823672413825989,0.47635307908058167,0.2603243589401245,0.3452354073524475,0.22068053483963013
bulk,0.30920323729515076,0.13332514464855194,0.2895064651966095,0.2220524251461029,0.1682240515947342,0.23638124763965607,0.21337561309337616,0.29315951466560364,0.20500512421131134,0.14538165926933289
of,0.5011631846427917,0.21215301752090454,1.0,0.733189046382904,0.2548927664756775,0.4854315221309662,0.4178851246833801,0.28616368770599365,0.2982911467552185,0.1826142966747284
them,0.4958057701587677,0.23574233055114746,0.34503093361854553,0.4788833558559418,0.16000233590602875,0.2390832006931305,0.41988104581832886,0.2976008355617523,0.22090932726860046,0.35435691475868225
are,0.42922598123550415,0.2015407681465149,0.39081433415412903,0.40399202704429626,0.13834848999977112,0.5330929756164551,0.48698675632476807,0.3018348813056946,0.2740558087825775,0.24591213464736938
concentrated,0.27207332849502563,0.12256689369678497,0.28396520018577576,0.2688957750797272,0.1625138521194458,0.25344735383987427,0.3210751712322235,0.36284416913986206,0.23812438547611237,0.11501483619213104
",",0.3658004403114319,0.2615945339202881,0.4946078956127167,0.4933079481124878,0.167837992310524,0.4691906273365021,0.3636029064655304,0.25142666697502136,0.27385151386260986,0.31091248989105225
