,what,reality,series,was,the,first,spinoff,of,the,bachelor,for,abc,?
2002,0.02542238123714924,0.08362507820129395,0.02965402603149414,-0.07885236293077469,-0.07970229536294937,-0.012128324247896671,0.03420703113079071,-0.05071645230054855,-0.07970229536294937,-0.07476593554019928,-0.03412793204188347,-0.03166643902659416,0.045828185975551605
saw,0.24788837134838104,0.18480932712554932,0.1828347146511078,0.42132335901260376,0.318278044462204,0.33369511365890503,0.23574784398078918,0.28204935789108276,0.318278044462204,0.1188521683216095,0.2966398596763611,0.09962060302495956,0.14690998196601868
the,0.42745697498321533,0.2677460014820099,0.31376904249191284,0.48711544275283813,1.0,0.49448907375335693,0.27353307604789734,0.733189046382904,1.0,0.17960217595100403,0.4739971458911896,0.2068762183189392,0.22068053483963013
debut,0.12330318242311478,0.2037990391254425,0.2827463150024414,0.2954440414905548,0.2226441204547882,0.4099076986312866,0.17686815559864044,0.12960465252399445,0.2226441204547882,0.17046119272708893,0.2246619164943695,0.15660154819488525,0.10726679861545563
of,0.33290785551071167,0.22407591342926025,0.22268271446228027,0.4069072902202606,0.733189046382904,0.3536086082458496,0.2608235478401184,1.0,0.733189046382904,0.162046417593956,0.4185989499092102,0.14607268571853638,0.1826142966747284
the,0.42745697498321533,0.2677460014820099,0.31376904249191284,0.48711544275283813,1.0,0.49448907375335693,0.27353307604789734,0.733189046382904,1.0,0.17960217595100403,0.4739971458911896,0.2068762183189392,0.22068053483963013
network,0.16917307674884796,0.3653101325035095,0.38316288590431213,0.1994880586862564,0.27187061309814453,0.2069581300020218,0.27600306272506714,0.21800683438777924,0.27187061309814453,0.18751563131809235,0.253274142742157,0.4295894205570221,0.17853789031505585
's,0.02692362666130066,0.10772097110748291,0.0006390819908119738,0.008974763564765453,-0.01540423184633255,-0.014458609744906425,0.009391658939421177,-0.03817026689648628,-0.01540423184633255,-0.03428642824292183,-0.07241261005401611,0.06670809537172318,-0.023395681753754616
first,0.28086137771606445,0.1906806081533432,0.3264976441860199,0.5022147297859192,0.49448907375335693,1.0,0.27454590797424316,0.3536086082458496,0.49448907375335693,0.23668824136257172,0.3800288736820221,0.2403600513935089,0.18701928853988647
hit,0.22790727019309998,0.1785811483860016,0.16686764359474182,0.25608164072036743,0.2674407958984375,0.24379001557826996,0.21210913360118866,0.1960723102092743,0.2674407958984375,0.15397824347019196,0.17693012952804565,0.137809619307518,0.14460130035877228
reality,0.3121267557144165,1.0,0.4090477228164673,0.19640132784843445,0.2677460014820099,0.1906806081533432,0.3003614544868469,0.22407591342926025,0.2677460014820099,0.16241435706615448,0.17460638284683228,0.34172865748405457,0.20780257880687714
series,0.17328087985515594,0.4090477228164673,1.0000001192092896,0.2261398285627365,0.31376904249191284,0.3264976441860199,0.46288928389549255,0.22268271446228027,0.31376904249191284,0.18071764707565308,0.2715710699558258,0.38518208265304565,0.1709602326154709
",",0.3087472915649414,0.2389596849679947,0.24060699343681335,0.45456063747406006,0.4933079481124878,0.34503069519996643,0.33401575684547424,0.4946078956127167,0.4933079481124878,0.23690266907215118,0.4464869201183319,0.2097204476594925,0.31091248989105225
the,0.42745697498321533,0.2677460014820099,0.31376904249191284,0.48711544275283813,1.0,0.49448907375335693,0.27353307604789734,0.733189046382904,1.0,0.17960217595100403,0.4739971458911896,0.2068762183189392,0.22068053483963013
bachelor,0.19332286715507507,0.16241435706615448,0.18071764707565308,0.2008683979511261,0.17960217595100403,0.23668824136257172,0.1904287338256836,0.162046417593956,0.17960217595100403,1.0000001192092896,0.18484891951084137,0.1776827871799469,0.07728833705186844
(,0.2411840260028839,0.15716414153575897,0.21145714819431305,0.2980341613292694,0.33289089798927307,0.2450505793094635,0.18544432520866394,0.35032153129577637,0.33289089798927307,0.11268146336078644,0.3357032239437103,0.183883935213089,0.40561532974243164
the,0.42745697498321533,0.2677460014820099,0.31376904249191284,0.48711544275283813,1.0,0.49448907375335693,0.27353307604789734,0.733189046382904,1.0,0.17960217595100403,0.4739971458911896,0.2068762183189392,0.22068053483963013
elimination-style,0.2621387541294098,0.27192166447639465,0.31895822286605835,0.11924745887517929,0.246994748711586,0.2241445779800415,0.1740974485874176,0.21167609095573425,0.246994748711586,0.22229546308517456,0.21144263446331024,0.21028688549995422,0.26201173663139343
dating,0.19090399146080017,0.205810546875,0.18975502252578735,0.17555896937847137,0.23401090502738953,0.1771058589220047,0.18474186956882477,0.2134421318769455,0.23401090502738953,0.12642432749271393,0.20495396852493286,0.18864980340003967,0.1135709211230278
show,0.29653704166412354,0.4710255563259125,0.41789430379867554,0.20142383873462677,0.319829523563385,0.23758427798748016,0.3217654824256897,0.21383242309093475,0.319829523563385,0.19122055172920227,0.3141973614692688,0.4449407458305359,0.2520138621330261
's,0.02692362666130066,0.10772097110748291,0.0006390819908119738,0.008974763564765453,-0.01540423184633255,-0.014458609744906425,0.009391658939421177,-0.03817026689648628,-0.01540423184633255,-0.03428642824292183,-0.07241261005401611,0.06670809537172318,-0.023395681753754616
success,0.22873179614543915,0.19462381303310394,0.24598896503448486,0.315643846988678,0.2764457166194916,0.3858335614204407,0.24121730029582977,0.20485365390777588,0.2764457166194916,0.24133826792240143,0.25930920243263245,0.22851410508155823,0.1216118186712265
led,0.12112844735383987,0.16304224729537964,0.19765207171440125,0.34443995356559753,0.3267505168914795,0.29928895831108093,0.1787949800491333,0.32918456196784973,0.3267505168914795,0.09633752703666687,0.2628403306007385,0.15234695374965668,0.09273858368396759
to,0.455847829580307,0.2105104625225067,0.19879554212093353,0.3636345863342285,0.535392165184021,0.3792489171028137,0.2525556683540344,0.41548454761505127,0.535392165184021,0.17299802601337433,0.4451248347759247,0.1762417107820511,0.29463258385658264
a,0.3320399522781372,0.2078995257616043,0.23966510593891144,0.4508470594882965,0.5829201340675354,0.4287874400615692,0.23610427975654602,0.5052502155303955,0.5829201340675354,0.22000035643577576,0.44038116931915283,0.21331243216991425,0.23916715383529663
spinoff,0.16721636056900024,0.3003614544868469,0.46288928389549255,0.31281495094299316,0.27353307604789734,0.27454590797424316,1.0,0.2608235478401184,0.27353307604789734,0.1904287338256836,0.2866019904613495,0.34668293595314026,0.1432255059480667
",",0.3087472915649414,0.2389596849679947,0.24060699343681335,0.45456063747406006,0.4933079481124878,0.34503069519996643,0.33401575684547424,0.4946078956127167,0.4933079481124878,0.23690266907215118,0.4464869201183319,0.2097204476594925,0.31091248989105225
the,0.42745697498321533,0.2677460014820099,0.31376904249191284,0.48711544275283813,1.0,0.49448907375335693,0.27353307604789734,0.733189046382904,1.0,0.17960217595100403,0.4739971458911896,0.2068762183189392,0.22068053483963013
bachelorette,0.21901541948318481,0.22186274826526642,0.1922074258327484,0.21783602237701416,0.18688440322875977,0.22935080528259277,0.15955282747745514,0.14287804067134857,0.18688440322875977,0.7983185648918152,0.21786995232105255,0.21759499609470367,0.18595172464847565
",",0.3087472915649414,0.2389596849679947,0.24060699343681335,0.45456063747406006,0.4933079481124878,0.34503069519996643,0.33401575684547424,0.4946078956127167,0.4933079481124878,0.23690266907215118,0.4464869201183319,0.2097204476594925,0.31091248989105225
which,0.5261979103088379,0.2530808448791504,0.2484029233455658,0.2830964922904968,0.6521818041801453,0.3828166127204895,0.23744307458400726,0.5011631846427917,0.6521818041801453,0.1838749349117279,0.44095608592033386,0.1991286277770996,0.25814583897590637
premiered,0.14397189021110535,0.33128902316093445,0.4061662554740906,0.3313652276992798,0.2763466238975525,0.3443596065044403,0.3939725458621979,0.17575117945671082,0.2763466238975525,0.2313968986272812,0.15095366537570953,0.40666091442108154,0.21595802903175354
the,0.42745697498321533,0.2677460014820099,0.31376904249191284,0.48711544275283813,1.0,0.49448907375335693,0.27353307604789734,0.733189046382904,1.0,0.17960217595100403,0.4739971458911896,0.2068762183189392,0.22068053483963013
following,0.2506418824195862,0.12803447246551514,0.1420508325099945,0.16493390500545502,0.39779382944107056,0.27108168601989746,0.14865218102931976,0.3576679527759552,0.39779382944107056,0.14149200916290283,0.2965082824230194,0.1467348337173462,0.1555173695087433
year,0.15184831619262695,0.13327205181121826,0.2600080966949463,0.3209837079048157,0.3609684407711029,0.3099139928817749,0.1413799375295639,0.2578314542770386,0.3609684407711029,0.2569267451763153,0.29294124245643616,0.2373921275138855,0.18315006792545319
",",0.3087472915649414,0.2389596849679947,0.24060699343681335,0.45456063747406006,0.4933079481124878,0.34503069519996643,0.33401575684547424,0.4946078956127167,0.4933079481124878,0.23690266907215118,0.4464869201183319,0.2097204476594925,0.31091248989105225
