,in,computational,complexity,theory,",",what,is,the,term,given,to,describe,the,baseline,abstract,question,needing,to,be,solved,?
the,0.6662389636039734,0.18477948009967804,0.21171598136425018,0.2277156263589859,0.4933079481124878,0.42745697498321533,0.5823672413825989,1.0,0.2740369141101837,0.37508252263069153,0.535392165184021,0.26495152711868286,1.0,0.31602901220321655,0.1658366620540619,0.28031662106513977,0.24663177132606506,0.535392165184021,0.4248143136501312,0.21140827238559723,0.22068053483963013
input,0.10243455320596695,0.3868173062801361,0.4045132100582123,0.2254951000213623,0.24717740714550018,0.2844698429107666,0.2170686423778534,0.19928309321403503,0.08799411356449127,0.24745428562164307,0.25947481393814087,0.0959140956401825,0.19928309321403503,0.32736676931381226,0.26756393909454346,0.32663288712501526,0.30545973777770996,0.25947481393814087,0.28701671957969666,0.3054386377334595,0.24861721694469452
string,0.14018605649471283,0.3567862808704376,0.1827016919851303,0.275277704000473,0.22835667431354523,0.17737996578216553,0.1763434112071991,0.19217795133590698,0.11618243157863617,0.12022988498210907,0.19593879580497742,0.08160015940666199,0.19217795133590698,0.2667676508426666,0.2454516887664795,0.21894749999046326,0.21205440163612366,0.19593879580497742,0.1828756183385849,0.15873998403549194,0.16560307145118713
for,0.4322226941585541,0.3473072648048401,0.27243003249168396,0.20500218868255615,0.4464869201183319,0.3017193675041199,0.43268078565597534,0.4739971458911896,0.2766548991203308,0.44294488430023193,0.4451248347759247,0.2845272719860077,0.4739971458911896,0.2450321465730667,0.2061072140932083,0.28556302189826965,0.32982707023620605,0.4451248347759247,0.3801851272583008,0.18016043305397034,0.264628142118454
a,0.539380669593811,0.29858994483947754,0.27206721901893616,0.2233850657939911,0.427140474319458,0.3320399522781372,0.658733606338501,0.5829201340675354,0.3080509603023529,0.3335871398448944,0.45503583550453186,0.3062607944011688,0.5829201340675354,0.3275701701641083,0.22289444506168365,0.3184618055820465,0.2794986665248871,0.45503583550453186,0.39883795380592346,0.18525584042072296,0.23916715383529663
computational,0.2346334308385849,1.0,0.6165810823440552,0.4716552495956421,0.28742313385009766,0.29464593529701233,0.2470806986093521,0.18477948009967804,0.2597770094871521,0.26848718523979187,0.246933713555336,0.32838425040245056,0.18477948009967804,0.3969987630844116,0.49083101749420166,0.36608853936195374,0.30910348892211914,0.246933713555336,0.2993409335613251,0.39239147305488586,0.21617397665977478
problem,0.16969570517539978,0.41473615169525146,0.5039530992507935,0.32978713512420654,0.23938199877738953,0.42183366417884827,0.23238427937030792,0.24928659200668335,0.21863089501857758,0.2566664516925812,0.2502208352088928,0.25103363394737244,0.24928659200668335,0.2251773476600647,0.3003849685192108,0.5284451246261597,0.40649178624153137,0.2502208352088928,0.347878634929657,0.5690774321556091,0.3762950301170349
is,0.5394441485404968,0.2470806986093521,0.2541271150112152,0.19279582798480988,0.4691906273365021,0.28837618231773376,1.0,0.5823672413825989,0.270183801651001,0.249215230345726,0.42745086550712585,0.27898338437080383,0.5823672413825989,0.2786574959754944,0.19140587747097015,0.2606692314147949,0.21570008993148804,0.42745086550712585,0.4819129705429077,0.16888999938964844,0.22961433231830597
referred,0.24766652286052704,0.17967377603054047,0.193390354514122,0.16805580258369446,0.2511569857597351,0.16724665462970734,0.3144040107727051,0.3088674545288086,0.41696327924728394,0.28776559233665466,0.22845174372196198,0.4758967161178589,0.3088674545288086,0.1550603061914444,0.2385227233171463,0.18042711913585663,0.16965201497077942,0.22845174372196198,0.27025455236434937,0.15411590039730072,0.06677805632352829
to,0.45010748505592346,0.246933713555336,0.28336837887763977,0.21947365999221802,0.44245919585227966,0.455847829580307,0.42745086550712585,0.535392165184021,0.3310292959213257,0.3428947925567627,1.0,0.3167092204093933,0.535392165184021,0.2620600759983063,0.20593324303627014,0.33945542573928833,0.3268548548221588,1.0,0.4972836375236511,0.1576203852891922,0.29463258385658264
as,0.3887844979763031,0.22144010663032532,0.22960948944091797,0.18675357103347778,0.48816442489624023,0.31749409437179565,0.43216490745544434,0.48381632566452026,0.3224089443683624,0.32487574219703674,0.42092081904411316,0.32652774453163147,0.48381632566452026,0.24999627470970154,0.21166642010211945,0.28374266624450684,0.25142279267311096,0.42092081904411316,0.5230465531349182,0.18338219821453094,0.27043893933296204
