,what,color,was,used,to,emphasize,the,50th,anniversary,of,the,super,bowl,?
as,0.31749409437179565,0.21893621981143951,0.3677520453929901,0.35160550475120544,0.42092081904411316,0.28614166378974915,0.48381632566452026,0.07544080913066864,0.15546119213104248,0.3886612355709076,0.48381632566452026,0.21450649201869965,0.14539222419261932,0.27043893933296204
this,0.5489566326141357,0.2906044125556946,0.3638818562030792,0.3996967375278473,0.5759071707725525,0.2529720067977905,0.6274310946464539,0.09701139479875565,0.22938545048236847,0.45148900151252747,0.6274310946464539,0.1776810586452484,0.17725728452205658,0.3155723512172699
was,0.22111038863658905,0.15961390733718872,1.0000001192092896,0.23679393529891968,0.3636345863342285,0.12959136068820953,0.48711544275283813,0.17689552903175354,0.28924626111984253,0.4069072902202606,0.48711544275283813,0.21420986950397491,0.21915455162525177,0.18412111699581146
the,0.42745697498321533,0.21895472705364227,0.48711544275283813,0.3718377649784088,0.535392165184021,0.23146559298038483,1.0,0.19595111906528473,0.29318708181381226,0.733189046382904,1.0,0.21959073841571808,0.21576224267482758,0.22068053483963013
50th,0.08142440766096115,0.15671612322330475,0.17689552903175354,0.08311188220977783,0.10572241246700287,0.1085854098200798,0.19595111906528473,1.0000001192092896,0.26162034273147583,0.11716882884502411,0.19595111906528473,0.14578431844711304,0.10496746003627777,0.004919986240565777
super,0.13651713728904724,0.16928184032440186,0.21420986950397491,0.18133796751499176,0.17783479392528534,0.10653692483901978,0.21959073841571808,0.14578431844711304,0.24517762660980225,0.14718765020370483,0.21959073841571808,1.0000001192092896,0.4848237931728363,0.166326642036438
bowl,0.15942467749118805,0.21894660592079163,0.21915455162525177,0.19533489644527435,0.16993016004562378,0.10729776322841644,0.21576224267482758,0.10496746003627777,0.26429256796836853,0.2243070751428604,0.21576224267482758,0.4848237931728363,1.0,0.21118052303791046
",",0.3087472915649414,0.20653429627418518,0.45456063747406006,0.3120402991771698,0.44245919585227966,0.24411337077617645,0.4933079481124878,0.1069522351026535,0.20396199822425842,0.4946078956127167,0.4933079481124878,0.22322475910186768,0.1810409277677536,0.31091248989105225
the,0.42745697498321533,0.21895472705364227,0.48711544275283813,0.3718377649784088,0.535392165184021,0.23146559298038483,1.0,0.19595111906528473,0.29318708181381226,0.733189046382904,1.0,0.21959073841571808,0.21576224267482758,0.22068053483963013
league,0.16616638004779816,0.21183139085769653,0.21425791084766388,0.14554552733898163,0.18720030784606934,0.07305143028497696,0.2724147439002991,0.10506757348775864,0.2356460839509964,0.23588460683822632,0.2724147439002991,0.37144264578819275,0.3365440368652344,0.15941482782363892
