,when,did,the,league,go,from,15,to,16,games,in,the,regular,season,?
despite,0.2876652181148529,0.38115930557250977,0.3172689974308014,0.14739231765270233,0.15500704944133759,0.2840229272842407,0.03347710147500038,0.3584847152233124,-0.021789932623505592,0.14836600422859192,0.27473363280296326,0.3172689974308014,0.2258727103471756,0.25890347361564636,0.14350546896457672
waiving,0.4000585973262787,0.27735698223114014,0.3694417178630829,0.2143351137638092,0.26865196228027344,0.24615725874900818,0.09857369214296341,0.3603929877281189,0.09368946403265,0.2463677078485489,0.3322989046573639,0.3694417178630829,0.28230151534080505,0.2095266878604889,0.242996484041214
longtime,0.24267715215682983,0.14097586274147034,0.2717287242412567,0.21749761700630188,0.13454513251781464,0.2213173508644104,0.10904296487569809,0.27073341608047485,-0.014399020001292229,0.1988455355167389,0.21562570333480835,0.2717287242412567,0.15504658222198486,0.17901133000850677,0.07657656818628311
running,0.25263121724128723,0.23744943737983704,0.28883472084999084,0.1772279441356659,0.2757730782032013,0.27257922291755676,0.050585754215717316,0.23381315171718597,0.050675783306360245,0.20172636210918427,0.2874506413936615,0.28883472084999084,0.2074413299560547,0.1752285361289978,0.15679655969142914
back,0.4184971749782562,0.2601068317890167,0.3612101674079895,0.17276912927627563,0.374642014503479,0.38032060861587524,0.048292793333530426,0.4675939381122589,0.0012179361656308174,0.1759859025478363,0.25397348403930664,0.3612101674079895,0.20954503118991852,0.16828195750713348,0.2397768795490265
deangelo,0.20058190822601318,0.16390806436538696,0.2024650275707245,0.17648369073867798,0.1843629777431488,0.16334637999534607,-0.01847424916923046,0.1988241821527481,0.005036127287894487,0.16194871068000793,0.24543344974517822,0.2024650275707245,0.09980743378400803,0.14086845517158508,0.18370559811592102
williams,0.1570398509502411,0.19792766869068146,0.20852252840995789,0.2111024558544159,0.1641569584608078,0.2123754471540451,0.1350787878036499,0.16808581352233887,0.09532024711370468,0.1935352087020874,0.16579249501228333,0.20852252840995789,0.18122559785842896,0.24283945560455322,0.1924409717321396
and,0.4716290831565857,0.34479495882987976,0.5171257257461548,0.211333766579628,0.35260969400405884,0.3601827025413513,0.031420208513736725,0.48971283435821533,0.0019370252266526222,0.23353584110736847,0.4954058527946472,0.5171257257461548,0.3054477870464325,0.2369309365749359,0.20544172823429108
losing,0.3588961660861969,0.2751401662826538,0.3114689588546753,0.22815601527690887,0.21296221017837524,0.2280932366847992,0.11396866291761398,0.2928483486175537,0.060107383877038956,0.2586594223976135,0.3055514097213745,0.3114689588546753,0.2360754907131195,0.23164252936840057,0.15056444704532623
top,0.17595329880714417,0.17264406383037567,0.31754136085510254,0.22052708268165588,0.1976468861103058,0.17560654878616333,-0.05811181664466858,0.20897358655929565,-0.01786755584180355,0.175840824842453,0.2235720455646515,0.31754136085510254,0.28424471616744995,0.24344053864479065,0.17265194654464722
wide,0.1817283183336258,0.11342455446720123,0.28078147768974304,0.1351335346698761,0.16102297604084015,0.19734066724777222,-0.05618598312139511,0.27017152309417725,0.08208872377872467,0.12222672998905182,0.22946839034557343,0.28078147768974304,0.225326806306839,0.1078408807516098,0.12719376385211945
receiver,0.21987920999526978,0.15293848514556885,0.21850530803203583,0.2915164530277252,0.20965470373630524,0.2255847007036209,-0.03222621977329254,0.25238820910453796,0.08980952203273773,0.18216568231582642,0.16248875856399536,0.21850530803203583,0.20337006449699402,0.21946853399276733,0.11587938666343689
kelvin,0.21865810453891754,0.12385150045156479,0.20588484406471252,0.19782592356204987,0.22564531862735748,0.11969532072544098,0.019504055380821228,0.23131093382835388,-0.013759897090494633,0.09978322684764862,0.20857983827590942,0.20588484406471252,0.12686020135879517,0.12391088902950287,0.18197040259838104
benjamin,0.20060622692108154,0.1405869424343109,0.2507040798664093,0.1745726615190506,0.08938658982515335,0.14050021767616272,-0.041532523930072784,0.17437827587127686,0.06765493750572205,0.10716790705919266,0.20055828988552094,0.2507040798664093,0.10250754654407501,0.11361268162727356,0.20336422324180603
to,0.5423505902290344,0.4452643394470215,0.535392165184021,0.18720030784606934,0.384844571352005,0.4069952368736267,-0.047946229577064514,1.0,0.055442724376916885,0.23381441831588745,0.45010748505592346,0.535392165184021,0.30861178040504456,0.22382742166519165,0.29463258385658264
a,0.44397395849227905,0.2552328109741211,0.5829201340675354,0.17562834918498993,0.24019409716129303,0.322764128446579,-0.052463941276073456,0.45503583550453186,0.09943632781505585,0.19753754138946533,0.539380669593811,0.5829201340675354,0.313107967376709,0.1855505406856537,0.23916715383529663
torn,0.24751824140548706,0.18315857648849487,0.270181804895401,0.16590970754623413,0.1897205263376236,0.28680911660194397,0.10450245440006256,0.18432354927062988,0.05094568803906441,0.13313107192516327,0.24918708205223083,0.270181804895401,0.16226182878017426,0.19888190925121307,0.13564015924930573
acl,0.20415125787258148,0.12015141546726227,0.23845629394054413,0.28258001804351807,0.05584409460425377,0.1667175441980362,0.01729806512594223,0.1536690592765808,0.018761055544018745,0.17497782409191132,0.15011103451251984,0.23845629394054413,0.1781291514635086,0.3185107111930847,0.14736860990524292
in,0.4431333839893341,0.2593238651752472,0.6662389636039734,0.22963495552539825,0.22233200073242188,0.4274188280105591,0.02424248494207859,0.45010748505592346,0.03388594090938568,0.24802106618881226,1.0,0.6662389636039734,0.23172755539417267,0.2184021919965744,0.20430970191955566
the,0.5091903209686279,0.34736719727516174,1.0,0.2724147439002991,0.29801803827285767,0.40150508284568787,-0.011810222640633583,0.535392165184021,0.0058518932200968266,0.2676136791706085,0.6662389636039734,1.0,0.3214086890220642,0.2507155239582062,0.22068053483963013
preseason,0.28275614976882935,0.2524903416633606,0.32348138093948364,0.45296260714530945,0.14020052552223206,0.2312258780002594,0.004543695133179426,0.28437575697898865,0.05962066352367401,0.43094202876091003,0.2689804434776306,0.32348138093948364,0.38297557830810547,0.6879447102546692,0.13884200155735016
",",0.36674630641937256,0.3015086054801941,0.4933079481124878,0.20757631957530975,0.3043581247329712,0.39760664105415344,-0.03563398867845535,0.44245919585227966,0.04709499701857567,0.2778109014034271,0.5201468467712402,0.4933079481124878,0.2336544692516327,0.2232367992401123,0.31091248989105225
the,0.5091903209686279,0.34736719727516174,1.0,0.2724147439002991,0.29801803827285767,0.40150508284568787,-0.011810222640633583,0.535392165184021,0.0058518932200968266,0.2676136791706085,0.6662389636039734,1.0,0.3214086890220642,0.2507155239582062,0.22068053483963013
carolina,0.16545826196670532,0.18489903211593628,0.24749229848384857,0.16983580589294434,0.17040136456489563,0.23510479927062988,-0.0020914659835398197,0.23296888172626495,0.061884600669145584,0.18658822774887085,0.2380082756280899,0.24749229848384857,0.14601212739944458,0.2196287363767624,0.11847445368766785
panthers,0.15385644137859344,0.189295694231987,0.2602776288986206,0.38784167170524597,0.18529455363750458,0.2251167893409729,0.16927485167980194,0.2185782641172409,0.10135099291801453,0.38664546608924866,0.2115829735994339,0.2602776288986206,0.2117871195077896,0.3867887854576111,0.16608978807926178
had,0.37526828050613403,0.540525496006012,0.3875846862792969,0.12540528178215027,0.2103564292192459,0.3075238764286041,0.012124304659664631,0.37984350323677063,0.0289357528090477,0.18404078483581543,0.385026752948761,0.3875846862792969,0.2647917866706848,0.1978970468044281,0.20728366076946259
their,0.3682888448238373,0.38078752160072327,0.516537070274353,0.20425945520401,0.25723445415496826,0.3038119673728943,0.0626533180475235,0.44619059562683105,0.06486149877309799,0.22292454540729523,0.34976133704185486,0.516537070274353,0.3364572525024414,0.21295444667339325,0.1898253709077835
